"Que définit la RFC 1918 ?","Trois plages d'adresses réservées à un usage privatif, non routées sur Internet et utilisables sans déclaration : 10.0.0.0/8 (classe A), 172.16.0.0 à 172.31.255.255 (classe B), 192.168.0.0/16 (classe C)."
"Quel mécanisme est nécessaire pour faire communiquer deux réseaux utilisant des adresses privées ?","La translation d'adresses NAT (Network Address Translation), puisqu'aucune garantie d'unicité des adresses ne peut être assurée entre les deux organisations."
"Quels sont les masques de réseau par défaut des classes A, B et C ?","Classe A : 255.0.0.0. Classe B : 255.255.0.0. Classe C : 255.255.255.0."
"Que signifie la notation /X pour un masque de sous-réseau ?","X est le nombre de bits à 1 identifiant le réseau (le Network-id) ; par exemple 100.10.5.1/8 a pour masque 255.0.0.0."
"Pourquoi une adresse IP communiquée sans son masque est-elle une information incomplète ?","Une adresse IP est indissociable du masque de sous-réseau qui lui est appliqué : le masque est indispensable pour comprendre et faire fonctionner le réseau IP."
"Comment obtient-on l'adresse du réseau à partir d'une adresse d'hôte et d'un masque ?","En effectuant un ET logique bit à bit entre l'adresse de l'hôte et le masque de sous-réseau (1 et 1 = 1, sinon 0)."
"À quoi sert le masque de sous-réseau ?","À déterminer si deux équipements appartiennent au même segment physique et donc au même sous-réseau."
"Qu'est-ce qu'une adresse de diffusion dirigée ?","Une adresse dont tous les bits de la partie host-id sont à 1 (X.255.255.255 en classe A, X.Y.255.255 en classe B, X.Y.Z.255 en classe C) : la diffusion est destinée à tous les équipements du réseau ; elle n'est jamais adresse source, toujours adresse de destination."
"Qu'est-ce que l'adresse de diffusion limitée 255.255.255.255 ?","Une adresse de destination qui réduit la diffusion au réseau local lui-même, sans franchir de routeur (niveau 3 du modèle OSI)."
"Quelle classe d'adresses et quel protocole la multidiffusion utilise-t-elle ?","Une adresse de classe D comme adresse de destination ; le protocole IGMP (Internet Group Management Protocol) gère les groupes ; à ne pas confondre avec ICMP (signalement d'erreurs)."
"Quelles sont les deux significations de l'adresse 0.0.0.0 ?","Avec DHCP : un hôte requiert une adresse à un serveur DHCP. Dans une table de routage : entrée du routeur (passerelle) par défaut. Elle ne peut être utilisée que comme adresse source."
"Quel est le principe du sous-adressage (subnetting, RFC 950) ?","Ajouter un 3e niveau hiérarchique aux deux niveaux existants en divisant le champ host-id en deux parties : le subnetwork-id (identifie le segment) et le host-id (adresse les équipements du segment)."
"Le subnetting est-il visible depuis l'extérieur du réseau privé ?","Non : la structure de sous-réseaux n'est pas visible de l'extérieur ; le routage sur Internet ne prend en compte que le masque traditionnel aligné sur l'octet (le Network-id parent) ; seul le routeur local différencie les sous-réseaux."
"Combien de bits faut-il pour coder 8 sous-réseaux ?","3 bits (2 puissance 3 = 8) à ajouter au masque de réseau par défaut ; ex. 192.168.1.0/24 devient /27 (255.255.255.224)."
"Comment calculer le nombre d'adresses par sous-réseau à partir de la valeur du dernier octet du masque ?","256 moins la valeur décimale du subnetwork-id ; ex. 256 - 224 = 32 adresses par sous-réseau (adresse de sous-réseau et adresse de diffusion comprises)."
"Comment déterminer le masque de sous-réseau à partir d'un nombre de sous-réseaux souhaité (méthode par division) ?","Diviser 256 par le nombre de sous-réseaux (256/8 = 32 adresses/sous-réseau), puis retrancher ce résultat de 256 (256 - 32 = 224) pour obtenir la valeur du dernier octet du masque (255.255.255.224)."
