À combien s'élève la dépense annuelle du SI de la fonction publique d'État hors T2 ?;Environ 2 milliards d'euros;Environ 500 millions d'euros;Environ 200 millions d'euros;Environ 20 milliards d'euros;2;La dépense annuelle du SI de la fonction publique d'État est d'environ 2 milliards d'euros hors T2 (dépenses de personnel), pour 2 millions d'agents dotés d'une boîte mail et d'un poste de travail.
Combien d'agents publics exercent un métier SIC dans la fonction publique d'État ?;Environ 2 000;Environ 200 000;Environ 100 000;Environ 20 000, hors personnels militaires;5;On compte environ 20 000 agents publics « métier SIC » hors personnels militaires, avec environ 10 % de contractuels contre 15 % en moyenne dans la fonction publique d'État.
Quel élément est devenu déterminant pour les centres informatiques principaux de l'État, à la place de la superficie ?;Le nombre d'étages du bâtiment;La puissance électrique et la capacité de climatisation;La date de construction;La proximité d'une gare;3;Pour les structures d'hébergement de l'État, la superficie n'est plus l'élément fondamental : la puissance électrique et la capacité de climatisation restent fondamentales.
Qu'a présenté l'ATICA en 2002 par voie de circulaire du Premier ministre ?;Le premier Cadre général d'interopérabilité;Le plan ADELE;Le référentiel RGAA;La création de la DISIC;2;En 2002, l'ATICA (Agence des Technologies de l'Information et de la Communication dans l'Administration) présentait par circulaire du Premier ministre le premier Cadre général d'interopérabilité et officialisait la charte de nommage internet de l'administration.
Combien d'étapes le rapport Carcenac (2011) identifie-t-il pour l'administration électronique citoyenne ?;Deux;Quatre;Six;Neuf;3;Le rapport Carcenac décrit quatre étapes : le dialogue et l'information, l'interaction simple sur le web, la gestion complète en ligne d'une démarche, puis la distribution des services publics par un guichet unique.
Quand le PAGSI a-t-il été lancé et par qui ?;En janvier 1998, sous Lionel Jospin;En 1996, sous Alain Juppé;En 2002, sous Jean-Pierre Raffarin;En 2005, sous Dominique de Villepin;2;Le PAGSI (Plan d'Action Gouvernemental pour l'entrée de la France dans la société de l'information) a été lancé en janvier 1998 sous l'initiative de Lionel Jospin, autour de six chantiers : école, culture, service public, entreprise, innovation, régulation.
Quel constat central le rapport Hyper République (2003) porte-t-il ?;L'administration électronique n'apporte aucun gain;Il faut multiplier le nombre de formulaires administratifs;Les administrations doivent s'organiser autour de l'usager et passer d'une logique de silo à une logique en réseau;Il faut fermer les guichets physiques;4;Le rapport Hyper République décrit une « révolution copernicienne » : les administrations doivent s'organiser autour de l'usager et non l'inverse, en passant d'une logique de silo à une logique en réseau, il fut le premier à dénoncer le nombre de formulaires (1 373 agréés par le CERFA).
Quels plans l'ADAE a-t-elle conduits ?;Le PAGSI et RE/SO 2007;Le plan Numérique 2012;Les circulaires Juppé de 1996;Les plans ADELE 2004-2007 puis ADELE 2006-2010;5;L'Agence de Développement de l'Administration Électronique (ADAE), créée en février 2003, a conduit les plans ADELE 2004-2007 (140 mesures) et ADELE 2006-2010.
Où et quand la DGME a-t-elle été créée ?;À Matignon, en 1998;À Bercy, en décembre 2005;Au ministère de l'Intérieur, en 2011;À l'Élysée, en 2008;3;La DGME (Direction Générale de la Modernisation de l'État) a été créée à Bercy en décembre 2005 sous le gouvernement Villepin, le volet réforme de l'État étant rattaché aux ministères économiques et financiers.
Par quel texte la DISIC a-t-elle été créée ?;La loi du 13 mars 2000;Le décret n° 2011-193 du 21 février 2011;Le décret du 1er août 2014;L'ordonnance du 8 décembre 2005;3;La DISIC (Direction interministérielle des Systèmes d'Information et de Communication de l'État) a été créée auprès du Premier ministre par le décret n° 2011-193 du 21 février 2011.
Autour de quels services la DISIC est-elle organisée ?;Stratégie et urbanisation, performance et maîtrise des risques, programmes et opérations;Achats, ressources humaines, communication;Développement, exploitation, support;Réseau, poste de travail, messagerie;2;La DISIC est organisée autour de trois services : stratégie, urbanisation et innovation, performance et maîtrise des risques, programmes et opérations (RIE, transformation des centres informatiques, SIC territoriaux).
Quelles sont les deux instances de comitologie de la DISIC ?;Le CIMAP et le SGMAP;Le CSIC (Conseil des SIC) et le CTSIC (Comité Technique des SIC);Le CSIC et le CIMAP;Le NOC et le SOC;3;La DISIC s'accompagne d'une comitologie à deux niveaux : le CSIC (Conseil des SIC), qui réunit les secrétaires généraux deux fois par an, et le CTSIC (Comité Technique des SIC), qui réunit les DSI ministériels chaque mois.
De quelles entités le SGMAP était-il structuré ?;Le RGI, le RGS et le RGAA;La DGME, l'ADAE et l'ATICA;La mission Etalab, la DIMAP et la DISIC;Le NOC, le SOC et le SCN RIE;4;Le SGMAP, créé en octobre 2012, était structuré autour de la mission Etalab (ouverture des données publiques), de la DIMAP (qui remplace la DGME) et de la DISIC.
Qu'est-ce que le CIMAP ?;Le nom du réseau interministériel;Le comité interministériel de décision et d'arbitrage pour la modernisation de l'action publique;Une agence de développement de l'administration électronique;Un référentiel technique d'accessibilité;3;Le CIMAP (Comité Interministériel pour la Modernisation de l'Action Publique) est l'instance de décision et d'arbitrage en la matière, le premier CIMAP a eu lieu le 18 décembre 2012, avec une feuille de route de 50 décisions dans 5 domaines.
Quelle entité a fusionné la DISIC, Etalab et le pôle Innovation le 21 septembre 2015 ?;Le SGMAP;La DGME;La DINSIC;La DITP;4;Le 21 septembre 2015, la DISIC, Etalab et le pôle Innovation et services aux usagers ont été fusionnés au sein de la DINSIC (Direction interministérielle du Numérique et du SIC de l'État).
Par quelles directions le SGMAP a-t-il été remplacé en novembre 2017 ?;Le SCN RIE et Etalab;La DGME et l'ADAE;Le CSIC et le CTSIC;La DITP et la DINSIC;5;En novembre 2017, le SGMAP laisse place à la DITP (Direction Interministérielle de la Transformation Publique) et à la DINSIC, par les décrets du 20 novembre 2017.
Quand le RIE a-t-il été décidé et dans quel but ?;En 2005, pour créer service-public.fr;En 1998, pour équiper les lycées;Par le Conseil des ministres du 25 mai 2011, pour assurer la continuité de l'action gouvernementale en cas de dysfonctionnement grave d'Internet;En 2016, pour remplacer le Minitel;4;Le Conseil des ministres du 25 mai 2011 a décidé la mise en place d'un réseau interministériel sécurisé regroupant l'ensemble des réseaux des ministères et permettant la continuité de l'action gouvernementale en cas de dysfonctionnement grave d'Internet.
Sur quelle infrastructure le RIE s'appuie-t-il ?;Sur les liaisons satellitaires de l'État;Sur l'infrastructure optique à haut débit de RENATER;Sur le réseau Transpac;Sur le réseau téléphonique commuté;3;Le RIE s'appuie sur l'infrastructure optique à haut débit du réseau RENATER (Réseau national de télécommunications pour la technologie, l'enseignement et la recherche), le passage à RENATER 6 porte la capacité du cœur de réseau de 10 à 100 Gbit/s.
Quel réseau de coordination interministérielle le RIE remplace-t-il ?;Le réseau RENATER;Le réseau TESTA;Le réseau AdER/SIGMA;Le réseau service-public.fr;4;Le RIE remplace le réseau de coordination interministérielle AdER/SIGMA, dont les dernières prestations ont été résiliées le 7 juin 2016.
Comment le RIE est-il gouverné ?;Par un opérateur privé unique;Par chaque ministère indépendamment;Par le SCN RIE (service à compétence nationale) intégré au SGMAP;Par la Commission européenne;4;Le RIE est gouverné par le SCN RIE (service à compétence nationale) intégré au SGMAP, organisé en six pôles opérationnels : relations clients, pilotage de l'exploitation, expertise, supervision (NOC), sécurité (SOC), support et gestion.
Quel est le rôle du NOC du RIE ?;Traiter les opérations budgétaires du service;Piloter l'amélioration continue de la sécurité;Gérer les relations avec les ministères clients;Assurer la permanence opérationnelle 24h/24 et 7j/7 pour la gestion des incidents et des maintenances;5;Le NOC (Network Operations Center) du RIE assure la permanence opérationnelle 24h/24 et 7j/7, en charge de la gestion des incidents et des maintenances programmées, tandis que le SOC pilote l'amélioration continue de la sécurité.
Quel service de temps a été ouvert sur le RIE fin 2016 ?;Un service SMTP;Un service RADIUS;Un service NTP (Network Time Protocol);Un service DHCP;4;Un service de temps (NTP, Network Time Protocol) a été ouvert sur le RIE fin 2016, en complément des services d'accès à internet, de nommage (DNS) et d'échanges interministériels du réseau AdER.
Quel adressage IP interministériel le RIE utilise-t-il ?;10.0.0.0/8, avec le sous-domaine gouv.fr;192.168.0.0/16, avec le sous-domaine local;161.48.0.0/19, avec le sous-domaine ader.gouv.fr;100.65.0.0/16, avec le sous-domaine rie.gouv.fr;5;L'adressage interministériel du RIE est 100.65.0.0/16 avec le sous-domaine rie.gouv.fr, qui remplace l'ancien adressage AdER 161.48.0.0/19 et le sous-domaine ader.gouv.fr.
Qu'apporte la loi n° 2000-230 du 13 mars 2000 ?;La gratuité des données publiques;L'obligation d'un site internet ministériel;La création de la CNIL;L'écrit électronique est admis en preuve au même titre que l'écrit papier, sous réserve d'identification et d'intégrité;5;La loi n° 2000-230 du 13 mars 2000 adapte le droit de la preuve : l'écrit sous forme électronique est admis en preuve au même titre que l'écrit sur support papier, sous réserve que la personne dont il émane soit identifiée et que l'écrit soit établi et conservé dans des conditions garantissant son intégrité.
