Que signifie l'acronyme EBIOS ?;Expression des Buts et Inventaire des Outils de Sécurité;Étude des Biens, Impacts et Objectifs de Sûreté;Évaluation des Besoins Informatiques et Organisation de la Sécurité;Expression des Besoins et Identification des Objectifs de Sécurité;5;EBIOS signifie Expression des Besoins et Identification des Objectifs de Sécurité, une méthode d'appréciation et de traitement des risques de sécurité de l'information.
Quel organisme est à l'origine de la méthode EBIOS ?;L'ISO, dans le cadre de la norme 27005;Le CLUSIF, qui l'a créée en 2003;Le Club EBIOS, qui l'a créée en 1990;L'ANSSI (ex-DCSSI), qui l'a créée en 1995 et révisée en 2010;5;EBIOS a été créée en 1995 par la DCSSI, devenue l'ANSSI, et a connu une révision majeure en 2010, la méthode étant maintenue avec le concours du Club EBIOS.
Quel texte a porté création de l'ANSSI ?;La loi Informatique et Libertés du 6 janvier 1978;Le décret n° 2009-834 du 7 juillet 2009;La directive NIS de 2016;Le Règlement général sur la protection des données de 2016;3;L'ANSSI a été créée par le décret n° 2009-834 du 7 juillet 2009, en tant que service à compétence nationale rattaché au SGDSN.
Quel événement de novembre 1988 a accéléré la prise de conscience de la sécurité des SI ?;La divulgation de la faille Heartbleed;La première attaque par déni de service distribué;Le ver Internet, dit ver de Morris, qui a paralysé une large part du réseau;La publication de la norme ISO 27001;4;En novembre 1988, le ver Internet (ver de Morris) s'est propagé massivement et a conduit à la création du premier CERT à l'université Carnegie Mellon.
Que désigne l'acronyme CERT ?;Common Enterprise Risk Taxonomy;Centre d'Étude des Risques Techniques;Cellule d'Expertise et de Réaction Territoriale;Computer Emergency Response Team;5;CERT signifie Computer Emergency Response Team, le premier étant le CERT/CC (Coordination Center) hébergé par Carnegie Mellon et financé par la DARPA.
Quel est le CERT gouvernemental français historique ?;Le CLUSIF, créé en 1992;Le CERT-IST, créé par la sphère industrielle;Le CERT-RENATER, dédié à la recherche;Le CERTA, créé en 1999 et inauguré le 21 février 2000;5;Le CERTA, rattaché à l'ANSSI, a été créé en 1999 et inauguré le 21 février 2000, d'autres CERT français existent comme le CERT-IST, le CERT-RENATER ou des CERT d'entreprises.
Qu'est-ce que le FIRST ?;La première norme internationale de sécurité;Le nom de code du ver de Morris;Le forum créé en 1990 qui fédère les CERT du monde entier;Le référentiel d'audit de l'ANSSI;4;Le FIRST (Forum of Incident Response and Security Teams) a été créé en 1990 pour coordonner et faire coopérer les équipes de réponse aux incidents à l'échelle mondiale.
Depuis quelle année le Club EBIOS existe-t-il ?;Depuis 1995;Depuis 2010;Depuis 2003;Depuis 1988;4;Le Club EBIOS existe depuis 2003, il rassemble experts publics et privés et utilisateurs pour faire évoluer et promouvoir la méthode.
Quelle méthode d'analyse de risques est publiée par le CLUSIF ?;OCTAVE;ISO 31000;EBIOS;MEHARI;5;MEHARI (MEthode Harmonisée d'Analyse de RIsques) est publiée par le CLUSIF, alors qu'EBIOS est portée par l'ANSSI et OCTAVE par l'université Carnegie Mellon.
Combien de phases comporte la méthode OCTAVE ?;Quatre phases;Trois phases;Deux phases;Cinq phases;3;OCTAVE (Operationally Critical Threat, Asset and Vulnerability Evaluation), issue de Carnegie Mellon, s'articule en trois phases centrées sur les actifs critiques, les vulnérabilités et la stratégie de sécurité.
Quelle norme fixe le vocabulaire de la gestion des risques repris par EBIOS ?;L'ISO 27001;L'ISO 15408;Le Guide ISO 73, intégré à l'ISO 31000;L'ISO 9001;4;Le Guide ISO 73 définit le vocabulaire de la gestion des risques, EBIOS a fait converger sa terminologie vers ce guide et vers l'ISO 31000.
À quoi correspond la norme ISO 27005 ?;Aux exigences d'un système de management de la sécurité;Aux critères communs d'évaluation des produits;À la gestion des risques de sécurité de l'information;Au code de bonnes pratiques et aux mesures de sécurité;4;L'ISO 27005 traite de la gestion des risques de sécurité de l'information, l'ISO 27001 porte les exigences du SMSI et l'ISO 27002 le catalogue de mesures.
Quels sont les trois critères de sécurité retenus par EBIOS ?;Disponibilité, Intégrité, Confidentialité;Prévention, Protection, Récupération;Gravité, Vraisemblance, Impact;Authentification, Autorisation, Audit;2;EBIOS apprécie les besoins de sécurité des biens essentiels selon trois critères : la disponibilité, l'intégrité et la confidentialité, parfois complétés par d'autres critères comme la traçabilité.
Sur quel type de bien EBIOS apprécie-t-elle les besoins de sécurité sans étudier les vulnérabilités ?;Le bien support matériel;Le bien essentiel (information ou processus important pour l'organisme);Le bien support humain;Le bien support logiciel;3;Le bien essentiel est une information ou un processus dont on apprécie les besoins de sécurité et non les vulnérabilités, ce sont les biens supports qui portent les vulnérabilités.
Qui est le dépositaire d'un bien essentiel dans EBIOS ?;L'autorité d'homologation;L'auditeur externe mandaté;La personne responsable de ce bien essentiel;Le fournisseur du matériel qui l'héberge;4;Dans EBIOS, le dépositaire est responsable d'un bien essentiel, tandis que le propriétaire est responsable d'un bien support et de l'application des mesures de sécurité qui s'y rapportent.
De quoi un événement redouté est-il constitué ?;D'un bien support et de son propriétaire;D'une menace, d'une vulnérabilité et d'une source, avec un niveau de vraisemblance;D'un besoin de sécurité d'un bien essentiel, d'impacts et de sources de menaces, avec un niveau de gravité;D'une mesure de sécurité et d'un risque résiduel;4;L'événement redouté associe un bien essentiel et son besoin de sécurité, les impacts en cas de non-respect et les sources de menaces à l'origine, il est estimé par un niveau de gravité.
De quoi un scénario de menace est-il constitué ?;D'une menace, de vulnérabilités de biens supports et de sources de menaces, avec un niveau de vraisemblance;D'un objectif de sécurité et d'une mesure de sécurité;D'un bien essentiel, d'un besoin de sécurité et d'un impact;D'une gravité et d'une déclaration d'applicabilité;2;Le scénario de menace combine une menace, une ou plusieurs vulnérabilités exploitables sur des biens supports et les sources de menaces susceptibles de les utiliser, il est estimé par sa vraisemblance.
Comment EBIOS définit-elle un risque ?;Comme un bien support sans propriétaire;Comme une menace multipliée par un coût financier;Comme une vulnérabilité non corrigée;Comme la combinaison d'un événement redouté et de scénarios de menaces pouvant le provoquer;5;Un risque EBIOS résulte du rapprochement d'un événement redouté (ce que l'organisme craint) et d'un ou plusieurs scénarios de menaces (ce à quoi il est exposé), il est caractérisé par sa gravité et sa vraisemblance.
Quels sont les niveaux de l'échelle de gravité proposée par EBIOS ?;Vert, Jaune, Orange, Rouge;Faible, Moyen, Élevé, Très élevé;Négligeable, Limitée, Importante, Critique;Minime, Significative, Forte, Maximale;4;L'échelle de gravité type d'EBIOS comporte quatre niveaux : négligeable, limitée, importante et critique.
Quels sont les niveaux de l'échelle de vraisemblance proposée par EBIOS ?;Minime, Significative, Forte, Maximale;Rare, Possible, Probable, Certain;Négligeable, Limitée, Importante, Critique;Nul, Bas, Haut, Extrême;2;L'échelle de vraisemblance type d'EBIOS comporte quatre niveaux : minime, significative, forte et maximale.
Quelles sont les quatre options de traitement d'un risque ?;Le détecter, le confiner, le corriger, le documenter;Le réduire, le transférer, l'éviter, le prendre;Le chiffrer, l'auditer, le tracer, le sauvegarder;Le prévenir, le protéger, le restaurer, le compenser;3;EBIOS retient quatre options de traitement d'un risque : le réduire (mesures de sécurité), le transférer ou partager, l'éviter en changeant le contexte, ou le prendre en assumant ses conséquences.
Quelle est la différence entre estimation brute et estimation nette d'un risque ?;La brute concerne la gravité, la nette la vraisemblance;La brute est faite par la MOA, la nette par la MOE;La brute ignore les mesures de sécurité existantes, la nette en tient compte;La brute est chiffrée, la nette est qualitative;4;EBIOS demande une première estimation dite brute, sans considérer les mesures de sécurité existantes, puis une estimation nette qui intègre l'effet de ces mesures.
Qu'est-ce qu'un risque résiduel dans EBIOS ?;Un risque écarté du périmètre dès le module 1;Le risque qui subsiste une fois les objectifs de sécurité atteints et les mesures mises en œuvre;Un risque uniquement théorique sans impact;Un risque transféré en totalité à un assureur;3;Le risque résiduel est celui qui demeure après satisfaction des objectifs de sécurité et mise en œuvre des mesures, il doit être explicitement accepté en connaissance de cause.
Combien de modules comporte la démarche EBIOS ?;Cinq;Trois;Quatre;Sept;2;La démarche EBIOS comprend cinq modules : étude du contexte, étude des événements redoutés, étude des scénarios de menaces, étude des risques et étude des mesures de sécurité.
Quel module d'EBIOS délimite le périmètre et identifie biens essentiels et biens supports ?;Le module 1 (étude du contexte);Le module 4 (étude des risques);Le module 2 (étude des événements redoutés);Le module 5 (étude des mesures de sécurité);2;Le module 1, étude du contexte, cadre le périmètre, identifie les biens essentiels et les biens supports, et fixe les paramètres à prendre en compte, dont les critères de gestion des risques.
Dans quel module d'EBIOS estime-t-on le niveau de gravité ?;Dans le module 2, étude des événements redoutés;Dans le module 1, étude du contexte;Dans le module 5, étude des mesures de sécurité;Dans le module 3, étude des scénarios de menaces;2;Le module 2 apprécie les événements redoutés et leur attribue un niveau de gravité, tandis que la vraisemblance est estimée dans le module 3 pour les scénarios de menaces.
Quelles sont les deux activités du module 4 d'EBIOS ?;Analyser les scénarios et évaluer les scénarios;Apprécier les risques et identifier les objectifs de sécurité;Étudier le contexte et apprécier les événements redoutés;Formaliser les mesures et prononcer l'homologation;3;Le module 4 comprend l'appréciation des risques (analyse puis évaluation) et l'identification des objectifs de sécurité (choix des options de traitement et analyse des risques résiduels).
Quelles sont les trois lignes de défense de la défense en profondeur selon EBIOS ?;Une ligne amont, une ligne médiane et une ligne aval;Une ligne physique, une ligne logique et une ligne organisationnelle;Une ligne préventive, une ligne protectrice et une ligne récupératrice;Une ligne réseau, une ligne système et une ligne applicative;4;La défense en profondeur exige au minimum trois lignes de défense : préventive (éviter l'incident), protectrice (bloquer, contenir, détecter) et récupératrice (limiter les conséquences et revenir à l'état initial).
Parmi ces termes, lequel est un principe de la défense en profondeur selon EBIOS ?;La granularité;La complétude;La réversibilité;La non-répudiation;3;Les six principes de la défense en profondeur selon EBIOS sont la globalité, la coordination, le dynamisme, la suffisance, la complétude et la démonstration.
À quoi sert la déclaration d'applicabilité établie dans le module 5 ?;À lister les biens supports et leurs propriétaires;À planifier le calendrier de mise en œuvre des mesures;À estimer la gravité des événements redoutés;À expliquer comment références, contraintes et hypothèses ont été prises en compte et à justifier les mesures retenues ou écartées;5;La déclaration d'applicabilité justifie la prise en compte des paramètres (références applicables, contraintes, hypothèses) et le positionnement vis-à-vis des meilleures pratiques, celles non couvertes par une mesure pouvant être jugées inutiles.
Qu'est-ce que l'homologation de sécurité d'un système d'information ?;Un test d'intrusion validé par un prestataire;L'engagement d'une autorité attestant que le SI est protégé conformément aux objectifs et apte à entrer en service avec des risques résiduels acceptés;Un label commercial délivré par l'éditeur du logiciel;Une certification ISO 27001 délivrée par un organisme accrédité;3;L'homologation est la décision par laquelle une autorité atteste que le SI prend en compte les contraintes opérationnelles, respecte les objectifs de sécurité et peut entrer en service avec des risques résiduels connus et maîtrisés.
Quelle est la durée fréquente d'une homologation de sécurité complète ?;6 mois;Entre 3 et 5 ans;Illimitée;10 ans minimum;3;Une homologation complète est prononcée pour une durée déterminée, fréquemment de 3 à 5 ans, éventuellement assortie de conditions, l'autorité peut aussi prononcer une homologation provisoire avec réserves ou un refus.
Que signifie l'acronyme FEROS ?;Fonction d'Estimation du Risque Optimisée pour la Sécurité;Fiche d'Enregistrement des Ressources et Options de Sûreté;Formulaire d'Évaluation des Risques Opérationnels et Systèmes;Fiche d'Expression Rationnelle des Objectifs de Sécurité;5;La FEROS (Fiche d'Expression Rationnelle des Objectifs de Sécurité), au sens du Guide 150, est un document synthétique servant notamment à l'homologation d'un système d'information.
Quel document des Critères Communs (ISO 15408) exprime des exigences de sécurité pour une catégorie de produits ?;La cible de sécurité;La note de cadrage;La déclaration d'applicabilité;Le profil de protection (PP);5;Le profil de protection (PP) exprime des exigences de sécurité génériques pour une catégorie de produits, alors que la cible de sécurité les exprime pour un produit précis à évaluer.
Quelle matrice de répartition des rôles est utilisée dans une étude EBIOS ?;La matrice BCG;La matrice SWOT;La matrice de Farmer;La matrice RACI;5;La matrice RACI (Responsible, Accountable, Consulted, Informed) sert à répartir les rôles et responsabilités entre les acteurs mobilisés pour l'étude.
