Quelle est la différence entre urbanisme informatique et urbanisation ?;L'urbanisme concerne le matériel, l'urbanisation le logiciel;Les deux termes sont strictement équivalents;L'urbanisme est la méthode, l'urbanisation est le fait de l'appliquer à un SI donné;L'urbanisme est stratégique, l'urbanisation est technique;4;L'urbanisme informatique est la méthode (démarche, concepts et règles) se rapportant à la construction et l'aménagement des systèmes d'information, tandis que l'urbanisation est le fait d'urbaniser, c'est-à-dire d'appliquer la méthode à un système d'information donné.
Quel est le souci principal de l'urbanisation d'un système d'information ?;Chiffrer tous les échanges;Réduire le nombre de serveurs;Aboutir à un système d'information modulaire et évolutif;Centraliser toutes les applications sur un seul site;4;Le souci principal de l'urbanisation est d'aboutir à un système d'information modulaire et évolutif, permettant une rénovation par quartiers sans nécessairement bouleverser l'ensemble du SI.
Quelle est la place de l'urbanisation dans l'organisation ?;C'est un projet informatique classique avec un début et une fin;C'est une activité de production quotidienne;C'est une activité support, en amont des projets informatiques, non un projet autonome;C'est une fonction de contrôle a posteriori;4;L'urbanisation apparaît comme une activité support qui se situe en amont des projets informatiques, elle n'est pas une fin en soi et constitue une tâche de fond permanente destinée à évaluer chaque évolution du SI.
Qu'est-ce qu'un domaine dans le vocabulaire de la cartographie ?;Un ensemble d'utilisateurs ayant le même profil;Un serveur physique hébergeant plusieurs applications;Une adresse réseau réservée à l'administration;Un groupement d'applications contribuant à un objectif commun ou participant à la même mission;5;Un domaine est un groupement d'applications contribuant à un objectif commun ou participant à la même mission, dans une entreprise, on trouvera par exemple les domaines Production, Ventes, Achats, Comptabilité.
Qu'est-ce qu'une fonction en urbanisation de SI ?;Un ensemble d'actions ou tâches élémentaires indissociables réalisées par le SI en support d'un acteur;Une procédure de sécurité obligatoire;Un poste budgétaire du programme;Un composant matériel du réseau;2;Une fonction est un ensemble d'actions ou de tâches élémentaires indissociables réalisées par le système d'information en support de l'activité d'un acteur, on l'associe généralement à la notion de processus, la fonction correspondant au plus haut niveau de décomposition de l'application.
Qu'est-ce qu'un composant en urbanisation ?;Une donnée de référence partagée;Un serveur applicatif consolidé;Un flux d'échange entre deux domaines;Un module logiciel identifié, défini par ses interfaces et conçu pour être réutilisable;5;Un composant est un module logiciel, parfaitement identifié, défini par ses interfaces et conçu de manière à être réutilisable, on parle de composant métier et de composant logiciel.
Quelles sont les trois zones fondamentales d'un domaine ?;La zone stratégique, la zone tactique et la zone opérationnelle;La zone client, la zone serveur et la zone base de données;La zone acquisition, la zone opérationnelle et la zone émission;La zone interne, la zone externe et la zone mixte;4;Le découpage d'un domaine définit trois zones fondamentales : la zone acquisition (recueillir l'information venant de l'extérieur du domaine), la zone opérationnelle (traiter l'information) et la zone émission (restituer l'information à l'extérieur du domaine).
Qu'est-ce qu'un quartier dans l'urbanisation d'un SI ?;Un local technique hébergeant des serveurs;Un groupe d'utilisateurs d'une même direction;Un regroupement des traitements d'une zone selon la nature des informations traitées, assimilable au sous-domaine;Un ensemble de règles de sécurité;4;Au sein de chaque zone, les traitements sont répartis selon la nature des informations traitées : la nature de l'information définit le quartier, notion assimilable à celle de sous-domaine.
Qu'est-ce qu'un bloc fonctionnel ?;Le composant de base de l'urbanisme, plus petite unité manipulée, ensemble homogène de données et de traitements dans un quartier;Un bloc d'adresses IP réservé;Un ensemble de fiches domaine;Un serveur physique dédié;2;Le bloc fonctionnel est le composant de base de l'urbanisme car il correspond à la plus petite unité manipulée : un ensemble homogène de données et de traitements à l'intérieur d'un quartier, déclenché par un événement et produisant un compte rendu après traitement de l'événement (CRE).
Quelles règles d'urbanisation un bloc fonctionnel respecte-t-il ?;Appartenance à plusieurs quartiers, dépendance forte;Chiffrement, journalisation, authentification;Appartenance à un seul quartier, autonomie, asynchronisme, donnée mono-propriétaire;Redondance systématique, synchronisme, données partagées;4;Le regroupement de données et de fonctions au sein d'un bloc répond à des règles d'urbanisation : appartenance d'un bloc à un seul quartier, autonomie du bloc par rapport aux autres, asynchronisme dans le traitement des événements et donnée mono-propriétaire.
