Quelle option de ps utilise-t-on sur un système de type AT&T (System V) ?;ps axf;ps -aux;ps -w;ps -edf;5;On retient ps -aux pour les systèmes de type BSD et ps -edf pour les systèmes de type AT&T (System V).
Comment afficher l'arborescence des processus avec ps sous Linux ?;ps axf;ps -l;ps -e;ps -u;2;Sous Linux, les options ps axf (ou -axf) affichent les processus sous forme d'arbre, un peu comme pstree.
Quel est l'inconvénient fondamental de la commande ps ?;Elle ne fonctionne qu'en root;Elle ne montre pas les daemons;Elle ne donne que la liste des processus à un instant t;Elle est spécifique à Linux;4;ps ne donne que la photographie des processus à un instant t, certains peuvent disparaître entre la collecte et l'affichage, la commande top améliore ce point.
Que renvoie la commande sar -q ?;L'utilisation de la mémoire et du swap;La liste des signaux;Le nombre de processus en attente;Le pourcentage d'utilisation des CPU;4;sar -u donne le pourcentage d'utilisation des CPU (option par défaut), sar -q le nombre de processus en attente, sar -r l'utilisation de la mémoire centrale et du swap.
Que fait kill -9 sur un processus ?;Il change sa priorité;Il provoque sa destruction brutale;Il le met en pause;Il force la relecture de sa configuration;4;kill -9 envoie le signal SIGKILL et provoque la destruction brutale du processus, à utiliser en connaissance de cause, alors que kill -1 (SIGHUP) force la relecture de la configuration.
Quelle commande liste les signaux du système ?;kill -s;kill -a;kill -l;kill -9;4;kill -l affiche la liste des signaux du système, la commande kill permettant d'envoyer n'importe quel signal à un processus du même propriétaire.
Avec quelle touche htop permet-il de tuer un processus ?;F5;F6;F9;F3;4;Sous htop, F9 tue un processus (en choisissant le signal), F7 et F8 changent la priorité, F6 trie, F5 affiche l'arbre, F3 recherche.
Que permet la commande at ?;Changer la priorité d'un processus;Planifier des commandes à intervalles réguliers;Lancer un processus de façon différée à une date donnée;Lister les processus actifs;4;at lance un processus de façon différée (at parametre_temporel commande, Ctrl-D pour sortir), at -l liste les travaux en attente, contrairement à crontab qui planifie des tâches répétitives.
Quel est le troisième champ d'une ligne de crontab ?;Le jour du mois;L'heure;Le jour de la semaine;La minute;2;Les six champs de crontab sont : minute (0-59), heure (0-23), jour du mois (1-31), mois (1-12), jour de la semaine (0-6), puis la commande.
Que fait l'expression > /dev/null 2>&1 en fin de ligne de crontab ?;Elle envoie un courrier à l'administrateur;Elle route toute la sortie (standard et erreur) vers /dev/null en l'ignorant;Elle crée un fichier de log daté;Elle relance la tâche en cas d'échec;3;Ajoutée en fin de ligne, > /dev/null 2>&1 route la sortie standard et la sortie d'erreur vers /dev/null, ce qui les ignore efficacement et évite les messages à chaque exécution.
Quelle option de tar compresse l'archive avec gzip ?;z;t;c;x;2;tar czf crée une archive compressée gzip, c crée, x extrait, t liste la table de contenu, v est le mode verbeux et f désigne le fichier.
Pourquoi tar est-il mal adapté à la sauvegarde de /dev ?;Il ne gère pas les liens symboliques;Il ne sait pas sauvegarder correctement les numéros majeur et mineur des fichiers spéciaux;Il est trop lent;Il compresse toujours;3;tar ne sauvegarde pas convenablement les numéros majeur et mineur des fichiers de /dev, on préfère recréer les devices avec /dev/MAKEDEV, et par défaut il gère mal les fichiers à trous.
Quel avantage tar a-t-il sur dump ?;Il sauvegarde les fichiers spéciaux à l'identique;Il consulte la structure interne du filesystem;Il permet de sauvegarder une partie seulement d'une partition, voire des fichiers sans rapport;Il gère les niveaux incrémentaux natifs;4;Contrairement à dump, tar permet de sauvegarder une partie seulement d'une partition, et même des fichiers ou répertoires sans aucun rapport entre eux.
Comment cpio reçoit-il la liste des fichiers à sauvegarder ?;Par la variable CPIO_LIST;Dans un fichier de configuration;Sur son entrée standard, souvent via find;En argument de la ligne de commande;4;Une méthode courante est de tuber la sortie de find vers cpio : find /home/ | cpio -o > archive.cpio, cpio utilisant stdin, stdout et stderr.
Quelle commande manipule physiquement une bande magnétique (avancer, rembobiner) ?;tar;mt;dd;cpio;3;mt n'est pas une commande de sauvegarde mais permet de manipuler les bandes : avancer, reculer, rembobiner, écrire des marques de fin de fichier (mt -f /dev/rmt/0 pour le statut).
Que fait l'option --delete-after de rsync ?;Elle ignore les erreurs d'entrée-sortie;Elle efface la destination avant de commencer;Elle supprime les fichiers source après transfert;Elle supprime en fin de transfert les fichiers de la destination absents de la source;5;--delete-after (comme --del) supprime, à la fin du transfert, les fichiers présents dans le dossier de destination mais absents du dossier source, réalisant un vrai miroir.
Par quelle commande iproute2 remplace-t-il netstat ?;ip addr;ip route;ss;ip neigh;4;Avec iproute2, ifconfig devient ip addr, arp devient ip neigh, route devient ip route et netstat devient ss (socket statistics).
Que permet la commande arp -a ?;Envoyer une requête ICMP;Configurer une adresse IP;Vider la table de routage;Afficher les correspondances entre adresses MAC et adresses IP de la table ARP;5;arp -a affiche la liste dynamique des liens entre adresses MAC et adresses IP stockés dans la table ARP, l'équivalent iproute2 étant ip neigh.
Sur quel protocole s'appuie la commande ping ?;TCP;ICMP;ARP;UDP;3;ping envoie une requête ICMP echo-request et attend une réponse ICMP echo-reply, son inconvénient étant qu'ICMP peut être bloqué par les pare-feux.
Que signifie mdev dans les statistiques finales de ping ?;Le nombre de paquets perdus;L'écart type (maximum deviation) des temps d'aller-retour;Le TTL moyen;La durée totale;3;La dernière ligne de ping donne le temps minimum, la moyenne, le maximum et mdev, c'est-à-dire l'écart type (maximum deviation), calculé pour chaque série de ping.
À quoi sert l'option -c de la commande ping ?;À forcer IPv6;À définir l'intervalle entre les pings;À fixer le nombre de requêtes envoyées;À définir la taille du paquet;4;ping -c 3 envoie 3 echo-requests, -i définit l'intervalle en secondes (défaut 1 s) et -s la taille du paquet.
Comment traceroute découvre-t-il les routeurs intermédiaires ?;En incrémentant le champ TTL à partir de 1, chaque routeur renvoyant un message ttl exceeded à 0;En interrogeant le DNS;En lisant la table de routage locale;En envoyant des requêtes ARP;2;traceroute émet des paquets avec un TTL croissant depuis 1, chaque routeur décrémente le TTL et émet un message d'erreur ttl exceeded lorsqu'il atteint 0, révélant l'interface traversée et le délai.
Pourquoi utiliser tcptraceroute plutôt que traceroute ?;Il est plus rapide;Les pare-feux bloquent souvent traceroute via ICMP ou UDP mais autorisent les paquets TCP;Il fonctionne sans réseau;Il ne nécessite pas de privilèges;3;tcptraceroute envoie des paquets TCP SYN (par défaut vers le port 80) au lieu de UDP ou ICMP ECHO, ce qui lui permet de contourner les filtres des pare-feux les plus courants.
Que signifie le message d'erreur ICMP !H dans traceroute ?;Réseau inaccessible;Communication administrativement interdite;Hôte inaccessible, le routeur n'a pas de route pour la destination;Fragmentation nécessaire;4;!H signifie host unreachable (le routeur n'a pas de route pour la destination), !N réseau inaccessible, !X communication administrativement interdite, !F fragmentation nécessaire.
Que fait la commande netstat -ntlp ?;Elle vide la table ARP;Elle liste les processus utilisateur;Elle affiche les connexions serveurs TCP avec le PID et le nom du programme associé à chaque port;Elle capture le trafic réseau;4;netstat -ntlp affiche les listeners TCP (t), sans résolution DNS (n), avec le PID et le nom du programme (p), en s'appuyant sur /etc/services pour nommer les ports.
Quelle commande iproute2 fournit les statistiques de sockets ?;ss;sockstat;ip stat;netstat2;2;Avec iproute2 est apparue la commande ss (socket statistics), qui affiche par défaut les connexions tcp, udp et unix comme netstat, avec les options t, u, x, -a, -n, -l, -p.
Pourquoi tcpdump doit-il être lancé en root ?;Parce qu'il modifie la table de routage;Parce qu'il utilise le port 80;Pour écrire dans /var/log;Parce qu'il passe l'interface en mode promiscuous, où elle accepte tous les paquets;5;tcpdump se lance en root car il met l'interface réseau en mode promiscuous : elle accepte alors tous les paquets IP, même ceux qui ne lui sont pas destinés, ce qui exige des privilèges.
Quel était l'ancien nom de Wireshark ?;Etherpeek;Sniffer Pro;Network Monitor;Ethereal;5;Wireshark est aussi connu sous son ancien nom Ethereal, le projet remontant à 1998, il relit d'ailleurs les captures de tcpdump, Microsoft Network Monitor et Sniffer Pro.
Quelle est la différence entre filtre de capture et filtre d'affichage sous Wireshark ?;Les deux se définissent après la capture;Le filtre de capture limite les données enregistrées, le filtre d'affichage recherche dans les données déjà capturées;Le filtre d'affichage se définit au démarrage de la capture;Le filtre de capture est plus puissant que le filtre d'affichage;3;Le filtre de capture, défini au démarrage, limite la taille du journal, tandis que le filtre d'affichage, modifiable en cours, sert à rechercher précisément dans les données capturées et est plus puissant mais plus complexe.
Que fait l'option -w de tshark ?;Elle limite la durée de capture;Elle spécifie l'interface d'écoute;Elle applique un filtre d'affichage;Elle spécifie le fichier où sauvegarder le trafic capturé;5;Dans tshark, -f est le filtre de capture, -i l'interface d'écoute, -w le fichier de sortie et -R le filtre d'affichage.
Quelle commande permet de regrouper deux fichiers de capture en un seul ?;tshark -z;capinfos;mergecap;editcap;4;mergecap regroupe plusieurs fichiers de capture (mergecap -v dump1 dump2 -w dump), tandis qu'editcap sert à diviser un fichier ou à en retirer des paquets.
Que compte la commande wc par défaut, et que fait l'option -l ?;Elle compte les caractères, -l compte les lignes;Elle compte les mots, -l compte les lignes;Elle compte les fichiers, -l les liens;Elle compte les lignes, -l compte les mots;3;wc (word count) compte les mots par défaut, l'option -l comptant les lignes, ce qui permet par exemple de vérifier que head affiche 10 lignes par défaut.
Que permet l'option -r de la commande grep ?;De chercher récursivement dans une arborescence;D'utiliser des expressions régulières;De remplacer du texte;D'afficher les numéros de ligne;2;grep -r effectue une recherche récursive dans une arborescence de répertoires, grep acceptant par ailleurs les expressions régulières et pas seulement de simples métacaractères.
