"Sur quel réseau s'appuie la téléphonie traditionnelle et comment l'appelle-t-on en anglais ?","Sur le Réseau Téléphonique Commuté public (RTCP ou RTC), en anglais Public Switched Telephone Network (PSTN)"
"Quelles sont les contraintes de latence de la téléphonie interactive ?","Latence inférieure à 300 ms pour une interaction humaine acceptable, inférieure à 150 ms pour une bonne qualité de conversation, et idéalement inférieure à 28 ms pour que l'écho ne soit pas sensible ; en pratique les terminaux embarquent des suppresseurs d'écho"
"Qu'est-ce qu'un PABX ?","Private Automatic Branch eXchange : un commutateur téléphonique privé d'entreprise qui relie les lignes internes entre elles et vers le réseau public"
"À quoi sert la signalisation téléphonique ?","À localiser le destinataire via son numéro, faire sonner son poste, établir la liaison, la maintenir, la relâcher en fin de communication et assurer la facturation ; le RNIS y a ajouté la présentation du numéro, le transfert d'appel, etc."
"Quel ensemble de protocoles définit la signalisation téléphonique et par quel organisme ?","Le Signaling System #7 (SS7), défini par l'Union Internationale des Télécommunications (UIT) ; aujourd'hui les flux de signalisation et de voix circulent sur des canaux dédiés"
"Qu'est-ce qu'un codec et quel constat permet le multiplexage de la voix numérisée ?","Un codeur-décodeur qui numérise le son en une suite de bits ; comme on ne parle en moyenne que 35 % du temps d'une conversation, le multiplexage exploite les silences pour optimiser les ressources"
"Qu'est-ce que la VoIP et à quoi ne se limite-t-elle pas ?","La voix sur IP : au-delà de la téléphonie sur IP, elle couvre aussi la vidéo sur IP, la visioconférence, la gestion des autocommutateurs sur IP (IPBX) et les messages échangés avec les postes IP ou leur interface logicielle"
"Quels sont les objectifs de la VoIP ?","Convergence des réseaux vers un réseau unique (données, voix, vidéo) ; réduction des coûts grâce aux abonnements IP forfaitaires ; nouveaux services (présence par exemple) ; gestion simplifiée par la disparition des commutateurs locaux et l'administration des téléphones à distance en IP"
"Quels impacts propres le transport par paquets a-t-il sur la voix par rapport au transport par circuit ?","Absence de réservation de ressource : les délais de transit varient d'un paquet à l'autre, ce qui déforme le débit de parole (accélération, ralentissement, saccades) ; l'ordre initial des paquets peut ne pas être respecté"
"Quels sont les deux principaux protocoles de signalisation de la VoIP et leurs organismes ?","H.323 (en fait H.225 et H.245), défini par l'UIT, et SIP, issu de l'IETF (Internet Engineering Task Force)"
"Qu'est-ce que l'effet de gigue ?","Le décalage variable introduit dans les signaux de parole par le transport asynchrone en mode paquet ; il doit être compensé par les équipements et applications d'extrémité"
"Quels rôles jouent respectivement RTP et RTCP ?","RTP (Real-time Transport Protocol) compense les effets de gigue et les changements d'ordre des paquets pour les données isochrones (voix, vidéo) ; RTCP (Real-time Transport Control Protocol) transporte les informations sur la qualité de transmission et sur l'identité des participants"
"Par quel protocole de transport RTP et RTCP sont-ils le plus souvent véhiculés et avec quelle influence sur la QoS ?","Le plus souvent par UDP ; ils n'ont aucune influence sur la qualité de service fournie par le réseau IP sous-jacent"
