Sur quoi repose l'ingénierie sociale (social engineering) ?;Sur l'exploitation des failles humaines : confiance, ignorance, crédulité des personnes;Sur une faille logicielle du système d'exploitation;Sur la saturation de la bande passante;Sur le cassage cryptographique des mots de passe;2;L'ingénierie sociale est une acquisition déloyale d'information qui exploite les failles humaines et sociales de la structure cible pour obtenir un bien, un service ou des informations clefs.
Quel pirate célèbre est associé à l'ingénierie sociale et au piratage des réseaux téléphoniques ?;Dan Farmer;Michael Calce alias Mafiaboy;Jeanson James Ancheta;Kevin Mitnick;5;Kevin Mitnick, connu pour le piratage des réseaux téléphoniques et l'attaque des machines de Tsutomu Shimomura, a utilisé des techniques d'ingénierie sociale et a effectué cinq ans de prison.
Que recense l'acronyme MICE, traduit en français par VICE ?;Les leviers psychologiques de manipulation : Money, Ideology, Compromise, Ego;Les types de virus : macro, boot, exécutable, script;Les quatre couches du modèle TCP/IP;Les phases d'une attaque : Map, Intrude, Compromise, Erase;2;MICE (Money, Ideology, Compromise, Ego), en français VICE (Vénal, Idéologie, Compromission, Ego), recense les leviers psychologiques utilisés pour retourner un agent.
Que désigne le « shoulder surfing » ?;L'observation directe d'une saisie, par-dessus l'épaule ou à distance avec des jumelles;La récupération de données dans les poubelles;L'analyse des trames d'un réseau commuté;Le rebond d'une attaque via un serveur FTP;2;Le shoulder surfing utilise des techniques d'observation directe, comme regarder par-dessus l'épaule de quelqu'un, pour obtenir un code, un mot de passe ou une saisie de formulaire.
À quoi sert le sniffing sur un réseau local non commuté ?;À capturer et décoder les paquets qui transitent, y compris des mots de passe non chiffrés;À empoisonner un cache DNS;À usurper une adresse IP;À rechercher les ports ouverts d'un serveur;2;Le sniffing permet de lire et d'enregistrer les paquets d'un réseau local non commuté, de décoder leurs champs et d'intercepter les mots de passe ou informations transitant en clair.
Comment est généralement considéré un balayage de ports (port scan) effectué sur un système tiers ?;Comme une écoute passive indétectable;Comme une tentative d'intrusion, car il sert souvent à préparer une intrusion;Comme une attaque par déni de service;Comme une opération sans conséquence juridique;3;Un balayage de ports sur un système tiers est généralement considéré comme une tentative d'intrusion car il sert souvent à préparer une intrusion, même s'il est aussi utilisé par les administrateurs.
Qu'est-ce que la stéganographie ?;La compression sans perte d'un fichier;La dissimulation d'informations sensibles au sein d'autres informations anodines;La signature électronique d'un document;Le chiffrement asymétrique des messages;3;La stéganographie est un procédé ancien de dissimulation d'informations sensibles parmi d'autres informations moins importantes, dans du texte, des images ou des sons, le watermarking en est un cas particulier.
Quelle est la différence entre menaces actives et menaces passives ?;Les menaces actives sont internes, les passives sont externes;Les menaces actives altèrent le système, les menaces passives se contentent d'observer;Les menaces actives visent le matériel, les passives visent le logiciel;Les menaces actives sont légales, les passives sont illégales;3;Les menaces actives (virus, vers, chevaux de Troie, spam, phishing, déni de service, bombes logiques) altèrent le système, tandis que les menaces passives (écoute des lignes, analyse de trafic) se limitent à l'observation.
Qu'est-ce qui distingue un ver d'un virus ?;Le ver ne peut pas se reproduire;Le ver n'affecte que les macros de documents;Le ver se propage seul vers d'autres ordinateurs à travers le réseau;Le ver a besoin d'un fichier hôte pour s'exécuter;4;Les vers sont proches des virus mais capables de se propager seuls sur d'autres ordinateurs à travers le réseau, un moyen courant étant le carnet d'adresses du client de messagerie.
Quelle faille le ver Blaster exploitait-il ?;Une faille du protocole SMTP;Une faille des serveurs web IIS;Une faille du noyau Linux;Une faille du service Windows DCOM RPC;5;Blaster exploitait une faille du service Windows DCOM RPC, tandis que Code Red exploitait une faille des serveurs IIS et défigurait les sites.
Qu'est-ce qu'un cheval de Troie ?;Un programme qui se reproduit sans intervention humaine;Un serveur de messagerie mal configuré;Un dispositif matériel d'écoute du réseau;Un logiciel d'apparence légitime qui exécute des actions à l'insu de l'utilisateur;5;Un cheval de Troie est un logiciel d'apparence légitime conçu pour exécuter des actions à l'insu de l'utilisateur, souvent pour ouvrir une porte dérobée donnant un accès distant secret.
Qu'est-ce qu'un spyware (espiogiciel) ?;Un logiciel qui chiffre les fichiers contre rançon;Un logiciel qui collecte des informations sur une machine et les envoie à l'insu de l'utilisateur;Un logiciel de sauvegarde automatique;Un pare-feu personnel;3;Un spyware collecte des informations d'une machine et les envoie à l'insu de l'utilisateur, le concept a été nommé par Microsoft en 1995, décliné en adware (publicité) et malware.
Qui contrôle un botnet ?;Le fournisseur d'accès de la victime;Un serveur DNS racine;L'éditeur de l'antivirus;Un « bot herder » ou « botmaster », via IRC, HTTP, DNS, messagerie instantanée, P2P ou Skype;5;Un botnet est un réseau de machines infectées contrôlées par un bot herder ou botmaster, qui peut piloter ses bots via des serveurs IRC ou web, des requêtes DNS, la messagerie instantanée, le P2P ou Skype.
Parmi ces usages, lequel est typique d'un botnet ?;Optimiser la bande passante du réseau;Chiffrer les communications de bout en bout;Envoyer du spam et mener des dénis de service distribués;Sauvegarder les données des victimes;4;Un botnet sert notamment à envoyer du spam, voler des informations avec un keylogger, diffuser des spywares, paralyser un réseau par déni de service distribué ou héberger du phishing.
Quelle est la définition du spam selon la CNIL ?;Un message publicitaire pour lequel le destinataire a donné son accord;Tout courrier électronique contenant une pièce jointe;Un courrier envoyé à une liste de diffusion professionnelle;L'envoi massif de courriers non sollicités à des personnes dont l'adresse a été captée de façon irrégulière;5;Selon la CNIL, le spam est l'envoi massif et parfois répété de courriers électroniques non sollicités à des personnes avec lesquelles l'expéditeur n'a jamais eu de contact et dont il a capté l'adresse de façon irrégulière.
Que doit éviter de devenir un serveur de messagerie mal configuré ?;Un « open relay » exploitable pour relayer du spam;Un contrôleur de domaine;Un serveur DNS secondaire;Un proxy transparent;2;Un serveur de courrier doit être bien configuré et éviter de devenir un « open relay » (relais ouvert), sinon les spammeurs l'utilisent pour relayer leurs envois.
En quoi consiste le greylisting (liste grise) anti-spam ?;À supprimer définitivement tout message d'un expéditeur inconnu;À chiffrer les messages entrants;À dupliquer les messages vers une boîte de quarantaine;À rejeter temporairement un message par un code de refus provisoire envoyé au MTA émetteur;5;Le greylisting rejette temporairement un message par émission d'un code de refus temporaire au MTA émetteur : les serveurs légitimes réémettent après quelques minutes, la plupart des serveurs de spam non.
De quoi le mot « phishing » est-il la contraction ?;De PHreaking et fISHING;De PHishing et spamMING;De PHone et pISHING;De PHysical et fISHING;2;Le mot phishing (hameçonnage) provient de la contraction de PHreaking et fISHING, la technique est utilisée massivement depuis 2003 par courriel, messagerie instantanée ou faux sites.
Quelle est la principale parade comportementale contre le phishing ?;Ne jamais cliquer sur un lien reçu mais taper soi-même l'adresse dans le navigateur;Répondre au message pour vérifier son authenticité;Désactiver le pare-feu pour accéder au site;Transférer le message à ses contacts;2;Contre le phishing, il ne faut jamais cliquer sur un lien mais taper l'adresse dans le navigateur, se méfier des formulaires demandant des informations confidentielles et vérifier le chiffrement et la validité du certificat.
Pourquoi le scam est-il aussi appelé « 419 » ?;En référence à l'article du code pénal nigérian qui réprime ce type d'arnaque;Parce qu'il utilise le port TCP 419;Parce qu'il est apparu en avril 2019;Parce qu'il rapporte en moyenne 419 dollars;2;Les scams, arnaques à l'extorsion de fonds d'origine africaine, sont connus sous le nom de « 419 » en référence à l'article du code pénal nigérian réprimant ce type d'arnaque.
En quoi consiste l'attaque « ping of death » ?;Bloquer les messages ICMP echo reply;Envoyer des milliers de requêtes ping par seconde depuis un botnet;Envoyer un paquet ICMP malformé dépassant la taille IP maximale de 65 535 octets;Répondre à toutes les requêtes ping d'un réseau;4;Le ping of death est une attaque historique de déni de service par envoi d'un paquet ping malformé dépassant la taille maximale de 65 535 octets, que certains systèmes ne savaient pas traiter, d'où un crash de la cible.
Pourquoi une attaque UDP Flood congestionne-t-elle fortement le réseau ?;Parce qu'UDP établit une connexion en trois temps;Parce que le trafic UDP n'a pas de contrôle de congestion et devient prioritaire sur le trafic TCP;Parce qu'UDP chiffre chaque paquet;Parce qu'UDP retransmet chaque paquet perdu;3;L'UDP Flood exploite le mode non connecté d'UDP : sans mécanisme de contrôle de congestion, le trafic UDP devient prioritaire sur TCP, qui réduit son débit, jusqu'à occuper presque toute la bande passante.
Qu'est-ce que l'IP spoofing ?;L'analyse passive des trames d'un réseau;La saturation d'un cache ARP;Le rejeu d'une session TCP interceptée;L'usurpation de l'adresse IP d'un autre ordinateur;5;L'IP spoofing parodie l'adresse IP d'un autre ordinateur pour brouiller les pistes ou obtenir un accès à des systèmes dont l'authentification est fondée sur l'adresse IP, comme rlogin ou rsh.
Comment repère-t-on une attaque SYN flood en cours sur une cible ?;La commande netstat -an montre un grand nombre de connexions dans l'état SYN_RECV;Le cache ARP contient des doublons;Le serveur DNS renvoie de mauvaises adresses;Le fichier /etc/shadow est modifié;2;Le SYN flood inonde la cible de segments SYN à adresse source usurpée et inaccessible, la machine garde de nombreuses connexions en état SYN_RECV, visibles avec netstat -an.
Quelle parade permet de limiter la portée d'un SYN flood ?;Ouvrir davantage de ports en écoute;Désactiver totalement le protocole TCP;Allonger la file d'attente des connexions et réduire la temporisation d'établissement;Augmenter la taille des paquets acceptés;4;Contre le SYN flood, on recommande d'allonger la file d'attente et de réduire la temporisation d'établissement de connexion, les OS modernes intègrent nativement SYN cookie et SYN cache.
Quand l'attaque DDoS a-t-elle été popularisée et par qui ?;Le 14 février 2000, contre des sites .com renommés, par « Mafiaboy » (Michael Calce);En 1988, par le ver de Morris;En 2010, par les Anonymous contre PayPal;En 1995, par Dan Farmer avec SATAN;2;Les attaques DDoS ont été popularisées le 14 février 2000 contre des sites .com renommés (eBay, CNN, Amazon), le coupable, Michael Calce alias « Mafiaboy », 15 ans, a été condamné à huit mois en centre de détention pour jeunes.
En quoi consiste l'ARP spoofing ?;Polluer les caches ARP avec de fausses associations adresse MAC / adresse IP;Usurper un nom de domaine dans un serveur DNS;Rejouer les segments d'une session TCP;Envoyer des requêtes ICMP sur une adresse de broadcast;2;L'ARP spoofing pollue les caches ARP avec de fausses associations adresse MAC / adresse IP, ce qui permet des attaques man in the middle, du déni de service et le contournement de règles de firewall.
Quelle parade est classiquement opposée à l'ARP spoofing ?;Bloquer tout le trafic ICMP;Fermer le port UDP 53;Utiliser des associations statiques et surveiller les changements avec arpwatch;Activer le chiffrement WPA2 sur le Wi-Fi;4;Les parades usuelles à l'ARP spoofing sont l'emploi d'associations statiques (peu souple) et la surveillance des changements d'association via des outils comme arpwatch sous Unix ou WinARPWatch sous Windows.
Pourquoi le TCP hijacking permet-il de prendre une session en cours ?;Parce que le contrôle d'authentification n'a lieu qu'à l'ouverture de la session;Parce que TCP ne numérote pas ses segments;Parce que TCP fonctionne en mode non connecté;Parce que chaque paquet TCP est authentifié individuellement;2;Dans le TCP hijacking, comme le contrôle d'authentification s'effectue uniquement à l'ouverture de la session, un pirate qui réussit l'interception garde la main pendant toute la durée de la session.
En quoi consiste une attaque Smurf ?;Saturer la table de routage d'un routeur;Empoisonner le cache d'un serveur DNS;Envoyer une trame ICMP echo request vers une adresse de diffusion en usurpant l'adresse de la victime;Injecter du code SQL dans un formulaire;4;Le Smurf consiste à envoyer une trame ICMP echo request sur une adresse de diffusion, les nombreuses réponses des intermédiaires, dirigées vers la victime dont l'adresse est usurpée, l'écroulent.
Qu'est-ce que le DNS cache poisoning ?;Chiffrer les réponses DNS pour empêcher leur lecture;Rediriger le trafic vers un serveur DNS interne;Effacer toutes les entrées d'un serveur DNS;Empoisonner le cache d'un serveur DNS pour rerouter un nom légitime vers un site pirate;5;Le DNS cache poisoning vise à corrompre le cache des serveurs DNS pour rerouter un site réel vers un site pirate, BIND en a été victime en juillet 2007, son générateur d'identifiants de requêtes étant prévisible.
Quelle proportion des vulnérabilités les buffer overflows représentent-ils ?;Environ un dixième;La totalité;Moins de un pour cent;Environ deux tiers;5;Le buffer overflow est une vulnérabilité extrêmement répandue, représentant environ deux tiers des vulnérabilités, il consiste à écrire des données hors de la zone allouée dans la pile ou le tas.
À quoi sert un « canary » dans la protection contre les débordements de pile ?;C'est un fichier journal des accès;C'est un repère aléatoire placé devant l'adresse de retour, vérifié avant le retour de la fonction;C'est un antivirus résident en mémoire;C'est un compteur de tentatives de connexion;3;Certains compilateurs (StackGuard dérivé de gcc) placent un repère « canary », généré aléatoirement, devant l'adresse de retour, si une attaque l'écrase, le programme le détecte avant le retour de la fonction.
Qu'est-ce qu'une race condition ?;Une course entre deux serveurs pour répondre à une requête;Un conflit d'adresses IP sur le réseau;Une ressource manipulée simultanément par plusieurs processus ou threads sans opération atomique;Un dépassement de la file d'attente d'un routeur;4;Une race condition survient quand une ressource (fichier, structure de données) est manipulée simultanément par plusieurs processus ou threads, certaines opérations doivent être rendues atomiques et les droits d'accès très précis.
Sur quoi repose une attaque XSS (Cross Site Scripting) ?;Sur l'usurpation d'une adresse MAC;Sur l'exécution de scripts dans le navigateur de la victime;Sur le cassage d'une clé de chiffrement;Sur la saturation de la bande passante du serveur;3;Le nom Cross Site Scripting vient de l'exécution de scripts (JavaScript, VBScript) dans le navigateur de la victime, souvent pour détourner un cookie de session, à ne pas confondre avec CSS (Cascading Style Sheet).
Quel est le remède commun aux failles XSS et aux injections SQL ?;Ne jamais faire confiance à une saisie utilisateur et filtrer ou échapper les caractères indésirables;Augmenter la taille des tampons mémoire;Bloquer le port 80;Chiffrer la base de données;2;Le remède commun est de ne jamais faire confiance à une saisie utilisateur : filtrer les caractères indésirables comme < et > (par exemple avec htmlspecialchars en PHP) et traiter les valeurs des formulaires avant toute requête.
