À quoi servent aujourd'hui les systèmes de fichiers FAT et FAT32 sous Windows ?;À gérer les quotas de disque;À assurer la compatibilité avec d'anciens systèmes d'exploitation;À chiffrer les données;À sécuriser les fichiers par liste d'accès;3;FAT et FAT32 sont dépassés et ne servent plus qu'à la compatibilité avec DOS, Windows 3.1 ou 95/98, tandis que NTFS apporte sécurité, quotas, compression et cryptage.
Que fait l'utilitaire convert.exe ?;Il convertit NTFS vers FAT32;Il crée un volume dynamique;Il convertit une partition FAT ou FAT32 vers NTFS, sans retour possible;Il défragmente une partition;4;convert.exe convertit les partitions FAT/FAT32 vers NTFS, l'inverse est impossible, il faut effacer et recréer la partition en FAT.
Qu'est-ce que la MFT dans NTFS ?;Le fichier journal des transactions;La table des partitions du disque;Un cache de lecture en mémoire;Le fichier des descripteurs de fichiers, dont la position est indiquée dans le MBR;5;La MFT (Master File Table) est le fichier des descripteurs de fichiers de NTFS, sa position figure dans le premier secteur de la partition (MBR) et elle est dupliquée pour la sécurité.
Quelle structure NTFS utilise-t-il pour localiser les fichiers ?;Un arbre binaire (B+);Une simple table linéaire comme la FAT;Un index hexadécimal;Une liste chaînée de secteurs;2;NTFS organise l'arborescence de répertoire en arbre binaire (B+), ce qui rend l'accès aux fichiers plus rapide que sur une partition FAT.
Quelle est la capacité minimale recommandée d'une partition NTFS ?;2 Go;400 Mo;10 Mo;16 Go;3;Une partition NTFS doit avoir au moins 400 Mo car NTFS utilise beaucoup d'espace pour stocker ses structures système.
Que devient la MFT lorsqu'un fichier est supprimé ?;La MFT est immédiatement compactée;Son entrée est marquée libre et réutilisable, mais la MFT ne se réduit pas;L'entrée est effacée physiquement;La MFT est recréée entièrement;3;À la suppression, l'entrée du fichier dans la MFT est marquée comme libre et peut être réutilisée, mais la MFT ne diminue jamais de taille.
Qu'est-ce qu'un attribut résident dans NTFS ?;Un attribut partagé entre plusieurs fichiers;Un attribut stocké hors de la MFT dans un espace propre;Un attribut chiffré;Un attribut rangé directement dans le descripteur de l'objet, au sein de la MFT;5;Un attribut résident est rangé dans le descripteur de l'objet lui-même (dans la MFT), un attribut non résident est stocké à l'extérieur de la MFT dans un espace alloué en propre.
Quelle est la plage de taille possible d'un cluster NTFS ?;De 1 ko à 4 ko;Toujours 4 koctets;De 4 ko à 8 ko;De 512 octets à 64 koctets;5;La taille d'un cluster NTFS varie de 512 octets à 64 koctets, résultat d'un compromis entre l'utilisation de l'espace disque et le nombre d'accès.
Sur combien de bits les clusters NTFS sont-ils numérotés ?;64 bits;32 bits;128 bits;16 bits;2;Les clusters NTFS sont numérotés sur 64 bits, ce qui implique la gestion de 16 milliards de clusters par volume.
Comment est organisé le contenu d'un répertoire NTFS ?;En arbre binaire;En pile;En table de hachage;En liste triée alphabétiquement;2;Le contenu d'un répertoire NTFS est organisé en arbre binaire, avec des nœuds créés ou supprimés au fil des ajouts et suppressions.
À quoi sert l'attribut Bitmap d'un répertoire NTFS ?;À journaliser les accès;À compresser le répertoire;À indiquer quels nœuds de l'arbre binaire sont libres pour être réutilisés;À chiffrer les noms de fichiers;4;L'attribut Bitmap d'un répertoire indique quels nœuds sont libres après suppression, s'il n'y en a plus, une nouvelle zone est allouée et la Bitmap mise à jour.
Selon quelle technique NTFS assure-t-il la récupération du système de fichiers ?;Un scandisk au démarrage;Un traitement transactionnel via un fichier journal;Une copie de sauvegarde complète du volume;Une double écriture systématique de chaque secteur;3;NTFS enregistre toutes les sous-opérations dans un fichier journal (comment refaire et défaire) avant de les reporter sur le disque, à la manière d'une base de données, avec la notion de transaction.
Qu'est-ce que l'écriture paresseuse (lazy write) ?;Les opérations sont faites en mémoire et l'écriture sur disque est différée pour la performance;Le disque n'est écrit qu'une fois par jour;Les écritures sont volontairement ralenties pour ménager le disque;Les fichiers sont écrits en double pour la fiabilité;2;Avec l'écriture paresseuse, les opérations sont d'abord effectuées dans des tampons en mémoire et l'écriture sur disque est différée, ce qui aggrave le risque d'incohérence en cas de panne et justifie le fichier journal.
