"Quelles sont les deux familles d'outils de détection d'intrusion ?","Les outils « host-based » qui analysent les journaux d'événements des équipements, et les outils « network-based » qui capturent et analysent le trafic à certains points du réseau"
"Pourquoi suivre les alertes des CERT en matière d'intrusion ?","Parce qu'un élément du SI concerné par une compromission signalée par le CERT a de fortes chances d'être aussi repéré par un attaquant, et l'attaque subie peut déjà faire l'objet d'une fiche de remédiation"
"Citez quatre comportements anormaux révélateurs d'une intrusion.","Impossibilité de se connecter, fichiers disparus, système de fichiers endommagé, connexions ou activités inhabituelles, services ouverts non autorisés, présence d'un sniffer, création ou destruction de comptes"
"Quelle est la première action à mener en cas de détection d'intrusion, selon l'ANSSI et le CERT ?","Déconnecter la machine du réseau, sans l'éteindre ni la redémarrer, pour ne pas perdre d'informations d'analyse (état des processus en cours notamment)"
"Comment et qui prévenir en cas d'intrusion détectée ?","Prévenir immédiatement le responsable sécurité et la hiérarchie, de préférence par téléphone ou de vive voix, car l'intrus peut lire les courriers électroniques échangés"
"Quel CERT les administrations françaises doivent-elles prévenir en cas d'intrusion ?","Le CERTA (aujourd'hui CERT-FR), contactable par courriel à contact@cert.ssi.gouv.fr"
"Pourquoi et comment faire une copie physique du disque d'une machine compromise ?","Pour préserver la valeur probatoire et garder l'état exact du système ; par une copie de bas niveau incluant les secteurs non occupés (commande dd sous Unix), jamais stockée sur le disque étudié"
"Que faire des traces d'intrusion trouvées sur les autres équipements du réseau ?","Les rechercher sur l'ensemble de l'environnement (pare-feu, routeurs, IDS), puis les copier, les dater et les signer numériquement"
"Faut-il contacter soi-même l'administrateur de la machine attaquante ?","Non : il faut laisser le CERT le faire, car il dispose des contacts et des outils, ses messages sont pris au sérieux et il constitue une autorité neutre"
"Pourquoi réinstaller entièrement l'OS d'une machine compromise ?","Parce que n'importe quelle partie du système (noyau, binaires, données, processus, mémoire) peut avoir été modifiée ; c'est le seul moyen d'éliminer toute porte dérobée. Supprimer seulement la vulnérabilité exploitée est insuffisant"
"Quelle est la règle de bon sens n°1 concernant les services d'un système ?","Ne démarrer que les services que le système doit offrir, et aucun autre : désactiver tous les services au départ et les activer au fur et à mesure des besoins"
"Après avoir corrigé les vulnérabilités d'un SI compromis, que faut-il faire des mots de passe ?","Modifier les mots de passe de tous les comptes du système d'information"
"En cas d'intrusion, qui est habilité à déposer plainte ?","Seule la direction de l'organisme, qui en porte l'autorité morale"
"Quels services spécialisés peuvent recevoir une plainte pour intrusion informatique ?","L'OCLCTIC (Office Central de Lutte contre la Criminalité liée aux TIC), la BEFTI (Brigade d'Enquêtes sur les Fraudes aux Technologies de l'Information) et la DCRI"
"En quoi consiste une attaque de mot de passe par force brute ?","À tester toutes les combinaisons possibles ; plus il y a de combinaisons, plus le temps moyen pour retrouver le mot de passe est long"
"En quoi consiste une attaque par dictionnaire ?","À tester une série de mots issus d'un dictionnaire, éventuellement transformés par des règles (majuscule, S remplacé par 5, ajout d'un chiffre) ; un mot de passe sans signification y résiste"
"Qu'est-ce qu'une attaque par compromis temps/mémoire ?","Une solution intermédiaire, plus rapide que la force brute et moins gourmande en mémoire que le dictionnaire complet, fondée sur des chaînes construites par hachage et réduction (tables arc-en-ciel)"
"Qu'est-ce qu'une attaque indirecte sur un mot de passe ?","Une attaque qui ne calcule pas le mot de passe mais le capture à la saisie (keylogger) ou le fait communiquer par supercherie (filoutage / phishing)"
"De quoi dépend la « force » d'un mot de passe ?","De sa longueur et du nombre de possibilités par caractère (minuscules, majuscules, chiffres, caractères spéciaux)"
"Quel est le paradoxe de la force d'un mot de passe ?","Un bon mot de passe doit être fort mais aussi facile à retenir : s'il est trop compliqué, l'utilisateur l'écrit sur un papier, ce qui ruine la sécurité"
"Décrivez la méthode phonétique de création de mot de passe.","Utiliser les sons des syllabes d'une phrase facile à retenir : « Usain Bolt a Couru le 100 en moins de 10 Secondes cet après-midi » devient « UBaClsansMe-2102nde7am »"
"Décrivez la méthode des premières lettres.","Garder les premières lettres d'une phrase, sans se limiter aux minuscules : « un tiens vaut mieux que deux tu l'auras » devient « 1tvmQ2tl'A »"
"Comment doit être fourni un mot de passe initial ?","De préférence sur un canal sûr ; s'il est fourni par l'administrateur ou sur un canal non confidentiel, il doit être changé dès la première connexion"
"Citez trois critères techniques d'une politique de mots de passe.","Longueur minimale obligatoire, interdiction de réutiliser les n derniers mots de passe, nombre de tentatives avant verrouillage, déblocage automatique après délai pour éviter les dénis de service"
"Pourquoi utiliser des mots de passe différents selon les services ?","Parce qu'un mot de passe n'est pas inviolable dans le temps : si un poste est compromis avec un keylogger, tous les mots de passe saisis sont capturés et l'impact dure tant qu'ils ne sont pas changés"
"Qu'est-ce qu'un mot de passe non rejouable (OTP) et quelle est sa limite ?","Un mot de passe à usage unique : une fois découvert il ne peut plus être réutilisé, mais il reste vulnérable aux attaques par interception (man in the middle)"
"Quelle alternative au mot de passe l'ANSSI recommande-t-elle si possible ?","L'usage d'un certificat d'authentification et d'une clé privée stockés sur une carte à puce qualifiée par l'ANSSI"
