"À quel niveau du modèle OSI un routeur agit-il et comment achemine-t-il un datagramme ?","Au niveau 3 (réseau) : pour déterminer par quelle interface transmettre un datagramme reçu, il consulte sa table de routage en utilisant l'adresse de destination contenue dans l'en-tête du datagramme. Son avantage principal est la gestion des chemins multiples."
"Quelle est la différence entre routage direct et routage indirect ?","En routage direct, le routeur délivre le datagramme sur le réseau physique auquel il est connecté (le destinataire est sur ce réseau). En routage indirect, il achemine le datagramme vers un autre routeur, qu'il doit identifier."
"Quels sont les trois types de routes ?","Route statique (définie manuellement par l'administrateur comme seul chemin possible vers une destination), route par défaut (définie manuellement comme chemin à emprunter quand aucune autre route n'est connue), route dynamique (le routeur met à jour sa table à partir des informations reçues des autres routeurs)."
"Sur quoi le routage IP est-il uniquement basé ?","Sur l'adresse du destinataire. Chaque équipement sait atteindre un équipement du même réseau, et un équipement d'un autre réseau s'il existe au moins un équipement de routage."
"Que contient chaque entrée d'une table de routage IP ?","Une paire (adresse réseau, adresse routeur suivant) : le champ « adresse réseau » indique l'adresse IP du réseau de destination, le champ « adresse routeur suivant » indique l'adresse du routeur vers lequel envoyer les datagrammes destinés à ce réseau."
"Comment fonctionne l'algorithme de routage IP ?","Il compare la partie « adresse réseau » de l'adresse IP de destination au champ « adresse réseau » de chaque entrée de la table de routage jusqu'à obtenir une correspondance ; comme l'adresse du routeur suivant doit désigner une machine directement accessible, un seul balayage de la table est nécessaire."
"Qu'est-ce qu'un Système Autonome (SA) ?","Un ensemble de réseaux et de leurs routeurs sous le contrôle d'une même autorité administrative, qui décide notamment du protocole de routage utilisé ; un SA peut être sous le contrôle d'un FAI ou d'une grande organisation. Il n'y a pas de gestion centralisée d'Internet, mais des SA administrés en son sein."
"Qui attribue les adresses IP et les numéros de SA en Europe ?","Le RIPE-NCC (Réseaux IP Européens Network Coordination Centre), Regional Internet Registry (RIR) pour la zone Europe ; l'IANA alloue au niveau mondial des plages de numéros de SA aux différents RIR, qui les attribuent aux demandeurs. Chaque SA reçoit un identifiant unique, l'ASN (Autonomous System Number), aujourd'hui sur 32 bits (anciennement 16)."
"Quelle est la différence entre un protocole de routage interne (IGP) et externe (EGP) ?","Un IGP (Interior Gateway Protocol) est utilisé à l'intérieur d'un même Système Autonome pour atteindre des destinataires internes au SA (RIP, OSPF). Un EGP (Exterior Gateway Protocol) est utilisé d'un SA à un autre. BGPv4 est quasiment le seul protocole de routage externe utilisé, il supporte de gros volumes et utilise l'agrégation des routes."
"Sur quel principe repose l'algorithme Vector-Distance (RIP) ?","Déterminer le chemin le plus court en nombre de nœuds traversés (16 maximum). Chaque routeur diffuse à tous ses voisins la liste des réseaux qu'il sait atteindre, le nombre de sauts et l'adresse IP du routeur à utiliser ; chaque routeur met alors à jour sa table de routage."
"Quels sont les inconvénients de RIP (Vector-Distance) ?","Le temps de convergence peut être long dans un réseau de grande dimension (le calcul des routes est réparti entre tous les routeurs), la notion de distance ne rend pas compte de tout, et le volume des informations échangées est directement proportionnel au nombre de réseaux. RIP a été développé à l'université de Berkeley et diffusé comme produit du domaine public."
"Sur quelle technique l'algorithme Link-State repose-t-il et comment fonctionne-t-il ?","Sur la technique Shortest Path First (SPF). Chaque routeur surveille activement l'état de toutes ses liaisons, diffuse cet état à tous les autres routeurs, construit une carte topologique complète du réseau et calcule les routes de plus court chemin avec l'algorithme de Dijkstra."
"Quels sont les avantages de l'algorithme Link-State (OSPF) ?","Chaque routeur calcule la carte du réseau de façon locale et indépendante à partir des mêmes informations d'état (sans dépendre du calcul des machines intermédiaires), et le volume des informations échangées ne dépend pas du nombre de réseaux (les messages d'état ne portent que sur des liens directement accessibles). Son inconvénient est la complexité du calcul."
"Les protocoles comme RIP et OSPF réalisent-ils le routage des datagrammes ?","Non : ils ne font que mettre à jour les tables de routage. Le routage des datagrammes lui-même est réalisé par IP."
