Que désigne le terme « bootstrapping » ?;La sauvegarde du noyau;L'ensemble des processus de démarrage d'un OS Unix/Linux;L'arrêt du système;Le chiffrement du disque;3;Le bootstrapping décrit l'ensemble des processus de démarrage : le noyau est monté en mémoire puis de nombreuses phases d'initialisation s'enchaînent.
Combien d'octets constituent le Master Boot Record (MBR) ?;1024;512;128;256;3;Le MBR est constitué des 512 premiers octets du périphérique de démarrage et contient un programme indiquant où lire le boot loader.
Quel boot loader est utilisé par défaut sur de nombreuses distributions Unix/Linux x86 ?;systemd;NTLDR;GRUB;LILO;4;GRUB (Grand Unified Boot Loader), développé par le projet GNU, est le boot loader par défaut de nombreuses distributions Unix et Linux sur x86.
Que représente la notation (hd0,0) dans GRUB ?;Le disque 0 secteur 0;Le noyau numéro 0;La partition de swap;La première partition du premier disque;5;(hd0,0) désigne la première partition (0) du premier disque (hd0) tel que défini dans le BIOS.
Quel PID le processus init porte-t-il toujours ?;2;1;100;0;3;Le processus init a toujours le PID 1, sur les Unix, sched a en principe le PID 0.
Quelle commande affiche les messages du noyau relatifs à l'inventaire matériel ?;ps;top;fsck;dmesg;5;La commande dmesg permet de consulter les messages du noyau, notamment ceux produits lors de la détection du matériel.
Que permet le mode single-user (maintenance) ?;Un démarrage plus rapide en production;Le chiffrement automatique du disque;Un accès réseau complet;De charger la console sans monter tous les périphériques ni le réseau;5;Le mode single-user charge la console sans monter tous les périphériques, le réseau est désactivé, il faut être présent en salle machine.
Comment remonter la racine en lecture-écriture en mode single-user ?;mount -o rw,remount /;fsck /;chkconfig --add /;telinit 6;2;Si la racine est montée en lecture seule, on la remonte en lecture-écriture avec mount -o rw,remount /
À quoi sert la commande fsck ?;À vérifier et réparer un système de fichiers endommagé;À formater un disque;À lancer les services réseau;À changer de niveau d'exécution;2;fsck vérifie et répare un système de fichiers endommagé, automatique au boot normal, elle doit souvent être lancée à la main en single-user.
Que représente le niveau d'exécution 0 ?;Le mode single-user;Le mode graphique;L'arrêt complet du système;Le redémarrage;4;Le niveau 0 correspond à l'arrêt complet du système, le niveau 6 correspond au redémarrage.
Quel niveau d'exécution correspond à l'affichage graphique (serveur X) sous Linux ?;5;3;6;2;2;Sous Linux, le niveau 5 est utilisé pour l'affichage graphique et donc le serveur X, un serveur utilise plutôt le niveau 2 ou 3.
Quel fichier décrit ce qu'effectue chaque niveau d'exécution ?;/etc/passwd;/etc/inittab;/etc/fstab;/boot/grub/menu.lst;3;Le fichier /etc/inittab décrit ce qu'effectue chaque niveau d'exécution, telinit permet d'en changer.
Dans les répertoires rcN.d, que signifient les préfixes S et K des liens ?;Start et Kill;Save et Keep;Single et Kernel;System et Kernel;2;Les liens Snn<service> lancent le service (Start), les liens Knn<service> l'arrêtent (Kill), exécutés dans l'ordre des numéros.
Que fait la commande chkconfig sous Red Hat ?;Elle vérifie l'intégrité du noyau;Elle chiffre les fichiers de configuration;Elle compile le noyau;Elle ajoute ou retire un script de démarrage dans les niveaux d'exécution;5;chkconfig permet d'ajouter ou d'enlever un script de démarrage dans un ou tous les niveaux d'exécution et de lister les services.
Qu'est-ce que systemd ?;Un système de fichiers;Un boot loader;Un gestionnaire de système et de services, remplaçant de sysvinit;Un éditeur de texte;4;systemd est un gestionnaire de système et de services pour Linux, il gère les dépendances, parallélise le démarrage et suit les processus via les cgroups.
Comment fonctionne le démon Upstart d'Ubuntu ?;En lisant le fichier inittab;Par événements comme l'ajout d'un périphérique ou d'un câble réseau;Par une séquence figée de scripts;Uniquement en mode graphique;3;Upstart fonctionne à l'aide d'événements et non d'une séquence de scripts, il a ensuite été abandonné au profit de systemd.
En combien de phases s'exécute le script /sbin/rc.boot au démarrage d'AIX ?;Sept;Deux;Trois;Cinq;4;rc.boot s'exécute en 3 phases : initialisation du matériel, montage des systèmes de fichiers, démarrage de /etc/init décrit par /etc/inittab.
Dans SMF de Solaris, comment est identifié chaque service ?;Par une adresse IP;Par un PID;Par un numéro de niveau d'exécution;Par un FMRI (fault management resource identifier);5;Dans SMF, chaque service est identifié par son FMRI, les commandes svcs et svcadm permettent d'en vérifier et d'en changer le statut.
