"Qu'est-ce que la cryptographie ?","Une discipline de la cryptologie qui protège les messages (confidentialité, authenticité, intégrité) à l'aide de secrets ou de clés, en rendant un message inintelligible pour qui n'est pas destinataire"
"Quelle est la différence entre « chiffre » et « code » ?","Le chiffre effectue une substitution au niveau des lettres ; le code effectue une substitution au niveau des mots ou des phrases"
"Que signifie « décrypter » ?","Retrouver le message clair correspondant à un message chiffré sans posséder la clé de déchiffrement (les anglophones disent « casser » un code)"
"Quelles sont les deux branches de la cryptologie selon le point de vue ?","La cryptographie (conception de mécanismes de sécurité, côté concepteur) et la cryptanalyse (analyse et mise en défaut de ces mécanismes, côté attaquant)"
"Quel article fondateur a donné naissance à la cryptographie asymétrique et en quelle année ?","L'article de Whitfield Diffie et Martin Hellman, en 1976"
"Quels sont les quatre grands objectifs de sécurité traités par la cryptographie ?","La confidentialité, l'intégrité, l'authentification (de données ou d'entités) et la non-répudiation"
"Qu'est-ce que la non-répudiation et par quel mécanisme est-elle assurée ?","Un service empêchant une entité de nier avoir effectué une action ; le principal mécanisme est la signature à clé publique"
"Qu'est-ce qui caractérise le chiffrement symétrique ?","L'émetteur et le destinataire partagent une même clé secrète, utilisée à la fois pour chiffrer et pour déchiffrer"
"Quelles sont les deux familles de chiffrement symétrique ?","Le chiffrement par bloc (block cipher) et le chiffrement par flot (stream cipher)"
"Citez trois algorithmes de chiffrement symétrique.","DES, 3DES, AES, RC4, RC5, MISTY1, chiffre de Vernam"
"Pourquoi la taille de clé n est-elle déterminante en chiffrement symétrique ?","Parce qu'on peut former 2^n clés de longueur n ; une clé trop courte rend possible l'attaque par recherche exhaustive (énumération de toutes les clés)"
"Quels sont les deux inconvénients majeurs du chiffrement symétrique ?","Il faut une clé par paire de correspondants (gestion difficile à grande échelle), et le partage de la clé rend la signature et la non-répudiation impossibles"
"Quel est le principe du chiffrement asymétrique ?","Les opérations publiques (chiffrer, vérifier une signature) et les opérations privées (déchiffrer, signer) utilisent des clés différentes : une clé publique diffusable et une clé privée gardée secrète"
"En chiffrement asymétrique, avec quelle clé chiffre-t-on un message pour un correspondant ?","Avec la clé publique du destinataire ; seul ce dernier pourra le déchiffrer avec sa clé privée correspondante"
"Sur quels problèmes mathématiques repose la cryptographie asymétrique ?","Des problèmes réputés difficiles issus de la théorie des nombres : la factorisation de grands nombres premiers et le calcul de logarithmes discrets (dont les courbes elliptiques)"
"Citez deux algorithmes asymétriques et un protocole d'échange de clés.","RSA et DSA ; le protocole d'échange de clés Diffie-Hellman"
"Quels sont les inconvénients du chiffrement asymétrique ?","La nécessité de certifier les clés publiques (problème d'authentification), la lenteur des algorithmes qui interdit les gros volumes, et la vulnérabilité à l'attaque par interception"
"Comment combine-t-on chiffrement symétrique et asymétrique en pratique ?","On utilise le chiffrement asymétrique pour échanger la clé symétrique, puis le chiffrement symétrique, plus rapide, pour les données"
"Qu'est-ce qu'une fonction de hachage cryptographique ?","Une fonction déterministe qui transforme une suite de bits de longueur quelconque en un condensat (empreinte) de taille fixe, non inversible en pratique"
"Quelles sont les deux propriétés attendues d'une fonction de hachage cryptographique ?","La non-inversibilité (impossible de retrouver un antécédent d'un condensat) et l'absence de collision (impossible de trouver deux messages ayant le même condensat)"
