"De quels mots « Internet » est-il la contraction ?","Interconnection et Network : un système permettant à un ensemble de réseaux de communiquer, doublé d'un ensemble de normes et de services"
"Quelle est la différence entre Internet, Intranet et Extranet ?","L'Intranet limite la collectivité aux salariés d'une entreprise ; l'Extranet y ajoute les fournisseurs et les clients ; l'Internet est ouvert à tous"
"Quel était le nom initial d'Internet et qui l'a créé ?","Arpanet, créé en 1969 par l'armée américaine via la DARPA ; le Web a été développé par le CERN en 1992"
"Quels sont les quatre types de points de concentration d'Internet ?","Les MAE (Metropolitan Area Exchange, Worldcom), les NAP (Network Access Point, NSF), les PPP (Private Peering Point, entre ISP) et les ISP (Internet Service Provider) qui s'y raccordent moyennant redevance"
"Pourquoi n'y a-t-il aucune garantie de service sur Internet ?","Parce qu'Internet est une collection de réseaux gérés par des opérateurs privés ou gouvernementaux : les temps de réponse dépendent de la charge et les pannes sont réelles"
"Comment la Commission générale de terminologie définit-elle un intranet ?","Un réseau de télécommunication et de téléinformatique destiné à l'usage exclusif d'un organisme et utilisant les mêmes protocoles et techniques que l'internet"
"Qu'est-ce qu'un client léger (Thin Client) ?","Une machine cliente dotée d'un navigateur qui ne fait qu'interpréter l'affichage de pages web, rendant l'accès aux ressources indépendant du matériel et du logiciel du poste"
"Sur quelle architecture repose un intranet dans son organisation la plus simple ?","Une architecture à trois niveaux : le client (navigateur), le serveur web couplé à un serveur d'application, et le serveur de base de données"
"Comment un intranet devient-il un extranet ?","Lorsque tout ou partie de l'intranet est étendu hors de l'entreprise par VPN ou liaisons louées pour communiquer avec des organismes extérieurs (clients, fournisseurs), favorisant l'échange de données informatisé (EDI)"
"Qu'est-ce qu'un PGI (ERP) ?","Un Progiciel de Gestion Intégré (Enterprise Resource Planning) : un ensemble de modules applicatifs travaillant sur une base de données unique, constituant une solution métier transversale pour le pilotage et la cohérence des processus"
"Combien de temps dure généralement la mise en place d'un ERP et quels éditeurs pour les grands comptes ?","Entre six mois et trois ans ; pour les grands comptes : SAP, Oracle, PeopleSoft ; offres plus légères : Sage, Cegid ; Open Source : Compiere"
"Sur quoi repose le knowledge management (management des connaissances) ?","Sur des systèmes de gestion documentaire pour identifier les connaissances, et sur des annuaires du savoir pour localiser les compétences dans l'entreprise"
"Quelles sont les trois fonctionnalités principales des outils de groupware ?","La communication, la coopération (travailler ensemble, partager des bases de connaissances) et la coordination (gestion du temps, des tâches, workflow)"
"À quoi sert un outil de workflow ?","À ordonnancer, router et suivre les travaux d'un projet mené par plusieurs collaborateurs : stockage des documents, planification des tâches, agendas, alertes aux managers en cas de retard"
"Quels enjeux financiers l'intranet présente-t-il ?","Il s'appuie sur les réseaux privés existants, allège les postes clients (client léger, postes banalisés), réduit les coûts de maintenance des machines et les coûts papier"
"Qui a donné la première définition de l'extranet ?","Bob Metcalfe, créateur d'Ethernet : « les extranets sont les moyens par lesquels une entreprise cherche à atteindre ses clients en utilisant la technologie Internet »"
"En quoi Internet diffère-t-il de l'intranet et de l'extranet du point de vue de l'infrastructure et des utilisateurs ?","Pour Internet, les infrastructures réseau sont publiques et la communauté d'utilisateurs est inconnue ; pour l'intranet et l'extranet, on a une partie publique et une partie privée, et la communauté est identifiée"
"Quelles mesures de sécurité fondamentales un extranet doit-il assurer ?","Authentifier les utilisateurs (simple ou forte), authentifier le serveur extranet par certificat, assurer la confidentialité (SSL : HTTPS, FTPS ; VPN), empêcher les intrusions (firewall-IPS) et garantir l'intégrité des documents (fichiers chiffrés)"
