"Qu'est-ce que la mémoire virtuelle sous Windows ?","Un système activé à la demande qui donne aux applications l'illusion d'une mémoire physique plus grande que la réalité ; seules les parties actives des programmes et des données sont en mémoire principale."
"Sur quelle notion repose le concept de mémoire virtuelle ?","La page : les programmes et les données sont segmentés automatiquement en blocs de longueur fixe, unités de traitement dont la situation physique (mémoire principale ou auxiliaire) est déterminée par le système."
"Comment la taille d'une mémoire virtuelle est-elle limitée ?","Uniquement par les capacités d'adressage du système, et non par la capacité réelle de la mémoire physique de la machine."
"Qu'est-ce que le swapping (échange) de pages ?","Le transfert des pages entre la mémoire principale et les mémoires auxiliaires : les pages nécessaires sont chargées à la demande, les pages inactives sont recouvertes."
"Comment est définie l'architecture d'un processeur (32 ou 64 bits) ?","Par la taille de ses registres généraux (GPR, General Purpose Registers)."
"Qui a sorti le premier processeur 64 bits pour PC sous Windows et quand ?","AMD, avec l'Athlon 64 en 2003, en conservant la compatibilité avec le noyau x86 32 bits."
"Quelle est la particularité de l'architecture Itanium (IA-64) d'Intel ?","Elle est entièrement 64 bits et totalement incompatible avec les architectures précédentes : elle nécessite son propre système d'exploitation et ses propres applications 64 bits."
"Qu'est-ce que la plate-forme x64 ?","Des processeurs (Intel EMT64, AMD64) basés sur des registres 32 bits avec extensions 64 bits, permettant de déployer un OS 32 ou 64 bits sur le même serveur."
"Un processeur 64 bits adresse-t-il réellement la mémoire sur 64 bits ?","Non : en pratique, l'adressage physique se fait sur 36 à 40 bits selon les processeurs (AMD K8/K10 : 40 bits soit 1 To ; Intel Core 2 : 36 bits)."
"Combien de mémoire physique Windows Server 2008 64 bits gère-t-il (édition serveur courante) ?","128 Go ; un Windows 64 bits n'exécute pas les programmes 16 bits et exécute les programmes 32 bits dans une couche de compatibilité."
"Qu'est-ce que l'environnement WoW64 ?","La couche de compatibilité de Windows x64 qui exécute les applications 32 bits nativement avec les registres 32 bits, avec un impact négligeable sur les performances."
"Comment évolue l'espace d'adressage d'une application selon l'architecture ?","32 bits : 2 Go par application (le noyau partage l'espace 32 bits). x64 : l'application 32 bits passe à 4 Go, l'application 64 bits dispose de 8 To (8 To pour le noyau également, adressage virtuel sur 43 bits)."
"À quoi sert l'indicateur /LARGEADDRESSAWARE ?","Il doit être spécifié au compilateur pour qu'une application 32 bits tire parti de l'espace d'adressage de 4 Go (mode PAE, Physical Address Extension) ; le commutateur /3GB n'est pas pris en charge en 64 bits."
"Quels sont les deux rôles principaux du gestionnaire de mémoire ?","Allouer l'espace mémoire virtuelle d'un processus et le traduire en mémoire physique ; paginer le contenu de la mémoire vers le disque quand elle est surengagée."
"Quelle est la taille standard d'une page mémoire ?","4096 octets (4 ko) ; il existe deux tailles selon l'architecture, petite et grande (la grande accélère la traduction d'adresses pour les données d'une même page)."
"Qui seul peut accéder directement à la mémoire physique ?","Le noyau : il fait le lien entre les pages de mémoire virtuelle vues par un processus et les pages physiques réelles ; chaque processus ne voit que son propre espace virtuel."
"Différence entre la pile (stack) et le tas (heap) d'un processus ?","La pile stocke temporairement les paramètres, variables locales et adresses de retour des fonctions (agrandie automatiquement par le noyau). Le tas sert à l'allocation dynamique (agrandi par la bibliothèque C, pas automatiquement)."
"Quelles sont les trois catégories de données mappées dans la mémoire virtuelle ?","Celles relatives au processus, celles relatives à la session, celles relatives au système."
"Que contient l'espace mémoire réservé au système sous Windows ?","L'image de l'OS, la HAL et les pilotes de démarrage, l'hyperspace, la Working Set List, le cache système, les réserves paginée et non paginée, les PTE système, les informations de crash et la mémoire HAL."
"Combien de réserves paginées un système possède-t-il ?","Deux sur un système monoprocesseur, quatre sur un système multiprocesseur ; plusieurs réserves réduisent la fréquence des blocages sur les appels simultanés."
"Différence entre réserve paginée et réserve non paginée ?","La réserve paginée peut être déplacée entre mémoire et disque ; la réserve non paginée reste garantie en permanence en mémoire physique et est accessible sans générer d'E/S de pages."
"Qu'est-ce que le TLB (Translation Look-aside Buffer) ?","Une mémoire associative (tampon des pages récemment utilisées) contenant des couples numéro de page virtuelle / numéro de page physique, pour accélérer la traduction d'adresses."
"Qu'est-ce que la pagination à la demande avec regroupement ?","Une page n'est chargée qu'au moment d'un défaut de page ; le gestionnaire charge alors la page demandée plus quelques pages voisines, ce qui diminue le nombre de défauts de page."
"Différence entre stratégie de placement et stratégie de remplacement ?","Placement : quand la mémoire physique n'est pas pleine, on alloue une case libre. Remplacement : quand elle est pleine, on désigne (selon FIFO local) la page à extraire pour faire de la place."
