"Quel programme a été annoncé en août 1997 par Lionel Jospin et qu'a-t-il programmé ?","Le PAGSI (Programme d'Action Gouvernemental pour la Société de l'Information), qui a programmé la généralisation des sites internet publics et la mise en ligne de formulaires administratifs"
"Que signifie RE/SO 2007 et quels sont ses trois volets ?","« Pour une RÉpublique numérique dans la SOciété de l'information », présenté en novembre 2002 par Jean-Pierre Raffarin ; ses trois volets sont l'action sur l'offre, l'action sur la demande et l'intervention directe de l'État"
"Quelles sont les trois phases de l'administration électronique selon RE/SO 2007 ?","La mise à disposition d'informations statiques, la mise à disposition de formulaires téléchargeables, puis l'acheminement vers les téléprocédures"
"Quelle succession de structures a piloté l'administration électronique entre 1998 et 2003 ?","La MTIC (décret du 27 août 1998), puis l'ATICA (décret du 22 août 2001), puis l'ADAE (décret du 21 février 2003)"
"De la fusion de quels services l'ADAE est-elle née ?","De l'ATICA, de la mission utilisation des TIC par l'administration de la DIRE, et du pôle formulaires et téléprocédures de la COSA (Commission pour les Simplifications Administratives)"
"Quand l'ADAE a-t-elle été intégrée à la DGME et à quel ministère celle-ci était-elle rattachée ?","Par le décret du 30 décembre 2005, l'ADAE a été intégrée à la Direction Générale de la Modernisation de l'État, rattachée au ministère de l'Économie, des Finances et de l'Industrie"
"En quels trois services la DGME était-elle organisée ?","Le service de la qualité et de la simplification, le service de la modernisation de la gestion publique et le service du développement de l'administration électronique"
"Qu'est-ce que la charte Marianne ?","Une charte générique de la qualité des services rendus aux usagers, promue par la DUSA (Délégation aux usagers et aux simplifications administratives) au sein de la DGME"
"Qu'est-ce que le programme ADELE et quand a-t-il été annoncé ?","Le programme ADministration ELEctronique, annoncé en février 2004 : un cadre pluriannuel et coordonné reprenant 140 mesures (Adèle 1 à 140), décliné en un plan stratégique (PSAE) et un plan d'action (P2AE) pour 2004-2007"
"En quoi consiste le numéro 3939 « Allô service public » ?","Un numéro de téléphone unique permettant à toute personne d'obtenir en moins de trois minutes une réponse ou une orientation à tout renseignement administratif"
