Sur quel réseau s'appuie la téléphonie traditionnelle ?;Le réseau GSM de deuxième génération;Le réseau X.25 à commutation de paquets;Le réseau Transpac;Le Réseau Téléphonique Commuté public (RTC / PSTN);5;Le RTC (RTCP), en anglais Public Switched Telephone Network (PSTN), est le réseau historique de la téléphonie commutée.
En dessous de quelle latence obtient-on une bonne qualité de conversation téléphonique interactive ?;500 ms;2 secondes;150 ms;1 seconde;4;La latence doit être inférieure à 150 ms pour une bonne qualité, 300 ms restant acceptable pour une interaction humaine.
En dessous de quelle latence l'écho cesse-t-il d'être sensible à l'oreille, à défaut de suppresseur d'écho ?;600 ms;28 ms;150 ms;300 ms;3;Il faudrait une latence inférieure à 28 ms, comme c'est irréaliste, les terminaux embarquent des suppresseurs d'écho.
Que signifie le sigle PABX ?;Private Automatic Branch eXchange;Protocol Address Binding eXtension;Primary Analog Bus eXchange;Public Access Broadband eXchange;2;Le PABX est l'autocommutateur téléphonique privé d'une entreprise, reliant les lignes internes entre elles et au réseau public.
Quel ensemble de protocoles définit la signalisation téléphonique, et par quel organisme ?;Le protocole H.323, défini par l'ISO;Le protocole SS7, défini par l'IEEE;Le protocole SIP, défini par l'IETF;Le Signaling System #7 (SS7), défini par l'UIT;5;Le SS7 (Signaling System #7) est défini par l'Union Internationale des Télécommunications (UIT).
Quelle fonctionnalité de signalisation le RNIS a-t-il notamment apportée ?;Le routage IP des paquets voix;La présentation du numéro de l'appelant et le transfert d'appel;Le chiffrement de bout en bout des communications;La compression G.729 de la voix;3;Le RNIS a enrichi la signalisation avec la présentation du numéro appelant, le transfert d'appel, etc.
Quelle est la part moyenne du temps de parole d'un interlocuteur dans une conversation ?;Environ 65 %;Environ 35 %;Environ 10 %;Environ 90 %;3;On ne parle en moyenne que 35 % du temps, ce qui permet au multiplexage d'exploiter les silences.
Que recouvre la notion de VoIP au-delà de la téléphonie sur IP ?;Uniquement le transport de fichiers audio;La vidéo sur IP, la visioconférence et la gestion des IPBX sur IP;Uniquement la messagerie électronique;Uniquement la diffusion de radio en streaming;3;La VoIP inclut la vidéo sur IP, la visioconférence, la gestion des autocommutateurs IP (IPBX) et les messages avec les postes IP.
Quel est un objectif majeur de la VoIP pour une entreprise ?;La multiplication des commutateurs locaux dédiés;La convergence des réseaux vers un réseau unique portant données, voix et vidéo;La séparation stricte de la voix et des données;L'abandon des abonnements forfaitaires;3;La VoIP vise la convergence vers un réseau unique, la réduction des coûts, de nouveaux services et une gestion simplifiée.
Quel impact propre le transport par paquets a-t-il sur la voix, contrairement au transport par circuit ?;Les délais de transit varient d'un paquet à l'autre faute de réservation de ressource;La latence devient rigoureusement constante;La bande passante est réservée de bout en bout;L'ordre des paquets est toujours garanti;2;Sans réservation de ressource, les délais varient et l'ordre des paquets peut ne pas être respecté.
