Quel programme a été annoncé en août 1997 par Lionel Jospin ?;Le programme AdER;Le programme ADELE;Le PAGSI, qui a programmé la généralisation des sites internet publics et la mise en ligne de formulaires;Le schéma directeur de l'administration électronique;4;Annoncé en août 1997 par le Premier ministre Lionel Jospin, le PAGSI (Programme d'Action Gouvernemental pour la Société de l'Information) visait à préparer l'entrée de la France dans la société de l'information et a programmé la généralisation des sites internet publics ainsi que la mise en ligne de formulaires administratifs.
Que signifie RE/SO 2007 ?;Pour une RÉpublique numérique dans la SOciété de l'information;RÉseau des Services Ouverts 2007;RÉférentiel des Services en ligne de l'Ordonnance 2007;RÉforme des Systèmes Opérationnels 2007;2;Le programme gouvernemental RE/SO 2007 signifie « Pour une RÉpublique numérique dans la SOciété de l'information », il a été présenté en novembre 2002 par le Premier ministre Jean-Pierre Raffarin.
Quels sont les trois volets du programme RE/SO 2007 ?;La sémantique, la technique et l'organisationnel;Le socle commun, les domaines sectoriels et les nouveaux services;L'action sur l'offre, l'action sur la demande et l'intervention directe de l'État;L'information, l'interaction et la téléprocédure;4;RE/SO 2007 comprend trois volets : une action sur l'offre (climat de confiance, création d'entreprise), une action sur la demande (équipement des ménages, accès rapide à internet) et une intervention directe de l'État comme acteur de la société de l'information.
Quelles sont les trois phases de l'administration électronique selon RE/SO 2007 ?;Consultation, saisie, archivage;Informations statiques, formulaires téléchargeables, téléprocédures;Papier, mixte, tout numérique;Local, national, européen;3;RE/SO 2007 décrit une première phase de mise à disposition d'informations statiques, une deuxième phase de mise à disposition de formulaires téléchargeables, et une troisième phase d'acheminement vers les téléprocédures.
Quelle succession de structures a piloté l'administration électronique de 1998 à 2003 ?;La DISIC, puis le SGMAP, puis la DINSIC;La MTIC, puis l'ATICA, puis l'ADAE;Le CIIBA, puis la DSI, puis la DGME;La DATAR, puis la DIACT, puis le CIACT;3;Le pilotage a été assuré par la MTIC (décret du 27 août 1998), puis par l'ATICA (décret du 22 août 2001), puis par l'ADAE (décret du 21 février 2003).
De la fusion de quels services l'ADAE est-elle née ?;Le NOC, le SOC et le SCN RIE;L'ATICA, la mission TIC de la DIRE et le pôle formulaires et téléprocédures de la COSA;La DGME, la DMGPSE et la DUSA;La DISIC, Etalab et le pôle Innovation;3;L'ADAE est née de la fusion de trois services interministériels : l'ATICA, la mission utilisation des TIC par l'administration de la DIRE et le pôle en charge des formulaires et des téléprocédures au sein de la COSA (Commission pour les Simplifications Administratives).
Par quel décret l'ADAE a-t-elle été intégrée à la DGME ?;Le décret du 30 décembre 2005;Le décret du 1er août 2014;Le décret du 27 août 1998;Le décret du 21 février 2003;2;L'ADAE a été intégrée au sein de la Direction Générale de la Modernisation de l'État par un décret du 30 décembre 2005 et rattachée au ministère de l'Économie, des Finances et de l'Industrie.
En combien de services la DGME était-elle organisée ?;Quatre : réseau, poste, messagerie, sécurité;Deux : central et déconcentré;Cinq : un par ministère financier;Trois : qualité et simplification, modernisation de la gestion publique, développement de l'administration électronique;5;La DGME était composée de trois services : le service de la qualité et de la simplification, le service de la modernisation de la gestion publique et le service du développement de l'administration électronique.
Qu'est-ce que la charte Marianne ?;Un référentiel technique d'accessibilité;Une charte générique de la qualité des services rendus aux usagers;Une norme de sécurité rédigée par l'ANSSI;Le nom du réseau interministériel;3;La charte Marianne est une charte générique de la qualité des services rendus aux usagers, promue par la DUSA (Délégation aux usagers et aux simplifications administratives), qui prime aussi les administrations les plus performantes par la remise de « trophées ».
Quand le programme ADELE a-t-il été annoncé et combien de mesures comporte-t-il ?;En 2011, 10 composantes;En 2005, 47 initiatives;En 1998, 50 décisions;En février 2004, 140 mesures numérotées de Adèle 1 à Adèle 140;5;Le Premier ministre a annoncé en février 2004 le programme ADELE (ADministration ELEctronique), cadre pluriannuel reprenant les 140 mesures numérotées de Adèle 1 à Adèle 140, décliné en un plan stratégique (PSAE) et un plan d'action (P2AE) pour 2004-2007.
En quoi consiste le numéro 3939 « Allô service public » ?;Un service de télédéclaration des revenus;Un numéro de téléphone unique donnant en moins de trois minutes une réponse ou une orientation administrative;Le numéro d'urgence de la CNIL;Un portail internet de démarches;3;Le 3939 « Allô service public » est un numéro de téléphone unique permettant à toute personne d'obtenir en moins de trois minutes une réponse ou une orientation à tout renseignement administratif.
Quelle fonctionnalité la carte nationale d'identité électronique (CNIE) apporte-t-elle au-delà de l'attestation d'état civil ?;Le paiement des amendes;Le vote électronique obligatoire;La possibilité de s'authentifier et de signer électroniquement, et la simplification de l'obtention d'autres titres;L'accès gratuit aux transports publics;4;Outre les fonctions fondamentales de la carte nationale d'identité, la CNIE simplifie l'obtention d'autres titres comme le passeport dans des conditions de sécurité optimales et permet à ses détenteurs de s'authentifier et de signer électroniquement.
À quoi sert la carte d'agent public ?;À accéder à internet depuis n'importe quel poste;À gérer des habilitations, autoriser la signature de pièces dématérialisées et sécuriser l'accès aux locaux;À payer les repas à la cantine uniquement;À remplacer la carte d'identité des fonctionnaires;3;La carte d'agent public permet de gérer des habilitations pour que plusieurs agents accèdent à un dossier, d'autoriser la signature de pièces dans le cadre de la dématérialisation, et de sécuriser et simplifier l'accès aux locaux et à certains services comme la cantine.
Par quel article du Code des marchés publics la dématérialisation des achats publics a-t-elle été mise en œuvre ?;L'article 47 de la loi de 2005;L'article 56 du Code des marchés publics de 2004, réaffirmé en 2006;L'article 7 du décret DISIC;L'article 1 du Code civil;3;La dématérialisation des procédures de marchés publics a été mise en œuvre par l'article 56 du Code des marchés publics de 2004, réaffirmée par le Nouveau Code des Marchés Publics de 2006 dans son article 56.
Qu'est-ce qu'un système d'acquisition dynamique (SAD) ?;Un réseau de collecte des données douanières;Un logiciel de gestion des stocks;Un processus d'acquisition entièrement électronique pour des achats d'usage courant;Un annuaire des fournisseurs de l'État;4;Un système d'acquisition dynamique (SAD, Dynamic Purchasing System) est un processus d'acquisition entièrement électronique pour des achats d'usage courant, le pouvoir adjudicateur doit suivre les phases de l'appel d'offres ouvert et offrir un accès libre, direct et complet aux documents de la consultation jusqu'à l'expiration du système.
En dessous de quel montant les enchères électroniques sont-elles exclues pour les marchés de fournitures et de services ?;133 000 euros HT;5 millions d'euros;9 millions d'euros;1 000 euros;2;L'enchère électronique, procédure de sélection des offres par voie électronique permettant aux candidats de réviser leur prix à la baisse, ne peut pas être mise en œuvre pour les marchés de fournitures et de services inférieurs à 133 000 euros HT.
Qu'est-ce que le projet ACTES ?;L'aide au contrôle de légalité dématérialisé des actes des collectivités locales;Un annuaire des agents territoriaux;Un référentiel d'archivage des marchés publics;Une carte à puce pour les élus;2;Le projet ACTES (Aide au Contrôle de légalité dématérialisé) vise à alléger les tâches liées aux actes, à rationaliser le contrôle par l'automatisation des tâches répétitives et à concentrer le contrôle sur les actes présentant un enjeu majeur.
Que couvre le schéma directeur de l'administration électronique (SDAE) ?;Les seules collectivités territoriales;L'ensemble des systèmes d'information de l'administration centrale et déconcentrée;Les seuls services de messagerie;Uniquement les sites internet publics;3;Le schéma directeur de l'administration électronique couvre l'ensemble des systèmes d'information de l'administration centrale et déconcentrée et devient un élément incontournable de l'élaboration des schémas directeurs des ministères.
Quelle est une finalité du schéma directeur de l'administration électronique ?;Supprimer les schémas directeurs des ministères;Synchroniser et mutualiser les travaux pour éviter la redondance des investissements;Interdire tout nouveau projet informatique;Rendre payant l'accès aux téléservices;3;Le schéma directeur permet une synchronisation et une mutualisation de l'ensemble des travaux pour minimiser la multiplication et la redondance des investissements, apporte les moyens d'un pilotage consolidé par indicateurs, et s'inscrit dans une vision cible du système d'information.
Qu'est-ce qu'une « initiative » dans le schéma directeur de l'administration électronique ?;Un regroupement de projets et d'actions communes formant un ensemble cohérent sur un domaine;Un référentiel technique d'interopérabilité;Un projet informatique isolé;Un indicateur de la LOLF;2;Une initiative est un regroupement de projets et d'actions communes d'expertise technique, fonctionnelle, juridique voire organisationnelle, qui forment un ensemble cohérent sur un domaine défini, 47 initiatives structurent la progression de l'administration électronique pour 2006-2010.
Comment les initiatives du schéma directeur sont-elles regroupées ?;En quatre phases : information, interaction, transaction, transformation;En cinq axes : réseau, poste, messagerie, sécurité, données;En deux blocs : central et territorial;En trois domaines : socle commun, domaines sectoriels et nouveaux services;5;Les initiatives sont regroupées en trois domaines : le socle commun (fonctionnel, infrastructure, services de confiance, informatique), les domaines sectoriels (aspects métier de chaque ministère) et les nouveaux services (services usagers globaux impliquant plusieurs acteurs).
Quelle est l'instance de plus haut niveau du dispositif de décision du schéma directeur de l'administration électronique ?;Le comité de partage;Le Comité des Secrétaires Généraux;Le chef de file;Le comité de pilotage de l'initiative;3;Le Comité des Secrétaires Généraux est l'instance de plus haut niveau du dispositif de décision du schéma directeur, c'est suite à son approbation que les initiatives peuvent passer en phase de pilotage, et c'est lui qui désigne formellement le chef de file.
Quels référentiels le schéma directeur de l'administration électronique met-il en place ?;Le RGI, le RGS, le RGAA et le R2GA, complétés par la Charte Internet de l'État et le SILL;Le PAP, le RAP et la LOLF;Le CCI, le PAGSI et le RE/SO;Le RGPD, la directive NIS et le règlement e-IDAS;2;Le schéma directeur met en place le RGI (interopérabilité), le RGS (sécurité), le RGAA (accessibilité) et le R2GA (Référentiel Général de Gestion des Archives), complétés par la Charte Internet de l'État (CIE) et le Socle Interministériel de Logiciels Libres (SILL).
Qu'est-ce que le programme AdER (Administration En Réseau) ?;Un « intranet global » inter-administrations lancé par le CISI du 19 janvier 1999;Le portail des marchés publics de l'État;Un référentiel de sécurité des télé-procédures;Le réseau de collecte des données fiscales;2;Le programme AdER (Administration En Réseau), lancé par le CISI du 19 janvier 1999, est un « intranet global » inter-administrations visant à décloisonner et faire coopérer les services de l'État, s'appuyant sur le méta-annuaire MAIA, un service d'interconnexion de messagerie interministérielle et un service de transport (SETI).
Qu'est-ce qu'un système d'information territorial (SIT) ?;Un annuaire des collectivités territoriales;Un « extranet des services de l'État » dans un département ou une région;Un centre informatique départemental;Un réseau local de préfecture;3;Un SIT est un « extranet des services de l'État » dans un département ou une région qui propose des dossiers thématiques à accès plus ou moins restreint, où les services partenaires d'une politique publique locale partagent informations et procédures, le CISI du 19 janvier 1999 a décidé que chaque département et chaque région en disposerait fin 2000.
Comment l'interconnexion de fichiers est-elle encadrée pour l'administration électronique ?;Elle est totalement interdite par la loi;Elle relève de la seule décision du Premier ministre;Elle est libre entre administrations de l'État;Elle est assimilée à un traitement soumis à l'avis de la CNIL et strictement encadrée;5;L'interconnexion n'est pas en soi interdite, mais elle est strictement encadrée : assimilée à un véritable traitement, elle est subordonnée à l'avis de la CNIL, doit être portée à la connaissance des personnes intéressées et ne peut utiliser le NIR (détenu par l'INSEE) que si les deux administrations y sont autorisées.
Combien de points comporte le cahier des charges des téléservices dégagé par la CNIL ?;Cinq : identification, authentification, signature électronique, chiffrement, information et droit d'accès;Deux : identification et authentification;Trois : sécurité, confidentialité, disponibilité;Quatre : accès, maintien, libération, restitution;2;De l'ensemble des avis rendus par la CNIL se dégage un cahier des charges des téléservices en cinq points : l'identification de l'usager, l'authentification des usagers, le recours à la signature électronique, le recours au chiffrement pour la confidentialité des données sensibles, et l'information et le droit d'accès.
Pourquoi la CNIL recommande-t-elle un identifiant spécifique pour la télédéclaration de revenus ?;Parce que la loi interdit tout identifiant fiscal;Parce que l'INSEE ne fournit pas le NIR;Parce que le numéro FIP n'est pas confidentiel, étant porté sur les avis d'imposition;Parce que le contribuable choisit lui-même son numéro;4;Pour la télédéclaration de revenus, la CNIL a estimé préférable de recommander l'usage d'un identifiant spécifique, annuel et non signifiant, plutôt que le numéro FIP (numéro de foyer fiscal), qui n'est pas confidentiel car porté notamment sur les avis d'imposition.
Quelle loi fixe le cadre légal de la protection des données personnelles pour l'administration électronique ?;La loi du 6 janvier 1978 modifiée par la loi du 6 août 2004;La loi du 13 mars 2000 sur la signature électronique;La loi du 21 juin 2004 pour la confiance dans l'économie numérique;La loi du 11 février 2005 sur le handicap;2;Les nouveaux flux de données personnelles générés par les téléservices intégrés et le compte administratif personnalisé s'inscrivent dans le cadre légal strict de la loi du 6 janvier 1978, modifiée par une loi du 6 août 2004.
Selon la CNIL, quand le recours au chiffrement des données devient-il un impératif ?;Seulement pour les documents classés secret défense;Dès qu'il s'agit de transmettre par un réseau ouvert comme Internet des données sensibles (santé, données financières);Jamais, l'authentification suffisant toujours;Uniquement pour les échanges entre ministères;3;La CNIL estime que le recours à des moyens de chiffrement pour assurer la confidentialité constitue un impératif dès qu'il s'agit de transmettre par des réseaux ouverts de type Internet des informations sensibles telles que des données de santé ou des données financières, leur chiffrement étant l'une des seules garanties réellement efficaces.
