Quels sont les trois principes fondamentaux de la commande publique ?;La publicité, la publication et la notification;La disponibilité, l'intégrité et la confidentialité;L'unicité, l'annualité et la spécialité budgétaire;La liberté d'accès, l'égalité de traitement des candidats et la transparence des procédures;5;Les trois principes fondamentaux de la commande publique sont la liberté d'accès à la commande publique, l'égalité de traitement des candidats et la transparence des procédures.
Que doit faire une personne publique lorsqu'une société pose une question sur un marché en cours ?;Suspendre le marché;Répondre uniquement à la société qui a posé la question;Ignorer toute question jusqu'à la clôture;Transmettre la question et sa réponse à l'ensemble des candidats ayant retiré les cahiers des charges, ou refuser de répondre;5;Au titre de l'égalité de traitement, lorsqu'une société pose une question relative à un marché public, la personne publique est tenue soit de transmettre la question et sa réponse à l'ensemble des candidats ayant retiré les cahiers des charges, soit de refuser de répondre si elle considère que l'information n'a pas à être communiquée.
Quelle est la différence entre la publicité et la publication d'un marché public ?;La publicité est réservée aux marchés de travaux, la publication aux services;Les deux termes sont strictement équivalents;La publication est la diffusion d'un avis via les organismes officiels comme le BOAMP, la publicité regroupe tous les moyens de faire connaître le marché;La publication est facultative, la publicité obligatoire;4;La publication est la diffusion d'un avis concernant les prestations du marché via les organismes officiels comme le BOAMP (Bulletin Officiel des Annonces des Marchés Publics), la publicité est l'utilisation de tous les moyens possibles pour faire connaître l'existence du marché : la publication est une modalité de publicité, mais la publicité ne s'y limite pas.
À partir de quel montant la publication devient-elle obligatoire pour les marchés de fournitures et de services ?;6 millions d'euros HT;600 euros TTC;20 000 euros HT;133 000 euros HT;5;En principe la publicité doit être mise en œuvre dès le premier euro, mais la publication est mise en place à partir de certains seuils : ce seuil est de 133 000 euros HT pour les marchés de fournitures et de services.
Qu'est-ce que le Service des Achats de l'État (SAE) ?;Une commission de contrôle des marchés informatiques;Un référentiel technique des achats publics;Un service à compétence nationale créé en 2009 qui agit par globalisation des achats, maîtrise des consommations et simplification des procédures;Une centrale d'achat privée;4;Le Service des Achats de l'État (SAE), créé par le décret du 19 mars 2009 dans le cadre de la RGPP, est un service à compétence nationale rattaché au secrétaire général qui agit à trois niveaux : la globalisation des achats, la maîtrise des consommations et la simplification des procédures.
Qu'est-il advenu de la commission d'appel d'offres (CAO) après les modifications du Code des marchés publics de décembre 2008 ?;La CAO a été fusionnée avec la CMPE;La CAO est devenue obligatoire pour tous les marchés;La CAO des collectivités locales est maintenue mais celle des marchés de l'État est supprimée;La CAO a été maintenue à l'identique;4;Les modifications apportées au Code des marchés publics en décembre 2008 ont sauvegardé la commission d'appel d'offres des collectivités locales, mais supprimé la commission d'appel d'offres pour les marchés de l'État (article 21), un comité d'expertise la remplace de fait.
Quel est le caractère du contrôle exercé par la CMPE sur les marchés informatiques ?;Obligatoire, dès le premier euro;Facultatif, sans seuil;Facultatif, à partir de 6 millions d'euros HT;Obligatoire, au-dessus de 133 000 euros HT;4;La CMPE (Commission des Marchés Publics de l'État), mise en place le 1er février 2005 en remplacement de la CSMI, est compétente à partir de 6 millions d'euros HT, son contrôle n'est pas obligatoire mais seulement facultatif.
Quels sont les deux CCAG intéressant le domaine informatique ?;Le CCAG « Travaux » et le CCAG « Marchés industriels »;Le CCAG « Fournitures courantes et services » et le CCAG « Prestations Intellectuelles »;Le CCAG « Public » et le CCAG « Privé »;Le CCAP et le CCTP;3;Parmi les quatre CCAG, deux ont un intérêt pour le domaine informatique : le CCAG « Fournitures courantes et services » (FCS), qui vise les consommables et les logiciels sur étagère, et le CCAG « Prestations Intellectuelles » (PI), qui s'applique aux prestations spécifiques comme les études de faisabilité ou les développements d'applications.
Où figure désormais le chapitre relatif aux marchés informatiques autrefois inclus dans le CCAG FCS ?;Il a été supprimé sans remplacement;Dans le CCAG TIC (Techniques de l'Informatique et de la Communication), publié en 2009;Dans le CCAG PI;Dans le CCTG informatique;3;L'ancien CCAG FCS comportait un chapitre VII relatif aux marchés informatiques, celui-ci ne figure plus dans le nouveau CCAG FCS approuvé par arrêté du 19 janvier 2009 et a été intégré dans le nouveau CCAG TIC (Techniques de l'Informatique et de la Communication), publié en 2009.
Que contient le CCTP (cahier des clauses techniques particulières) ?;Les clauses générales applicables à toute une catégorie de marchés;Les engagements administratifs du titulaire, sa durée et ses conditions de paiement;L'offre de prix du candidat;La description précise des prestations à réaliser, par référence à des normes ou en termes de performance;5;Le CCTP rassemble les dispositions qui donnent une description précise des prestations à réaliser, soit par référence à des normes ou documents équivalents, soit en termes de performance ou d'exigences fonctionnelles, sans créer d'obstacle discriminatoire à la concurrence.
