Quels fichiers de configuration le registre de Windows remplace-t-il ?;Les fichiers journaux NTFS;Les fichiers .ini, .sys et .com;Les fichiers .dll et .exe;Les fichiers de zone DNS;3;Le registre est une base de données unique centralisant la configuration depuis Windows NT et remplace les anciens fichiers de configuration .ini, .sys et .com.
Quand une application relit-elle ses paramètres du registre ?;Au démarrage de l'application, d'où la nécessité de la redémarrer après un changement;Uniquement à l'extinction du système;À chaque accès disque;En continu, à chaque seconde;2;Les données relatives aux applications ne sont lues qu'au démarrage de l'application, en cas de changement de paramétrage, il faut redémarrer l'application, sauf si elle surveille elle-même le registre.
Que lit le chargeur de boot dans le registre au démarrage initial ?;La liste des documents récents;Les compteurs de performance;Le profil de l'utilisateur connecté;La liste des pilotes de périphériques de démarrage à charger en mémoire;5;Lors du démarrage initial, le chargeur de boot lit la liste des pilotes de périphériques de démarrage pour les charger en mémoire avant d'initialiser le noyau.
Combien de clés racine (HKEY) le registre comporte-t-il ?;Six;Huit;Deux;Quatre;2;Le registre possède six clés principales (HKEY) ayant chacune un rôle précis, chaque nom commençant par HKEY_.
Où est stocké le profil de l'utilisateur associé à HKEY_CURRENT_USER ?;Dans \Users\<username>\Ntuser.dat;Dans %windir%\System32;Dans HKEY_CLASSES_ROOT;Dans le fichier Boot.ini;2;HKCU associe l'utilisateur connecté localement à son profil, situé sur le disque dans \Users\<username>\Ntuser.dat, et correspond à la clé de l'utilisateur sous HKEY_USERS.
Que contient la sous-clé HKU\.DEFAULT ?;Le profil lié au système, utilisé notamment par Winlogon;Les associations d'extensions de fichiers;La base de données de démarrage;Les compteurs de performance;2;HKEY_USERS contient une sous-clé par profil utilisateur et une sous-clé HKU\.DEFAULT liée au profil pour le système, utilisée par exemple par Winlogon pour l'écran de connexion.
De quels trois types d'information HKEY_CLASSES_ROOT se compose-t-il ?;Associations d'extensions de fichiers, enregistrements de classe COM, racine virtualisée pour l'UAC;Ruches, clés et valeurs;Pilotes, services et sous-systèmes;Profils utilisateur, profils matériels et compteurs;2;HKCR se compose des associations d'extensions de fichiers, des enregistrements de classe COM et de la racine du registre virtualisée pour le contrôle des comptes utilisateur (UAC).
Quelle clé racine contient toutes les sous-clés de configuration du système (SAM, SECURITY, SOFTWARE, SYSTEM...) ?;HKEY_CURRENT_USER;HKEY_PERFORMANCE_DATA;HKEY_LOCAL_MACHINE;HKEY_CLASSES_ROOT;4;HKLM (HKEY_LOCAL_MACHINE) contient toutes les sous-clés de configuration de la totalité du système : BCD, COMPOSANTS, HARDWARE, SAM, SECURITY, SOFTWARE et SYSTEM.
Que remplace la sous-clé HKLM\BCD ?;Le fichier hosts;Le fichier journal NTFS;Le fichier Ntuser.dat;Le fichier Boot.ini des versions antérieures de Windows Server;5;HKLM\BCD contient la base de données de configuration de démarrage (Boot Configuration Data), qui remplace le fichier Boot.ini avec plus de flexibilité et une isolation des données d'installation, de configuration et de démarrage.
Que représente HKEY_CURRENT_CONFIG ?;La racine des classes COM;Le profil de l'utilisateur connecté;Un lien vers le profil matériel actif, sous HKLM\SYSTEM\CurrentControlSet\Hardware profiles\Current;La liste des ruches chargées;4;HKEY_CURRENT_CONFIG est juste un lien vers le profil matériel utilisé, stocké sous HKLM\SYSTEM\CurrentControlSet\Hardware profiles\Current.
Quel avantage offre l'accès aux compteurs de performance via le registre ?;Le suivi à distance fonctionne gratuitement car le registre est accessible à distance par une API normée;Les compteurs ne consomment aucune mémoire;Les compteurs sont chiffrés automatiquement;Le suivi ne nécessite aucun droit d'administration;2;HKEY_PERFORMANCE_DATA permet d'accéder aux compteurs de performance, comme le registre est facilement accessible à distance via une API normée, le suivi à distance des performances fonctionne gratuitement.
De quelles trois parties une rubrique valuée du registre est-elle composée ?;Le nom, le type de données et la valeur;L'extension, la classe et le profil;La clé, la sous-clé et la ruche;Le descripteur, l'attribut et le contenu;2;Une rubrique valuée du registre est composée de trois parties : le nom, le type de données et la valeur.
Qu'est-ce qu'une ruche (hive) du registre ?;Un descripteur de sécurité partagé;Un cache de clés en mémoire;Un fichier contenant un arbre de registre avec une clé racine, non lisible en session;Une table de hachage des noms de clés;4;Une ruche est un fichier contenant un arbre de registre, avec une clé servant de racine, les ruches ne sont pas accessibles en lecture au cours d'une session, tandis qu'une partie du registre est dynamique et reconstruite à chaque démarrage.
