Quelles sont les deux familles d'outils de détection d'intrusion ?;Les outils libres et les outils commerciaux;Les outils host-based qui analysent les journaux et les outils network-based qui analysent le trafic;Les outils préventifs et les outils curatifs;Les outils locaux et les outils cloud;3;On distingue les outils « host-based », qui analysent les journaux des événements se produisant sur les équipements, et les outils « network-based », qui capturent et analysent le trafic en certains points du réseau, les utiliser tous deux améliore l'analyse.
Pourquoi faut-il prendre au sérieux les alertes des CERT ?;Parce que les CERT imposent des amendes en cas d'inaction;Parce que les CERT gèrent directement le pare-feu de l'entité;Parce que les alertes CERT remplacent la politique de sécurité;Parce qu'un élément du SI signalé comme compromis a de fortes chances d'être aussi repéré par un attaquant;5;Il faut suivre les conseils des CERT car un élément du SI concerné par une compromission mise en avant dans leurs alertes a de fortes chances d'être également repéré par un attaquant, et l'attaque subie peut déjà faire l'objet d'une fiche de remédiation.
Quelle est la première action recommandée en cas de détection d'intrusion ?;Déconnecter la machine du réseau sans l'éteindre ni la redémarrer;Redémarrer la machine en mode sans échec;Éteindre immédiatement la machine pour stopper l'attaque;Lancer un antivirus complet en laissant la machine connectée;2;L'ANSSI et le CERT préconisent de déconnecter la machine du réseau sans l'éteindre ni la redémarrer, sous peine de perdre des informations importantes comme l'état des processus en cours au moment de la détection.
Par quel moyen faut-il prévenir le responsable sécurité d'une intrusion ?;En publiant une note sur l'intranet;Par un message sur la messagerie instantanée interne;Par téléphone ou de vive voix, car l'intrus peut lire les courriers électroniques;Par un courriel détaillé à toute l'équipe;4;Il convient de prévenir immédiatement le responsable sécurité et la hiérarchie, de préférence par téléphone ou de vive voix, car l'intrus est peut-être capable de lire les courriers électroniques échangés depuis une autre machine du réseau.
Quel CERT les administrations françaises doivent-elles contacter en cas d'intrusion ?;Le CERT-IST;Le CERTA (CERT-FR), à contact@cert.ssi.gouv.fr;Le CERT/CC de Carnegie Mellon;Le FIRST;3;En France, le CERT dont dépendent les administrations est le CERTA (devenu CERT-FR), contactable par courrier électronique à contact@cert.ssi.gouv.fr.
Pourquoi réaliser une copie physique de bas niveau du disque d'une machine compromise ?;Parce que cela répare automatiquement le système de fichiers;Parce que cela supprime la porte dérobée de l'intrus;Parce qu'une simple sauvegarde de fichiers ne fournit pas l'intégralité des informations, dont les secteurs non occupés;Parce que c'est plus rapide qu'une sauvegarde de fichiers;4;Une simple sauvegarde de fichiers ne fournit pas l'intégralité des informations contenues sur le disque : il faut une copie de bas niveau incluant les secteurs non occupés, réalisée par exemple avec dd sous Unix, et jamais stockée sur le disque à étudier.
Que faire des traces d'intrusion relevées sur les autres équipements du réseau ?;Les copier, les dater et les signer numériquement;Les laisser en place sans y toucher;Les transmettre directement à l'attaquant présumé;Les supprimer pour éviter toute confusion;2;Un équipement n'est jamais isolé : il faut rechercher les traces liées à la compromission dans tout l'environnement (pare-feu, routeurs, IDS), puis les copier, les dater et les signer numériquement.
Faut-il contacter soi-même l'administrateur de la machine source d'une attaque ?;Non, il faut contacter directement la police;Oui, mais seulement par courriel chiffré;Non, il faut laisser le CERT s'en charger;Oui, immédiatement et par téléphone;4;Il ne faut pas entrer en contact directement avec l'administrateur de la machine attaquante, au risque de communiquer avec le pirate, le CERT, qui dispose de contacts et représente une autorité neutre, obtiendra un bien meilleur résultat.
Pourquoi réinstaller entièrement le système d'exploitation d'une machine compromise ?;Parce que la réinstallation est plus rapide qu'un nettoyage;Parce que n'importe quelle partie du système a pu être modifiée : noyau, binaires, données, processus, mémoire;Parce que le CERT l'exige légalement;Parce que cela conserve les preuves de l'attaque;3;Sur une machine compromise, n'importe quelle partie du système peut avoir été modifiée, réinstaller entièrement l'OS depuis une distribution saine, puis appliquer tous les correctifs avant reconnexion, est le seul moyen de s'assurer de l'absence de porte dérobée.
Que penser du fait de supprimer uniquement la vulnérabilité utilisée par l'intrus ?;C'est suffisant si un antivirus est installé;C'est très largement insuffisant;C'est inutile mais sans risque;C'est la mesure la plus efficace;3;Se contenter de supprimer la vulnérabilité qu'a utilisée l'intrus pour pénétrer le système est très largement insuffisant, car d'autres modifications ou portes dérobées ont pu être laissées.
