De quel protocole DHCP est-il dérivé ?;ARP;RARP;BOOTP;ICMP;4;DHCP est dérivé du protocole Internet standard BOOTP (RFC 951 et 1084), qui permettait l'attribution dynamique d'adresses IP et le démarrage à distance des stations sans disque.
Quelle est la première étape de l'obtention d'un bail en DHCPv4 ?;La découverte DHCP par diffusion;La requête DHCP;L'accusé de réception DHCP;L'offre DHCP;2;En DHCPv4, le client demande d'abord une adresse par diffusion (découverte DHCP), puis reçoit une offre, envoie une requête et reçoit un accusé de réception, tous les messages passant par UDP.
Quand un client DHCP demande-t-il le renouvellement de son bail ?;Toutes les cinq minutes;À chaque redémarrage;À l'expiration complète du bail;À la moitié de la durée du bail;5;À la moitié de la durée de son bail, le client DHCP fait une demande de renouvellement et le serveur lui accorde une prolongation.
Que doit obligatoirement posséder un serveur DHCP ?;Deux cartes réseau;Un contrôleur de domaine local;Une adresse IP fixe;Une connexion Internet;4;Le serveur DHCP possède la base de données des attributions et doit obligatoirement posséder une adresse IP fixe.
À quoi sert un agent de relais DHCP/BOOTP ?;À chiffrer les baux;À diriger les diffusions DHCP d'un segment vers des serveurs DHCP désignés;À attribuer des adresses multicast;À autoriser les serveurs DHCP dans Active Directory;3;Les routeurs ne transférant pas les diffusions, l'agent de relais écoute les diffusions DHCP/BOOTP et les dirige vers un ou plusieurs serveurs DHCP désignés, évitant un serveur par segment.
Qu'est-ce qu'une étendue DHCP ?;Une option de configuration TCP/IP;Une adresse réservée par MAC;La durée d'un bail;Un groupement administratif de plages consécutives d'adresses IP pour un sous-réseau physique;5;Une étendue DHCP est un groupement administratif qui identifie les plages consécutives d'adresses IP possibles pour tous les clients DHCP d'un sous-réseau physique, et doit être définie avant utilisation.
Que garantit une plage d'exclusion dans une étendue DHCP ?;Qu'aucune des adresses qu'elle contient ne sera proposée aux clients;Que ces adresses ont un bail illimité;Qu'elles sont réservées au multicast;Qu'elles sont inscrites dans le DNS;2;Une plage d'exclusion est une séquence d'adresses d'une étendue devant être exclue de l'offre DHCP : aucune de ces adresses ne sera proposée aux clients.
Sur quoi s'appuie une réservation DHCP pour fixer une adresse ?;Le numéro de série;Le nom d'hôte;L'adresse MAC de la carte réseau du périphérique;L'adresse IP précédente;4;Les réservations attribuent une adresse avec bail illimité et s'appuient sur l'adresse MAC de la carte réseau du périphérique pour garantir qu'il utilisera toujours la même adresse IP.
Quelle option DHCP le serveur Windows utilise-t-il pour connaître le nom complet du client ?;L'option 6 (serveurs DNS);L'option 3 (routeur);L'option 81 (Client FQDN);L'option 51 (durée de bail);4;La configuration du serveur DHCP en tant que proxy DNS s'appuie sur l'option n°81 « Client FQDN », par laquelle le client informe le serveur DHCP de son nom complet, exploité pour envoyer un message UPDATE au DNS.
Quel enregistrement le serveur DHCP Windows met-il à jour par défaut dans le DNS ?;L'enregistrement A;L'enregistrement PTR;L'enregistrement MX;L'enregistrement SRV;3;Par défaut, le client DHCP propose de mettre à jour l'enregistrement A, tandis que le serveur DHCP met à jour l'enregistrement PTR (recherche inversée).
Que fait le serveur DHCP Windows des enregistrements DNS quand un bail expire ?;Il les supprime pour garder un DNS propre;Il les conserve indéfiniment;Il les convertit en enregistrements statiques;Il les transfère au serveur secondaire;2;Le serveur DHCP supprime les enregistrements qu'il a réalisés pour un client si le bail expire, option activée par défaut pour garder un DNS propre et à jour.
