Quel est le principal danger du protocole Telnet ?;Il ne fonctionne qu'en local;Il sature le réseau;Il ne demande jamais de login;Les mots de passe circulent en clair sur le réseau;5;Par telnet il y a toujours demande d'un login et d'un mot de passe, mais ces mots de passe circulent en clair, il faut éviter les connexions root distantes et préférer SSH.
Dans quel fichier le service telnet doit-il être activé ?;/etc/services;/etc/hosts.equiv;inetd.conf;/etc/fstab;4;Une connexion via telnet nécessite que le service telnet soit activé au niveau de inetd.conf.
Avec rlogin, quand aucun mot de passe n'est-il demandé ?;Si la machine d'origine est dans /etc/hosts.equiv avec la même identité au départ et à l'arrivée;Toujours;Jamais;Uniquement pour root;2;Avec rlogin, pas de demande de mot de passe si la machine d'origine figure dans /etc/hosts.equiv et que l'identité est la même au départ et à l'arrivée (cela ne s'applique pas à root), ou si l'identité et la machine sont dans le .rhosts de l'utilisateur d'arrivée.
En quels deux volets NFS se décompose-t-il ?;Local et distant;Exportation côté serveur et montage côté client;Chiffrement et compression;Lecture et écriture;3;NFS comprend un aspect serveur, l'exportation (offrir un espace disque), et un aspect client, le montage (accéder à cet espace), via le démon nfs, /etc/fstab, /etc/exports, mount et umount.
Comment les périphériques sont-ils représentés sous Unix ?;Par des entrées de registre;Par des variables d'environnement;Par des processus;Par des fichiers spéciaux, interfaces vers le pilote du noyau;5;Sous Unix tout est fichier : les périphériques sont des fichiers spéciaux (type bloc ou type caractère) qui servent d'interface au pilote réel intégré au noyau.
Comment se font les entrées-sorties en mode bloc ?;Bloc par bloc, via des zones de tampon avec assemblage préalable des données;Caractère par caractère, sans tampon;Uniquement en lecture;Par le réseau;2;Le mode bloc transfère les données bloc par bloc (4 ko ou 8 ko) en utilisant des tampons avec assemblage préalable, contrairement au mode caractère qui transfère directement à chaque appel système.
Qu'identifie le numéro majeur d'un fichier de périphérique ?;Le pilote et donc le contrôleur de périphérique;L'utilisateur propriétaire;La partition du disque;La taille du fichier;2;Le numéro majeur identifie le pilote et par conséquent le contrôleur de périphérique, le numéro mineur identifie le périphérique ou une de ses particularités (partition, numéro de carte).
Que devient ce qui est écrit dans /dev/null ?;C'est envoyé à l'imprimante;C'est copié dans /tmp;C'est stocké en mémoire;Cela disparaît;5;/dev/null est le trou noir : tout ce qui y est écrit disparaît, on l'utilise par redirection pour se débarrasser d'un affichage indésirable.
Que produit /dev/zero ?;Des messages système;Des caractères de code ASCII 0;Des nombres aléatoires;Rien du tout;3;/dev/zero est un générateur de caractères de code ASCII 0, /dev/null est le trou noir et /dev/tty le device virtuel du terminal.
Quel nom porte le premier disque SCSI sous Linux ?;sda;sr0;fd0;hda;2;Le disque SCSI ayant l'identificateur SCSI le plus bas est sda, puis sdb, sdc, hda désigne un disque IDE et sr0 un cédérom SCSI.
À quoi correspond ttyS0 sous Linux ?;Le port série 0 (COM1 sous DOS);La console;Le premier disque;Le premier terminal virtuel;2;ttyS0 est le port série 0, correspondant à COM1 sous DOS, ttyS1 correspond à COM2.
Quel mécanisme de description des terminaux est généralement le plus utilisé ?;termcap;terminfo;La variable PATH;/etc/inittab;3;Les deux mécanismes coexistent (le fichier texte termcap dans /etc et la hiérarchie compilée terminfo sous /usr/lib), mais terminfo est généralement le plus utilisé.
Comment positionne-t-on le type de terminal sous Unix ?;Via la variable d'environnement TERM;Avec la commande chsh;Dans /etc/passwd;Avec la commande stty uniquement;2;Le positionnement du type de terminal se fait par la variable TERM (ex. TERM=vt100, export TERM), le terminal devant être présent dans terminfo.
Quel outil possède sa propre définition des terminaux, indépendante de terminfo ?;cat;more;vi;emacs;5;L'éditeur vi utilise les définitions termcap/terminfo, tandis qu'emacs possède sa propre définition des terminaux indépendamment de la librairie terminfo.
Quel système d'impression est aujourd'hui le plus utilisé sous Linux ?;CUPS (cupsd);LPRng;Le système lp de System V;Le système Berkeley (lpd);2;Trois systèmes coexistent : Berkeley (démon lpd), LPRng (Berkeley amélioré) et CUPS (démon cupsd), ce dernier étant actuellement le plus usité.
À quoi servent les filtres d'impression comme APS Filter ou Magic Filter ?;À chiffrer les documents;À transformer le PostScript en un langage compréhensible par l'imprimante;À trier les demandes par priorité;À compresser les files d'attente;3;Beaucoup d'imprimantes bon marché ayant abandonné le PostScript pour leur propre langage, les filtres transforment le PostScript en un langage compréhensible par l'imprimante.
Que signifie l'acronyme SPOOL ?;Simple Print Output Or Log;System Printer Object Oriented Language;Simultaneous Peripheral Operation On-Line;Sequential Peripheral Output List;4;SPOOL signifie Simultaneous Peripheral Operation On-Line, le système lp repose sur cette technique de spoulage (file d'attente).
Quel est le rôle du démon lpsched ?;Il exporte les systèmes de fichiers;Il compile les définitions de terminaux;Il gère les connexions telnet;Il achemine les demandes vers les imprimantes selon FIFO ou des priorités et évite le mélange des listages;5;lpsched est l'ordonnanceur d'imprimantes : il achemine les demandes vers les imprimantes physiques (FIFO ou priorités), évite l'intercalage de pages de demandes différentes, gère l'état des imprimantes et enregistre l'activité de LP.
Que contrôlent les termes activation et désactivation dans le système lp ?;Le flux des demandes vers les répertoires des demandes;Le montage des files d'attente;Le flux des demandes vers les imprimantes;L'ouverture des sessions utilisateur;4;Activation et désactivation contrôlent le flux des demandes vers les imprimantes, tandis qu'acceptation et rejet contrôlent le flux vers les répertoires des demandes (files d'attente).
Quelle commande permet de rerouter une demande d'une imprimante bloquée vers une autre ?;reject;lpmove;cancel;lpsched;3;lpmove reroute une demande d'impression d'une imprimante bloquée vers une autre, cancel élimine les données superflues du système de spoulage.
Qu'est-ce qu'une classe d'imprimantes ?;Un groupe d'imprimantes sur lequel les requêtes sont envoyées indifféremment;Une imprimante isolée;Un type de filtre;Une file d'attente prioritaire;2;Une classe est une file d'attente associée à un groupe d'imprimantes : les requêtes sont envoyées indifféremment sur n'importe laquelle des imprimantes du groupe.
Quel est l'ordre de priorité pour spécifier une destination d'impression ?;Destination par défaut, puis -d, puis LPDEST;Option -d, puis variable LPDEST, puis destination par défaut;Uniquement l'option -d;Variable LPDEST, puis option -d, puis défaut;3;La destination se spécifie, par ordre de priorité décroissante : avec l'option -d, puis avec la variable d'environnement LPDEST, puis à défaut la destination par défaut.
Avec quelles commandes l'administrateur ouvre ou ferme l'accès à une file d'impression ?;lpmove et cancel;mount et umount;accept et reject;activate et deactivate;4;L'administrateur agit sur le robinet contrôlant l'accès à la file avec les commandes accept et reject, la mémorisation d'une demande n'est autorisée que si ce robinet est ouvert.
