"Quels sont les 9 domaines du guide d'hygiène de la sécurité des SI de l'ANSSI ?","Sensibiliser et former, Connaître le SI, Authentifier et contrôler les accès, Sécuriser les postes, Sécuriser le réseau, Sécuriser l'administration, Gérer le nomadisme, Maintenir le SI à jour, Superviser auditer réagir"
"Pourquoi former en priorité les équipes opérationnelles à la sécurité des SI ?","Parce qu'elles ont des accès privilégiés au SI et peuvent, par inadvertance ou méconnaissance, créer des vulnérabilités (comptes trop privilégiés, mots de passe faibles)"
"Quand un utilisateur doit-il être sensibilisé à la sécurité, et pourquoi ?","Dès son arrivée dans l'entité puis régulièrement, car chaque utilisateur est un maillon à part entière de la chaîne des systèmes d'information"
"Que doit exiger une entité d'un prestataire d'infogérance ?","La réversibilité du contrat, la possibilité de réaliser des audits, la sauvegarde et la restitution des données dans un format ouvert normalisé, et le maintien à niveau de la sécurité dans le temps"
"Que doit représenter le schéma (cartographie) simplifié du réseau à maintenir à jour ?","Les zones IP et le plan d'adressage, les équipements de routage et de sécurité, les interconnexions avec l'extérieur et les partenaires, et la localisation des serveurs détenteurs d'informations sensibles"
"Pourquoi inventorier les comptes sensibles ?","Parce que les comptes à droits spécifiques (administrateurs, accès aux répertoires des responsables, postes non administrés) sont des cibles privilégiées des attaquants ; l'inventaire doit être tenu à jour et revu périodiquement"
"Avec quelle fonction les procédures d'arrivée et de départ doivent-elles être définies, et que couvrent-elles ?","Avec la fonction ressources humaines ; elles couvrent la création/suppression des comptes et BAL, l'attribution/retrait des droits, les accès physiques (badges, clés), l'affectation des équipements mobiles et la gestion des mots de passe"
"Quels équipements peuvent se connecter au réseau de l'entité ?","Uniquement les terminaux maîtrisés par l'entité, sur les réseaux filaires comme sans fil ; les terminaux personnels et visiteurs doivent passer par un SSID Wi-Fi dédié"
"Pourquoi les comptes d'accès doivent-ils être nominatifs ?","Pour pouvoir attribuer une action à une personne en cas d'incident et identifier d'éventuels comptes compromis ; les comptes génériques (admin, user) doivent rester marginaux, hormis les comptes de service liés à un processus (apache, mysqld)"
"Comment protéger les mots de passe qui doivent être stockés ?","Au moyen de solutions sécurisées, au premier rang desquelles un coffre-fort numérique et des mécanismes de chiffrement ; l'utilisateur ne retient alors que le mot de passe du coffre-fort"
