Qu'est-ce que la fongibilité asymétrique instaurée par la LOLF ?;Les crédits de personnel peuvent financer n'importe quelle dépense;Tous les crédits sont interchangeables sans restriction;Aucun redéploiement de crédits n'est autorisé;Les crédits sont globalisés mais on peut redéployer vers le personnel, pas l'inverse;5;La LOLF prévoit des allocations budgétaires globalisées qui séparent uniquement les dépenses de personnel des autres dépenses : la fongibilité asymétrique permet de redéployer vers le personnel depuis les autres dépenses, mais pas l'inverse.
Pourquoi les MEF n'ont-ils pas de programme support identifié pour les fonctions support ?;Parce que le SI est financé par l'interministériel;Parce que les fonctions support ont été supprimées;Parce que la LOLF conduit à un programme budgétaire spécifique par direction couvrant aussi son SI;Parce que la Direction du Budget l'interdit;4;Contrairement à d'autres ministères, il n'existe pas de programme support identifié aux MEF : la LOLF conduit à un programme budgétaire spécifique pour chaque direction, qui couvre ses ressources humaines et budgétaires, dont celles consacrées au SI.
Qu'est-ce que le PAP et quand est-il voté ?;Le Programme Applicatif Public, voté par la CNIL;Le Projet Annuel de Performances, voté dans la loi de Finances au dernier trimestre pour l'année N+1;Le Plan d'Action Prioritaire, voté par la DISIC;Le Rapport Annuel de Performances, voté en fin de premier semestre;3;Le PAP (Projet Annuel de Performances) est une forme de budget prévisionnel voté par le Parlement dans la loi de Finances au dernier trimestre, il intègre les plafonds d'autorisation budgétaire pour l'année à venir (N+1).
Qu'intègre le RAP et quand est-il voté ?;L'exécution budgétaire de l'année écoulée (N-1), voté dans la loi de Règlement en fin de premier semestre;Le schéma directeur ministériel, voté tous les cinq ans;La cartographie des applications, voté par le comité des TIC;Les prévisions budgétaires de N+1, voté au dernier trimestre;2;Le RAP (Rapport Annuel de Performances) comprend le bilan stratégique, la réalisation des objectifs, l'exécution des crédits et la justification au premier euro, voté dans la loi de Règlement en fin de premier semestre, il intègre l'exécution budgétaire de l'année écoulée (N-1).
Quelle règle lie les ressources du RAP à celles du PAP ?;Les ressources du RAP ne peuvent excéder celles du PAP;Le RAP fixe le plafond que le PAP doit respecter;Les deux documents portent sur des périmètres sans lien;Les ressources du RAP doivent être supérieures de 10 % à celles du PAP;2;Il est possible six mois après la réalisation de comparer le budget définitif du RAP avec les prévisions du PAP faites près de deux ans avant : les ressources du RAP ne peuvent excéder celles du PAP.
Combien d'agents et de crédits de paiement les ministères économiques et financiers regroupent-ils ?;Environ 2 millions d'agents et 100 milliards d'euros;Environ 500 000 agents et 50 milliards d'euros;Environ 20 000 agents et 2 milliards d'euros;Environ 145 000 agents et 13 milliards d'euros de crédits de paiement;5;Les ministères économiques et financiers comptaient environ 145 000 agents au 31 décembre 2014 et 13 milliards d'euros de crédits de paiement.
Laquelle de ces directions des MEF est une direction à services déconcentrés ?;Le CGEFI;TRACFIN;La DGFiP;L'IGF;4;Les directions à services déconcentrés des MEF sont la DGFiP, la DGDDI, l'INSEE, la DGCCRF, la DG Trésor et la DGE, l'IGF, le CGEFI ou TRACFIN sont des directions d'état-major.
Quel rôle la DSI des MEF joue-t-elle auprès du secrétaire général ?;Un rôle de contrôle a priori de tous les marchés informatiques;Un rôle purement comptable de refacturation;Un rôle d'impulsion, de coordination et de mutualisation, à la manière d'une « DSI groupe »;Un rôle d'exploitation quotidienne des applications;4;La DSI (Délégation aux Systèmes d'Information) auprès du secrétaire général a un rôle particulier d'impulsion, de coordination et de mutualisation : elle joue le rôle d'une « DSI groupe » comme dans les grandes entreprises, et assure notamment les relations avec la CNIL.
Comment le SI des MEF se présentait-il avant l'an 2000 ?;Une architecture cloud entièrement externalisée;Un système unique interministériel partagé;Une informatique de production sur mainframes, cloisonnée en silo, internalisée et peu documentée;Un SI ouvert sur internet et fortement documenté;4;Avant 2000, le SI reposait sur une informatique de production avec des dépenses essentiellement d'infrastructure (mainframes, bureautique), des centres d'exploitation régionalisés, une informatique cloisonnée « en silo », peu communicante, quasi exclusivement internalisée et peu documentée.
Lequel de ces programmes SI des MEF est interministériel ?;COPERNIC;CHORUS;DELTA;HELIOS;3;Les grands programmes SI des années 2000-2010 comprenaient COPERNIC, HELIOS, SIRHIUS et DELTA au niveau ministériel, ainsi que CHORUS et ONP au niveau interministériel.
