"Quel organisme a le plus de responsabilité dans la gouvernance d'Internet ?","L'ICANN (Internet Corporation for Assigned Names and Numbers), société sans but lucratif basée en Californie, qui contrôle l'attribution des adresses IP, des noms de domaine et des numéros de port."
"Que représentent l'ISOC et l'IGF ?","L'ISOC (Internet Society) est une organisation ouverte représentant les utilisateurs, organisation mère de l'IETF qui supervise les travaux techniques. L'IGF (Internet Governance Forum) a été créé par l'ONU en 2005 pour les discussions internationales de politique liées à Internet."
"Qu'est-ce qu'une RFC ?","Un document (Request for Comments) qui résume les activités techniques de la communauté Internet ; les normes de protocoles y aboutissent. Numérotées séquentiellement (environ 8000), leur contenu n'est jamais modifié une fois publié : une mise à jour est une nouvelle RFC. Répartiteur central : RFC-editor.org."
"Quels sont les principaux protocoles de la suite TCP/IP ?","IP (RFC791, achemine les paquets), ICMP (792, messages d'erreur et soutien bas niveau), ARP (RFC826, traduit IP en adresses matérielles), UDP (RFC768, datagrammes non vérifiés à sens unique), TCP (RFC793, envoi fiable, complet, full duplex, à débit contrôlé avec correction d'erreurs)."
"Quelle est la principale différence entre IPv4 et IPv6 ?","IPv4 utilise des adresses de 4 octets (32 bits), IPv6 des adresses de 16 octets (128 bits) ; IPv6 intègre la sécurité et l'authentification dans le protocole de base. La principale différence réside dans les adresses ; pour le reste les deux versions sont très proches."
"Qu'est-ce que l'encapsulation ?","Le fait que, quand un paquet descend la pile de protocoles avant d'être envoyé, chaque protocole ajoute sa propre en-tête ; sur la machine réceptrice l'opération est inversée."
"Comment s'appelle l'unité de données selon la couche de protocole ?","Trame à la couche liaison, paquet à la couche IP, segment à la couche TCP."
"Qu'est-ce que le MTU ?","L'unité de transfert maximum (Maximum Transfer Unit) : la taille maximale d'un paquet associée au protocole de la couche liaison ; la charge utile d'une trame Ethernet standard est traditionnellement de 1500 octets."
"Qu'est-ce que la fragmentation IP ?","Le découpage par la couche IP d'un paquet pour le conformer au MTU d'un lien ; en IPv4 un routeur fragmente les paquets vers un réseau à plus petit MTU, en IPv6 c'est l'hôte expéditeur qui doit faire ce travail."
"Comment est structurée une adresse MAC Ethernet ?","6 octets attribués à la fabrication, écrits en hexadécimal séparés par des deux-points ; les 3 premiers octets identifient le fabricant (OUI, identifiant unique organisationnel IEEE), les 3 derniers sont un numéro de série unique."
"Qu'est-ce qu'un port TCP/UDP ?","Un numéro sur 16 bits qui étend l'adresse IP pour désigner un canal de communication (un service) sur la machine ; les ports bien connus sont définis dans /etc/services."
"Quelle restriction les systèmes Unix imposent-ils sur les ports inférieurs à 1024 ?","Seuls les programmes exécutés en tant que root peuvent se mettre à l'écoute sur un port inférieur à 1024 ; la restriction ne concerne que le programme à l'écoute, pas les clients qui s'y connectent."
"Qu'est-ce que le subnetting ?","Le fait de réaffecter une partie de la portion hôte d'une adresse à la partie réseau en spécifiant explicitement un masque ; un réseau /26 laisse 6 bits d'hôte, soit 64 adresses dont 62 utilisables (adresse réseau et adresse de diffusion réservées)."
"En quoi le CIDR diffère-t-il du subnetting ?","Le CIDR (RFC1519) est un prolongement du subnetting reposant sur un masque explicite, mais il permet à la portion réseau d'être plus petite qu'une classe d'adresse : un masque court agrège plusieurs réseaux pour le routage (supernetting), réduisant les entrées de table de routage."
"Que sont les adresses privées (RFC1918) et le NAT ?","Les adresses privées (un réseau de classe A, 16 de classe B, 256 de classe C) sont utilisées en interne et jamais montrées à Internet. Le NAT (Network Address Translation), exécuté par le routeur de bordure, réécrit l'adresse source (et parfois le port) des paquets avec une adresse publique réelle et maintient une table de correspondances."
"Où se situe la frontière réseau/hôte d'une adresse IPv6 ?","Elle est fixée à /64 : autrement dit, le subnetting n'existe plus dans le monde IPv6 ; c'est le FAI qui attribue le préfixe d'adresse."
"Comment examine-t-on la table de routage sous Unix/Linux ?","Avec netstat -r, ou netstat -rn pour éviter les résolutions DNS et tout afficher numériquement ; le champ destination est généralement une adresse réseau, la passerelle 0.0.0.0 (Linux) invoque la passerelle par défaut."
