Combien de champs une ligne de /etc/passwd contient-elle ?;Neuf;Sept;Cinq;Six;3;Une ligne de /etc/passwd contient sept champs séparés par « : » : login, mot de passe crypté, UID, GID, GECOS, répertoire personnel, shell.
Quand le système consulte-t-il le fichier /etc/passwd ?;Jamais;Au moment du login;À chaque commande;Uniquement au démarrage;3;Le système consulte /etc/passwd au moment du login pour déterminer l'UID de l'utilisateur, son répertoire et d'autres informations.
Que contient le champ mot de passe de /etc/passwd sur un système Linux moderne ?;Rien;Le mot de passe en clair;Un x renvoyant vers un fichier séparé;Le mot de passe crypté en DES;4;Sur les systèmes modernes le champ contient un x (ou ! / * sur AIX), le mot de passe crypté étant déplacé dans /etc/shadow.
Où sont stockés les mots de passe cryptés sous AIX ?;/etc/gshadow;/etc/passwd;/etc/shadow;/etc/security/passwd;5;AIX stocke les mots de passe cryptés dans /etc/security/passwd, tandis que Linux, Solaris et HP-UX utilisent /etc/shadow.
Quel préfixe identifie un mot de passe chiffré en MD5 ?;$2a$;$5$;$6$;$1$;5;Les mots de passe MD5 commencent par $1$, Blowfish par $2a$, SHA256 par $5$, SHA512 par $6$.
Quel UID l'utilisateur root a-t-il toujours ?;100;1;65534;0;5;L'utilisateur root a toujours l'UID 0, les UID sont des entiers non signés 32 bits.
Comment empêche-t-on la connexion avec un compte de pseudo-utilisateur comme bin ?;En lui donnant un UID faible et un shell fictif comme /bin/false;En le supprimant de /etc/passwd;En le chiffrant;En le mettant dans /etc/group;2;On donne aux pseudo-utilisateurs un UID faible et un shell fictif (/bin/false) pour empêcher toute connexion avec ces comptes.
Pourquoi ne faut-il jamais réutiliser un UID après suppression d'un utilisateur ?;Pour accélérer le login;Pour économiser la mémoire;Pour éviter la confusion lors d'une restauration de sauvegarde où les utilisateurs sont identifiés par l'UID;Parce que c'est interdit par POSIX;4;Ne pas réutiliser un UID évite la confusion si des fichiers sont restaurés depuis des sauvegardes où les utilisateurs sont identifiés par l'UID plutôt que par le login.
Quel GID est réservé au groupe root (ou system) ?;255;2;0;1;4;Le GID 0 est réservé au groupe appelé root ou system.
Comment un nouveau fichier hérite-t-il du groupe de son répertoire parent ?;Avec le bit setuid;Avec le bit setgid (02000) ou l'option de montage grpid;Avec la commande newgrp;Automatiquement toujours;3;Positionner le bit setgid (02000) sur le répertoire, ou monter le système de fichiers avec l'option grpid, permet aux nouveaux fichiers d'appartenir au groupe du répertoire parent.
Quelle commande interprète le champ GECOS de /etc/passwd ?;chsh;passwd;finger;groupadd;4;La commande finger interprète les valeurs GECOS séparées par des virgules : nom complet, bureau, téléphone de bureau, téléphone personnel.
Que se passe-t-il si le répertoire personnel d'un utilisateur est manquant au login ?;Le répertoire est créé automatiquement;Le système affiche « aucun répertoire » et place l'utilisateur dans /;L'utilisateur devient root;Le login est toujours refusé;3;Si le répertoire home est manquant, le système affiche un message « aucun répertoire » et place l'utilisateur dans /, sous Linux, DEFAULT_HOME à « no » refuse le login.
Quel est le shell par défaut sous AIX ?;ksh (Korn shell);tcsh;bash;sh;2;Le shell par défaut d'AIX est ksh (Korn shell), bash est celui de Linux et Solaris.
À quels shells la commande chsh limite-t-elle les changements sous Linux ?;À aucun, chsh est interdit;Aux shells listés dans /etc/shells;Uniquement à bash;À tous les shells installés;3;Sous Linux, chsh limite les changements aux shells répertoriés dans /etc/shells, avec des chemins absolus.
Combien de champs une ligne de /etc/shadow contient-elle ?;Douze;Neuf;Sept;Huit;3;Une ligne de /etc/shadow contient neuf champs séparés par « : » (login, mot de passe, dates et durées de gestion du mot de passe, date d'expiration du compte, champ réservé).
En quelle unité les dates de /etc/shadow sont-elles exprimées ?;En secondes depuis 1970;Au format aaaa-mm-jj;En millisecondes;En jours depuis le 1er janvier 1970;5;Les champs de date de /etc/shadow sont exprimés en jours (pas en secondes) depuis le 1er janvier 1970.
Quel utilitaire harmonise les contenus de /etc/passwd et /etc/shadow ?;vipw;pwck;pwconv;chfn;4;pwconv (Solaris, HP-UX, Linux) harmonise passwd et shadow, sous Linux il complète les paramètres par défaut à partir de /etc/login.defs.
Combien de champs une ligne de /etc/group contient-elle ?;Deux;Quatre;Trois;Sept;3;Une ligne de /etc/group contient quatre champs : nom du groupe, mot de passe crypté ou espace, numéro GID, liste des membres séparés par des virgules.
En cas de conflit d'appartenance entre /etc/passwd et /etc/group, lequel prime ?;/etc/group;/etc/gshadow;/etc/passwd;/etc/shadow;4;Si un utilisateur a un groupe par défaut dans /etc/passwd mais n'y figure pas dans /etc/group, c'est /etc/passwd qui est prioritaire.
Quelles commandes gèrent les comptes utilisateurs sur les systèmes Unix/Linux ?;passwd, chsh, chfn;useradd, userdel, usermod;newuser, rmuser, chuser;adduser, deluser, moduser;3;Les outils de gestion des comptes sont useradd, userdel et usermod (mêmes noms sur tous les systèmes, mais programmes différents), il faut être root.
Où sont conservés les modèles de fichiers de démarrage d'un nouvel utilisateur sous Linux ?;/home;/etc/skel;/root;/etc/security;3;Les exemples de fichiers de démarrage sont conservés dans /etc/skel (Linux, Solaris, HP-UX), AIX les place dans /etc/security.
Que signifie la terminaison « rc » d'un fichier de démarrage ?;Run command;Resource control;Root configuration;Registry check;2;La terminaison « rc » signifie « run command », une relique du système d'exploitation CTSS, le point initial cache le fichier.
