"Sur quoi Unix a-t-il historiquement fondé sa force ?","Sur des modalités d'accès simples et robustes en ligne de commande, plutôt que sur le tout-graphique et le clic souris."
"Qu'est-ce qu'un terminal (ou émulateur de terminal) sous Unix ?","Une fenêtre dans laquelle s'exécute un shell qui affiche un prompt : c'est la base de ce type de système d'exploitation."
"Qu'est-ce qu'une console virtuelle ?","Un client léger qui simule un terminal passif physique (comme le VT100 de DEC) ; Unix peut en ouvrir plusieurs, permettant à plusieurs utilisateurs de se connecter."
"Quelle variable d'environnement indique le type de terminal utilisé ?","La variable TERM."
"Pourquoi Telnet est-il une faille de sécurité importante ?","Le couple login/mot de passe et toutes les informations circulent en clair sur le réseau."
"Que faut-il préférer à Telnet et pourquoi ?","SSH : il chiffre les données dans un tunnel pour la connexion et la prise en main à distance."
"Quelles sont les deux catégories de personnes sur un système Unix/Linux ?","L'utilisateur (le système est un outil, droits limités) et l'administrateur système (installation, configuration, bon fonctionnement, tous les droits)."
"Comment s'appelle le super-utilisateur Unix et quels sont ses droits ?","root : il a tous les droits sur le système ; on limite volontairement le nombre d'administrateurs."
"Cite quatre missions principales dévolues à un système d'exploitation Unix.","Mise à disposition des ressources matérielles, partage équitable de ces ressources entre utilisateurs (multi-utilisateurs), gestion de la mémoire, gestion des fichiers."
"Comment un processus accède-t-il à une ressource matérielle sous Unix ?","Jamais directement : il passe par un fichier spécial (le fichier spécial du périphérique), vu comme un fichier classique."
"Que désigne « mémoire » dans le vocabulaire Unix/Linux ?","La mémoire volatile (RAM), par convention ; la mémoire statique correspond au disque dur."
"Différence entre multitâche préemptif et non préemptif ?","Préemptif : l'OS détermine quand un processus a eu assez de temps CPU. Non préemptif : le processus décide lui-même quand il a eu assez de temps CPU."
"Qu'est-ce que le noyau (kernel) ?","Un ensemble de programmes et sous-programmes, cœur de l'OS ; les processus y font appel (appels système) pour accéder aux ressources matérielles."
"Quelles sont les deux composantes principales du noyau ?","Le gestionnaire de processus (scheduler) et le système de gestion de fichiers (qui gère notamment les droits d'accès)."
"Qu'est-ce que le shell ?","L'interpréteur de commandes : il interprète les commandes de l'utilisateur avant de les transmettre au noyau ; c'est la porte d'entrée vers les ressources du système."
"Qu'est-ce que le Bourne Shell (sh) ?","Le premier shell historique (Steven Bourne, 1979), shell de base à possibilités limitées ; certaines commandes d'administration en dépendent ; toujours disponible pour la compatibilité."
"Qu'est-ce que bash (Bourne Again Shell) ?","Le shell standard GNU, sur-ensemble du Bourne Shell (compatible avec sh) ; shell par défaut de l'utilisateur courant sous Linux."
"Qu'est-ce que le C-Shell (csh) ?","Un shell dont la syntaxe ressemble au langage C, considéré comme le premier shell alternatif au Bourne Shell (variante tcsh)."
"Qu'est-ce que le Korn Shell (ksh) ?","Un shell de la fin des années 1980 réalisant une synthèse du Bourne Shell et du C shell, avec de nombreuses fonctions facilitant la prise en main."
"Que contient le fichier /etc/shells ?","La liste des shells connus du système (par exemple /bin/bash, /bin/sh, /bin/tcsh, /bin/csh)."
"Quel est le seul éditeur de texte standard sous Unix/Linux ?","vi (Visual interface) : il fonctionne sur tout terminal texte et sur tout Unix."
"Quels sont les deux modes de fonctionnement de vi ?","Le mode commande/édition (commandes à appliquer au texte) et le mode insertion (saisie du texte) ; on bascule avec la touche ESC."
"Qu'est-ce qu'emacs ?","Un éditeur très puissant (fin des années 70, GNU Emacs de R. Stallman), en réalité un environnement de travail complet (édition, programmation, mail, shell), avec un long apprentissage."
"Cite cinq missions principales de l'administrateur système.","Gérer les comptes utilisateurs, assister et éduquer les utilisateurs, gérer les logiciels, gérer le matériel, assurer la sécurité (sauvegardes, contrôle d'accès) ; aussi vérifier l'adéquation du matériel et la maintenance de premier niveau."
"Où sont le plus souvent situés les fichiers de configuration sous Unix ?","Dans le répertoire /etc (ex. /etc/hosts pour les noms de machines connus par le réseau, /etc/group pour les groupes d'utilisateurs)."
"Sur quels utilitaires puissants s'appuie souvent le scripting shell ?","grep, sed et awk, ainsi que find et les commandes de tri et de manipulation de fichiers, souvent enchaînés dans des tubes (pipes)."
"Que fait la commande man et comment est organisée sa documentation ?","Elle affiche le mode d'emploi d'une commande ; documentation en 3 volumes (utilisation, administration, programmeur) et 4 sections par page (nom, synopsis, description avec options, voir aussi)."
"Que permet la commande find ?","Chercher des fichiers selon des critères (name, type, user, group, size, atime, mtime, perm, links) et éventuellement exécuter une action dessus avec -exec."
"Quel démon gère les journaux système et applicatifs sous Unix ?","syslogd ; les journaux sont organisés selon /var/log/<application>/<type_de_journaux>."
"À quoi servent cron et la crontab ?","cron est le démon d'exécution périodique de programmes et de scripts ; la crontab est la table des tâches planifiées, utile pour analyser l'activité du système."
