Quelle est la fonction essentielle d'un réseau informatique ?;Stocker des données;Chiffrer des fichiers;Accélérer un processeur;Faire communiquer des entités, ici des ordinateurs;5;Le but d'un réseau est de faire communiquer ensemble des entités, pour un réseau informatique ces entités sont des ordinateurs.
À quoi peut-on comparer un protocole réseau ?;À un câble;À un système d'exploitation;À une langue commune régissant l'échange;À une carte réseau;4;Un protocole est une description formelle de règles et de conventions, on le compare à une langue commune entre interlocuteurs.
Quel organisme est à l'origine d'ARPANET ?;Le CERN;L'IEEE;L'ARPA du ministère américain de la Défense;L'ISO;4;ARPANET est un réseau conçu par l'ARPA, agence de recherche du Département de la Défense américain (DoD).
Quelle technologie de commutation ARPANET a-t-il retenue ?;La commutation de circuits;La commutation temporelle;La commutation par paquets en mode datagramme;La commutation optique;4;ARPANET a adopté la commutation par paquets, jugée prometteuse et plus résistante que la commutation de circuits du réseau téléphonique.
En quelle année le premier lien ARPANET a-t-il été établi ?;1983;1965;1974;1969;5;Le premier lien ARPANET a été établi le 21 novembre 1969 entre l'UCLA et le Stanford Research Institute.
Que représentent les RFC pour Internet ?;La mémoire collective interne consignant les normes techniques;Des équipements de commutation;Des logiciels propriétaires;Des adresses IP réservées;2;Les RFC forment un système de documentation ouverte devenu la mémoire collective interne d'Internet, consignant toutes les normes techniques adoptées.
Quel groupe a produit les premiers protocoles d'ARPANET comme Telnet et FTP ?;L'ICANN;L'IETF;Le NWG (Network Working Group);Le W3C;4;Le NWG, groupe de doctorants des quatre sites d'ARPANET dirigé par Steve Crocker, a mis au point les premiers protocoles et applications.
Qu'étaient les IMP dans ARPANET ?;Des terminaux passifs;Des modems analogiques;Des serveurs de fichiers;De petits ordinateurs spécialisés dans la commutation des messages;5;Les IMP (Interface Message Processor), construits par BBN, étaient de petits ordinateurs spécialisés dans la commutation des messages, ancêtres des routeurs.
Quel organisme normalise le modèle OSI ?;L'ISO;Le DoD;L'IEEE;L'ANSI;2;Le modèle OSI (Open Systems Interconnection) est normalisé par l'ISO, International Standard Organization.
Le modèle DoD découle principalement :;Du modèle SNA d'IBM;De l'implémentation des protocoles TCP et IP;De la norme ISO 7498;Du réseau Cyclades;3;Le modèle DoD, aussi appelé modèle TCP/IP, découle de l'implémentation des protocoles TCP et IP créés au milieu des années 1970.
Combien de couches compte le modèle OSI ?;Sept;Quatre;Huit;Cinq;2;Le modèle OSI comporte sept couches : Physique, Liaison, Réseau, Transport, Session, Présentation, Application.
Combien de couches compte le modèle DoD dans sa présentation habituelle ?;Sept;Trois;Six;Quatre;5;Le modèle DoD est habituellement présenté en quatre couches : Application, Transport, Réseau et Accès réseau.
Quelle couche OSI assure le routage et l'acheminement des blocs de données ?;La couche Physique;La couche Liaison de données;La couche Réseau;La couche Session;4;La couche 3 Réseau assure l'acheminement et le routage des blocs de données entre systèmes d'extrémité et définit leur taille.
Quelle couche OSI rend le transport transparent aux couches supérieures et découpe les messages ?;La couche Réseau;La couche Transport;La couche Application;La couche Présentation;3;La couche 4 Transport contrôle le transfert de bout en bout, découpe les messages en paquets et les reconstitue pour les couches supérieures.
Quelle couche OSI convertit les codes comme ASCII ou EBCDIC et peut chiffrer ou compresser ?;La couche Présentation;La couche Session;La couche Application;La couche Liaison;2;La couche 6 Présentation met en forme les données, convertit les codes et peut assurer le chiffrement et la compression.
Dans le modèle DoD, la couche Application reprend quelles couches OSI ?;Application, Présentation et Session;Réseau et Transport;Transport et Session;Physique et Liaison;2;La couche Application du modèle DoD reprend les fonctionnalités des couches Application, Présentation et Session d'OSI.
Quelle est la différence entre TCP et UDP ?;TCP est sans connexion, UDP orienté connexion;Les deux sont non fiables;UDP assure le contrôle de flux mais pas TCP;TCP est fiable et orienté connexion, UDP non fiable et sans connexion;5;TCP est fiable, orienté connexion, avec contrôle de flux, UDP est non fiable et sans connexion, utilisé par exemple pour la voix.
Quels protocoles, outre IP, implémentent la couche Réseau du modèle DoD ?;Telnet et TFTP;ARP, RARP et ICMP;SMTP, HTTP et FTP;TCP et UDP;3;Outre IP, la couche Réseau du modèle DoD est implémentée par ARP, RARP et ICMP.
Que regroupe la couche Accès réseau du modèle DoD ?;Les couches Transport et Réseau d'OSI;Uniquement la couche Application;Les couches Session et Présentation;Les couches Physique et Liaison de données d'OSI;5;La couche Accès réseau regroupe les couches Physique et Liaison de données d'OSI et gère les adresses physiques et les erreurs matérielles.
Pourquoi le modèle TCP/IP s'est-il imposé face à OSI ?;Il était imposé par l'ISO;Il était entièrement propriétaire;Par sa souplesse et son pragmatisme;Il comptait davantage de couches;4;Le modèle pragmatique issu de DoD a progressivement pris le dessus sur le modèle OSI, plus normatif et théorique, grâce à sa souplesse.
