"Qui a mis au point le premier système Unix et où ?","Ken Thompson, dans les laboratoires Bell d'AT&T (Murray Hill, New Jersey), dans la seconde moitié des années 1960."
"De quel projet Unix est-il dérivé ?","Du projet MULTICS (Multiplexed Information and Computing System), réécrit en version réduite sous le nom UNICS puis Unix."
"Quelle date est considérée comme la naissance d'Unix ?","Le 1er janvier 1970 : c'est l'origine des horloges système Unix (epoch)."
"Qui a créé le langage C et quel est le lien avec Unix ?","Dennis Ritchie (avec B. Kernighan) ; en 1973 tout Unix fut réécrit en C, d'où sa portabilité sur de nombreuses plates-formes."
"Pourquoi AT&T a-t-elle distribué les sources d'Unix aux universités en 1973 ?","Un décret de 1956 lui interdisait de commercialiser autre chose que du matériel téléphonique ou télégraphique ; les sources furent diffusées aux universités à des fins éducatives."
"Qu'est-ce que BSD et d'où vient-il ?","Berkeley Software Distribution : version d'Unix redéveloppée fin 1977 par l'université de Californie à Berkeley à partir des sources AT&T, pour les plates-formes VAX."
"Pourquoi les Unix sont-ils nativement compatibles TCP/IP ?","Le développement de BSD s'intégrait dans un projet financé par la DARPA visant à développer le réseau expérimental TCP/IP."
"Cite des Unix commerciaux nés de la mise à disposition payante des sources.","AIX (IBM), HP-UX (HP), SunOS puis Solaris (Sun) ; Microsoft avait même lancé Xenix."
"Qu'est-ce que le « schisme » Unix ?","La séparation, à partir de 1983, en deux écoles rivales : la souche System V (AT&T, commerciale) et la souche BSD (université de Berkeley)."
"Quelle communauté penchait pour BSD, laquelle pour System V ?","Le monde de la recherche et de l'université (ouvert aux réseaux) pour BSD ; le monde de l'entreprise, méfiant envers Internet, pour System V."
"Pourquoi Solaris est-il qualifié d'Unix « hybride » ?","Solaris 1 était basé sur 4.1BSD, puis Solaris 2 est passé à System V Release 4 : il hérite des deux familles."
"Cite trois Unix de type BSD.","FreeBSD, NetBSD, OpenBSD."
"Qu'est-ce que POSIX ?","Une série de standards (IEEE P1003) publiée en 1984 pour assurer la portabilité maximale entre systèmes Unix."
"Qu'est-ce que SVID ?","System V Interface Definition, publiée par AT&T en 1983 pour décrire System V ; différente de POSIX."
"Qui a fondé la Free Software Foundation et quand ?","Richard Stallman, en 1984, avec le projet GNU (« GNU's Not Unix ») : un système d'exploitation libre et gratuit de type Unix."
"Qu'est-ce que la licence GPL (copyleft) ?","On peut copier, modifier et distribuer un logiciel libre à condition que le produit final soit lui-même sous licence GPL, ce qui empêche son appropriation propriétaire."
"Quelle brique manquait au projet GNU et qui l'a fournie ?","Le noyau (kernel) : Linus Torvalds, étudiant finlandais, lance en 1991 le développement du noyau Linux pour la famille de processeurs x86."
"Quel outil GNU a été essentiel à la naissance de Linux ?","Le compilateur gcc de la Free Software Foundation."
"Quel apport de BSD retrouve-t-on dans Linux ?","De nombreux utilitaires et surtout les démons et commandes réseau les plus utilisés proviennent de portages de programmes BSD."
"À quel standard Linux a-t-il été reconnu conforme ?","Au standard POSIX (.1 et .2), grâce aux efforts de la société Lasermoon."
"Cite trois Unix commerciaux historiques et leur éditeur.","AIX (IBM, base System V, processeurs POWER), HP-UX (HP, PA-RISC puis Itanium), Solaris (Sun puis Oracle, SPARC et x86)."
"Qu'est-ce que l'ODM d'AIX ?","Object Data Manager : une base de données système orientée objet, fournie en standard, qui stocke les caractéristiques et la configuration des ressources de la machine."
"Comment s'appellent les interfaces d'administration pseudo-graphiques d'AIX et de HP-UX ?","smit pour AIX, SAM pour HP-UX."
"Quel format de paquets utilisent Red Hat, Fedora, CentOS, SuSE et Mandriva ?","Le format rpm (paquets binaires) et srpm (sources)."
"Quel format de paquets utilisent Debian et Ubuntu ?","Le format deb."
"Quelle distribution est la plus proche de l'esprit GNU et non commerciale ?","Debian, projet animé par des volontaires ; Ubuntu en est un dérivé, commandité par la société Canonical."
"Qu'apporte la série de noyaux Linux 2.4 ?","Support multiprocesseurs, davantage de RAM (jusqu'à 64 Go), génération 3 du support réseau (filtrage, QoS) et systèmes de fichiers journalisés (ext3, reiserfs, xfs, jfs)."
"Qu'introduit la série de noyaux Linux 2.6 ?","Noyau préemptible, nouvel ordonnanceur, meilleur multithreading, support des processeurs 64 bits, ext3 avec ACL et attributs étendus, NFSv4, ext4."
"Qu'apporte la série de noyaux Linux 4.x en matière de mise à jour ?","La mise à jour du noyau à la volée (livepatch), sans redémarrer l'ordinateur ni interrompre complètement les services."
"Quelle est la particularité de la distribution Gentoo ?","Elle permet un système sur mesure via un système de « ports » qui compile et installe les applications ; c'est la plus proche de l'esprit BSD."
