De quel protocole SNMP est-il la version simplifiée retenue par la communauté Internet ?;CMIP (Common Management Information Protocol);NTP;RMON;TCP/IP;2;L'ISO a modélisé les requêtes d'administration selon le protocole rigoureux mais complexe CMIP, la communauté Internet en a retenu l'essentiel dans une version simplifiée, SNMP.
Que vise le modèle Manager / Agent ?;Le remplacement du modèle OSI;Le chiffrement systématique des trames;La vision de bout en bout de la chaîne de liaison mobilisée par chaque session;La suppression des stations d'administration;4;Le modèle Manager / Agent organise le dialogue entre une station d'administration et les équipements du réseau et permet d'entrevoir la vision de bout en bout de la chaîne de liaison.
Quels sont les trois aspects de la gestion des fautes selon l'ISO ?;La surveillance, la localisation des pannes et leur résolution;Le polling, le trap et le get-bulk;L'installation, le paramétrage et la suppression;La confidentialité, l'intégrité et l'authentification;2;La gestion des fautes envisage la surveillance (détecter et analyser les événements), la localisation des pannes par sollicitation des équipements, et la résolution des pannes par les corrections appropriées.
Pourquoi la gestion comptable reste-t-elle largement insatisfaite ?;Parce qu'elle est interdite par les RSSI;Parce que les équipements gèrent des liens logiques sans connaître leurs utilisateurs;Parce que SNMP ne mesure aucune charge;Parce que la MIB ne contient pas de compteurs;3;L'imputation de la charge réseau n'est pas simplifiée par le fait que les équipements gèrent le plus souvent des liens logiques sans connaître leurs utilisateurs et ne s'intéressent pas au contenu des trames.
Quels ports SNMP les RSSI hésitent-ils à laisser ouverts pour des raisons de sécurité ?;Les ports 137 et 139;Les ports 161 et 162;Les ports 80 et 443;Les ports 20 et 21;3;Le modèle Manager / Agent propose aux pirates une structure et des protocoles d'échange sur les ressources, l'éradication pure et simple des trames adressées aux ports 161 et 162 (dédiés à SNMP) est évoquée comme une mesure radicale.
Combien de types d'objets de base un nœud de la MIB peut-il contenir ?;Six, comme les couches OSI hautes;Quatre : entiers, chaînes de caractères, identificateurs d'objet et objets null;Deux : entiers et chaînes;Un seul, l'OID;3;À chaque niveau de l'arbre de la MIB, les nœuds peuvent contenir quatre types d'objets de base : des entiers, des chaînes de caractères, des identificateurs d'objet et des objets de type null.
Comment le nom d'un nœud de la MIB est-il obtenu ?;En inversant l'adresse IP;Par le constructeur uniquement;Par concaténation des noms de ses prédécesseurs séparés par un point;Par tirage aléatoire à la création;4;Le nom d'un nœud de la MIB est obtenu par concaténation des noms de ses prédécesseurs, séparés par un point, et peut aussi être désigné par son identifiant OID.
Où se situent obligatoirement les branches privées de la MIB ?;Sous le nœud « mgmt »;À la racine (root);Dans la branche expérimentale;Sous le nœud « private », dans la branche « entreprise »;5;Les branches privées, à la disposition des constructeurs, se situent nécessairement sous le nœud « private », chaque constructeur y recevant un identifiant propre dans la branche « entreprise ».
Comment une branche standard de la MIB est-elle mise à jour ?;Uniquement par les constructeurs;En modifiant directement les objets existants;Par création d'une nouvelle branche au même point, l'ancienne étant déclarée obsolète;En supprimant la branche entière;4;La mise à jour d'une branche standard consiste à créer une nouvelle branche au même point d'implantation, l'ancienne étant déclarée obsolète, les objets ne diffèrent que par l'identifiant de la nouvelle branche, ce qui assure une compatibilité ascendante.
Dans le dialogue SNMP, quel est le seul cas où l'agent a l'initiative ?;La requête GetRequest;L'alarme (Trap);La requête GetBulk;La requête SetRequest;3;L'administrateur interroge l'agent pour obtenir des indicateurs et l'agent répond, le seul cas où l'agent a l'initiative du dialogue est celui de l'alarme (Trap).
Quel message SNMP permet de demander un lot d'informations en une seule requête ?;GetRequest;GetNextRequest;GetBulk;SetRequest;4;Le message GetBulk permet de demander un lot d'informations, en complément de GetRequest (une info), GetNextRequest (la suivante), SetRequest (mise à jour) et Trap (alarme).
En quoi CMIP est-il théoriquement préférable à SNMP ?;Il est plus simple à implémenter;Il est fondé sur un modèle objet, a mieux pris en compte la sécurité et opère en mode connecté;Il ne nécessite pas de MIB;Il utilise moins d'octets par message;3;CMIP est théoriquement préférable car fondé sur un modèle objet, avec une meilleure prise en compte de la sécurité et un mode connecté qui permet à la station de savoir en permanence si les agents sont actifs, mais sa complexité le fait délaisser au profit de SNMP.
Comment le mot de passe « communauté » est-il transmis en SNMPv2 ?;Chiffré avec DES;En clair durant les sessions;Jamais transmis;Haché en MD5;3;Parmi les faiblesses de SNMPv2 figurent l'absence de chiffrement des échanges et la transmission du mot de passe « communauté » en clair durant les sessions.
Sur quel modèle de sécurité SNMPv3 repose-t-il pour l'authentification ?;Le modèle par groupes de SNMPsec;Le modèle USM (User-based Security Model), avec hachage MD5 et SHA;Le modèle Kerberos;Le modèle communautaire de SNMPv1;3;SNMPv3 apporte l'authentification par utilisateur via le modèle USM (User-based Security Model), avec des fonctions de hachage MD5 et SHA et le chiffrement des clés privées avec DES, ainsi qu'un contrôle d'accès aux ressources à plusieurs niveaux.
Quelle est une limite de la supervision globale par SNMP ?;Elle ne peut pas remonter d'alarmes;Elle porte sur des trafics et des charges sans les individualiser;Elle nécessite un mode connecté;Elle ne fonctionne que sur les routeurs;3;La supervision globale porte sur des trafics ou des charges sans les individualiser : on sait que le trafic IP croît, mais on ne peut pas l'attribuer à tel utilisateur ni mesurer directement ses temps de réponse.
