"Qu'est-ce qu'un signal en transmission de données ?","La transcription d'une information (suite ordonnée de bits) sous une forme physique compatible avec le support : variation de tension électrique, de fréquence, de lumière..."
"Différence entre signal analogique et signal numérique ?","Un signal analogique varie de manière continue dans le temps ; un signal numérique varie de façon discrète dans le temps."
"En quoi consiste l'échantillonnage d'un signal analogique ?","Prélever l'amplitude du signal à des instants précis espacés par la période d'échantillonnage T, pour le numériser."
"Qu'énonce le théorème de Shannon (Nyquist) ?","La fréquence d'échantillonnage doit être au minimum le double de la fréquence maximale du signal à échantillonner (fréquence de Nyquist) : F_échantillonnage ≥ 2 × F_signal_max."
"Que se passe-t-il en cas de sous-échantillonnage ?","La période d'échantillonnage est trop grande, les hautes fréquences ne sont pas prises en compte et le signal ne peut pas être reconstitué correctement."
"Que sont l'ETTD et l'ETCD dans un circuit de données ?","L'ETTD (Équipement Terminal de Traitement des Données, ex. un PC) génère et traite les données ; l'ETCD (Équipement de Terminaison du Circuit de Données, ex. un modem) module le signal côté émission et le démodule côté réception."
"Différence entre transmission synchrone et asynchrone ?","Synchrone : les symboles sont séparés par un intervalle de temps régulier, émetteur et récepteur synchronisés (horloge transmise via le codage). Asynchrone (arythmique, START/STOP) : intervalles de temps variables, ligne au repos entre les trames."
"Que signifient full-duplex, half-duplex et simplex ?","Full-duplex : transmission simultanée dans les deux sens. Half-duplex : les deux sens possibles mais pas en même temps. Simplex : un seul sens possible."
"Qu'est-ce que la rapidité de modulation et son unité ?","Le nombre d'intervalles élémentaires (temps entre deux tops d'horloge) contenus dans une seconde ; elle s'exprime en bauds (Bd)."
"Qu'est-ce que la valence d'un signal ?","Le nombre n de bits transportés dans un intervalle de temps élémentaire ; le nombre de valeurs distinctes transmises entre deux tops d'horloge est alors 2 puissance n."
"Quelle est la relation entre débit binaire, valence et rapidité de modulation ?","d = n × R : le débit binaire (bit/s) est égal à la valence n multipliée par la rapidité de modulation R (en bauds). Ex. 100 bauds avec valence 2 = 200 bit/s."
"Qu'est-ce que le bruit sur un canal de transmission ?","Un signal électrique aléatoire venant se superposer au signal d'information pendant sa transmission ; il peut rendre l'information incohérente pour le récepteur. Le rapport signal sur bruit caractérise le canal."
"Qu'est-ce que le bruit impulsif et le bruit blanc ?","Bruit impulsif : puissance moyenne faible mais concentrée dans de brefs intervalles où elle atteint des valeurs très élevées. Bruit blanc gaussien : densité spectrale de puissance constante en fréquence et dans le temps."
"D'où proviennent le bruit thermique et le bruit de quantification ?","Le bruit thermique résulte du mouvement des électrons dans les conducteurs (densité spectrale proportionnelle à la température). Le bruit de quantification résulte de la conversion analogique-numérique (précision limitée de la représentation, ex. voix sur 8 bits)."
"Qu'est-ce que la paradiaphonie ?","Une interférence spécifique aux câbles à paires torsadées, créée par le couplage électromagnétique d'une paire sur l'autre ; la torsade la diminue. Plus la paradiaphonie est faible, plus sa mesure (en dB) est élevée."
"Qu'est-ce que la compatibilité électromagnétique (CEM) ?","L'aptitude d'un équipement à fonctionner dans un environnement électromagnétique donné sans générer de champs perturbant l'environnement ; l'immunité est l'aptitude à fonctionner sans dégradation en présence d'une perturbation."
"Qu'est-ce que la transmission en bande de base ?","Une transmission où le signal numérique n'est pas transformé en signal analogique (il est simplement codé), la bande de fréquence allant d'une fréquence nulle à une fréquence F ; utilisée principalement dans les réseaux locaux, sur de courtes distances."
"Qu'est-ce que la transmission sur onde porteuse ?","Une transmission où la bande de fréquence est centrée autour d'une fréquence f0 : le signal est transposé (transposition spectrale) pour s'insérer dans la bande passante garantie du support ; on parle de modulation."
"Comment fonctionne le codage Manchester ?","Codage bivalent utilisé par les premières versions d'Ethernet : un bit à 0 correspond à un front descendant, un bit à 1 à un front montant ; le signal change d'état à chaque bit."
"Quels sont les avantages du codage Manchester ?","Synchronisation aisée des horloges (changement d'état à chaque bit), composante continue nulle, spectre étalé vers les hautes fréquences ; inconvénient : l'inversion des fils inverse le message."
"Cite les trois modulations élémentaires sur onde porteuse.","Modulation d'amplitude (ASK), modulation de fréquence (FSK, Frequency Shift Keying), modulation de phase (PSK, Phase Shift Keying) ; on fait varier respectivement l'amplitude, la fréquence ou la phase de la porteuse."
"Qu'est-ce que la modulation MAQ (modulation d'amplitude en quadrature) ?","Une combinaison d'une modulation d'amplitude et d'une modulation par saut de phase ; elle permet de coder jusqu'à 4 bits par état de phase en utilisant deux porteuses en quadrature."
"Qu'est-ce que le multiplexage ?","Un procédé consistant à mettre plusieurs signaux ensemble et à les transmettre sur un même support, chaque signal pouvant être récupéré à l'extrémité réceptrice."
"En quoi consiste le multiplexage fréquentiel (FDMA / AMRF) ?","Découper statiquement la bande passante du support en canaux, chacun réservé à l'usage exclusif d'un utilisateur, séparés par des bandes de garde ; le taux d'occupation des canaux n'est pas optimal."
"Qu'est-ce que la hiérarchie PDH (plésiochrone) ?","Une hiérarchie numérique normalisée par l'ITU comportant 4 niveaux en Europe (TN1 à TN4, de 2,048 à 139,264 Mbit/s) ; « plésiochrone » car chaque multiplexeur a sa propre horloge ; signalisation hors-bande."
"Qu'apporte la hiérarchie SDH/SONET par rapport à PDH ?","SDH (norme IUT-T) / SONET (Synchronous Optical NETwork) est synchrone (horloge à 10 puissance -9 s) et permet d'insérer ou d'extraire des voies sans multiplexage/démultiplexage complet ; SDH est un sur-ensemble de SONET."
"Différence entre communication point-à-point et multipoint ?","Point-à-point : deux entités communiquant, une à chaque extrémité du support. Multipoint : communication de groupe entre une ou plusieurs entités émettrices et plusieurs réceptrices (ex. bus, polling-selecting d'une station maître)."
"Que décrit la norme ISO 11801 pour les câbles à paires torsadées ?","La dénomination en deux parties séparées par « / » : à gauche le blindage global du câble, à droite le blindage des paires (ex. U/UTP non écranté, F/UTP écran général, S/FTP tresse générale + écran par paires)."
"Différence entre catégorie et classe d'un système de câblage ?","La catégorie (1 à 7) qualifie un composant pris isolément (câble, prise, cordon). La classe (A à F) qualifie l'ensemble du système installé ; ex. classe E exige des composants de catégorie 6 minimum."
"Associe les classes de câblage aux applications Ethernet.","Classe C / cat. 3 / 16 MHz : 10base-T. Classe D / cat. 5 / 100 MHz : 100base-TX. Classe E / cat. 6 / 250 MHz : 1000base-T. Classe EA / cat. 6A / 500 MHz : 10Gbase-T."
"Quelles sont les deux impédances du câble coaxial et leurs usages ?","50 ohms (bande de base) : environ 1 Gbit/s sur 1 km, utilisé dans la numérisation des réseaux téléphoniques. 75 ohms (large bande, CATV) : transmission d'image de la télévision câblée, multiplexage fréquentiel, sous-canaux de 6 MHz."
"Différence entre fibre multimode à saut d'indice et à gradient d'indice ?","Saut d'indice : jusqu'à 50 MHz sur 1 km. Gradient d'indice : jusqu'à 500 MHz sur 1 km. La fibre monomode (cœur ~5 microns, un seul rayon) atteint 100 GHz sur 1 km."
"Qu'est-ce que le multiplexage WDM (Wavelength Division Multiplexing) ?","Le multiplexage en longueur d'onde : des signaux de longueurs d'onde différentes sont émis simultanément sur la même fibre optique ; utilisé dans les cœurs de réseau des opérateurs."
"Quel est le rôle d'un répéteur et à quelle couche OSI opère-t-il ?","Couche 1 (physique) : il régénère le signal (amplification, remise en forme) pour relier deux segments ou plus et augmenter l'étendue d'un réseau local ; il peut isoler automatiquement un segment défectueux au-delà de 30 collisions consécutives."
"Quel est le rôle d'un pont et à quelle couche opère-t-il ?","Couches 1 et 2 (sous-couche MAC, norme IEEE 802.1d) : il filtre les trames (une trame n'est pas diffusée si l'émetteur et le destinataire sont sur le même segment), gère une table par autoapprentissage, écarte les trames erronées (FCS) et limite les collisions au segment concerné ; règle du 80/20."
"Qu'est-ce que le Spanning Tree Algorithm dans les ponts transparents ?","Un algorithme qui construit la table de chaque pont à partir d'un chemin optimisé et impose une topologie sans boucle, un pont asservissant les autres via le protocole Bridge Protocol Data Units (BPDU)."
