Qui a mis au point le premier système Unix ?;Linus Torvalds;Ken Thompson;Richard Stallman;Bill Joy;3;Le premier Unix a été mis au point par Ken Thompson dans les laboratoires Bell d'AT&T dans la seconde moitié des années 1960.
De quel projet Unix est-il la version réduite ?;Minix;GECOS;VMS;MULTICS;5;Unix (d'abord appelé UNICS) est une réécriture réduite du projet MULTICS.
Quelle date est retenue comme naissance d'Unix ?;21 novembre 1969;1er janvier 1984;7 avril 1969;1er janvier 1970;5;Le 1er janvier 1970 est considéré comme la naissance d'Unix, ce qui explique l'origine des horloges système Unix.
Pourquoi Unix a-t-il gagné en portabilité en 1973 ?;Il a adopté POSIX;Il a intégré TCP/IP;Il a été entièrement réécrit en langage C;Il a été porté sur PDP-7;4;En 1973 l'ensemble du système fut réécrit en langage C, ce qui lui donna une portabilité sur de nombreuses plates-formes matérielles.
Pourquoi AT&T a-t-elle diffusé les sources d'Unix aux universités ?;Pour respecter la licence GPL;À cause d'un décret lui interdisant de commercialiser hors télécoms;Pour concurrencer IBM;Sur demande de la DARPA;3;Un décret de 1956 empêchait AT&T de commercialiser autre chose que des équipements télécoms, les sources furent donc distribuées aux universités à des fins éducatives.
Que signifie BSD ?;Berkeley Software Distribution;Bell System Design;Basic System Distribution;Binary Standard Definition;2;BSD signifie Berkeley Software Distribution, version d'Unix redéveloppée à l'université de Californie à Berkeley.
Pourquoi les systèmes Unix sont-ils nativement compatibles TCP/IP ?;Ils utilisent le modèle OSI;TCP/IP est écrit en langage C;Ils ont été conçus par l'IETF;Le développement de BSD s'inscrivait dans un projet DARPA sur TCP/IP;5;BSD a été développé dans le cadre d'un financement DARPA destiné au réseau expérimental TCP/IP, d'où la compatibilité native.
Le « schisme » Unix oppose quelles deux souches ?;POSIX et X/Open;AIX et HP-UX;Linux et Windows;System V (AT&T) et BSD (Berkeley);5;À partir de 1983, deux écoles rivales se séparent : la souche System V commerciale d'AT&T et la souche BSD universitaire.
Pourquoi Solaris est-il dit « hybride » ?;Il est à la fois libre et propriétaire;Il fonctionne sur SPARC et x86;Il est passé de 4.1BSD à System V Release 4;Il mélange Linux et Unix;4;Solaris 1 reposait sur 4.1BSD puis Solaris 2 est passé à System V Release 4 : il hérite des deux familles d'Unix.
Qu'est-ce que POSIX ?;Un noyau Unix libre;Une distribution Linux;Une série de standards IEEE pour la portabilité entre Unix;Un système de fichiers journalisé;4;POSIX (IEEE P1003), publié en 1984, est une série de standards visant à assurer la portabilité maximale entre systèmes Unix.
Qui a fondé la Free Software Foundation et lancé le projet GNU ?;Richard Stallman;Ken Thompson;Linus Torvalds;Dennis Ritchie;2;Richard Stallman a créé la Free Software Foundation en 1984 et lancé le projet GNU, dont l'acronyme signifie GNU's Not Unix.
Quel est le principe de la licence GPL (copyleft) ?;Limiter l'usage aux universités;Rendre le logiciel propriétaire;Autoriser copie et modification si le produit final reste sous GPL;Interdire toute copie;4;La GPL autorise copie, modification et distribution à condition que le produit final soit lui-même sous licence GPL, ce qui empêche l'appropriation propriétaire.
Quelle brique Linus Torvalds a-t-il apportée au système GNU en 1991 ?;Le noyau (kernel);L'interface graphique;Le compilateur;Le shell;2;Le projet GNU n'avait pas de noyau fonctionnel, Linus Torvalds lance en 1991 le développement du noyau Linux pour la famille x86.
Quel outil GNU a été déterminant pour la naissance de Linux ?;Le serveur graphique X;La commande tar;Le compilateur gcc;L'éditeur vi;4;L'apport du compilateur gcc de la Free Software Foundation a grandement aidé la naissance du code de Linus Torvalds.
Quel format de paquets utilisent Red Hat, Fedora, CentOS et SuSE ?;deb;tgz;rpm;pkg;4;Ces distributions utilisent le format de paquets binaires rpm, et srpm pour les sources.
Quel format de paquets utilisent Debian et Ubuntu ?;deb;rpm;tgz;msi;2;Debian et son dérivé Ubuntu utilisent le format de paquets deb.
Quelle distribution est décrite comme la plus proche de l'esprit GNU ?;Slackware;Red Hat;Debian;Gentoo;4;Debian est un projet non commercial animé par des volontaires, le plus proche de l'esprit GNU, Ubuntu en est un dérivé.
Qu'apporte la série de noyaux Linux 2.6 ?;Le premier support réseau;Un noyau préemptible, un nouvel ordonnanceur et le support 64 bits;Le passage au format deb;La suppression du multitâche;3;La série 2.6 introduit un noyau préemptible, un nouvel ordonnanceur, un meilleur multithreading et le support des processeurs 64 bits.
Qu'est-ce que l'ODM sous AIX ?;Une base de données système orientée objet décrivant les ressources;Un éditeur de texte;Un gestionnaire de paquets;Un pare-feu;2;L'Object Data Manager d'AIX est une base de données système orientée objet, fournie en standard, qui stocke la configuration des ressources.
Quelle fonctionnalité la série de noyaux Linux 4.x introduit-elle ?;La commutation par paquets;Le support de l'USB;La mise à jour du noyau à la volée sans redémarrage (livepatch);Le premier système de fichiers journalisé;4;La série 4.x introduit livepatch, un système de mise à jour du noyau à la volée sans redémarrer l'ordinateur.
