Pourquoi la sauvegarde est-elle qualifiée d'assurance sous Unix/Linux ?;Parce qu'aucun fichier supprimé ne peut être récupéré autrement;Parce qu'elle est imposée par la loi;Parce qu'elle accélère le système;Parce qu'elle chiffre les données;2;Sous Unix rien ne permet de récupérer un fichier une fois supprimé, la sauvegarde joue donc le rôle d'une assurance contre la perte de données.
Vers quel type de cible peut-on écrire une sauvegarde sous Unix/Linux ?;Uniquement une bande magnétique;N'importe quel périphérique mode caractère, un fichier, un autre disque ou une autre machine;Uniquement un serveur dédié;Uniquement un disque local;3;Une sauvegarde peut être dirigée vers tout périphérique accessible en mode caractère, vers un simple fichier, vers un autre disque ou vers une autre machine.
Qu'est-ce qui caractérise l'archivage par rapport à la sauvegarde ?;Il est toujours quotidien;Il ne concerne que les fichiers temporaires;Il conserve des données pour des raisons juridiques, fiscales ou administratives;Il sert à faire face à un incident d'exploitation;4;L'archivage, dit « légal », conserve des données de production ou système pour des besoins juridiques, fiscaux, administratifs ou sociaux, ainsi que les équipements permettant de les exploiter.
Quelles sont les questions de base d'une politique globale de sauvegarde ?;Pourquoi et comment seulement;Quoi, où, qui, comment, quand;Où et quand seulement;Qui, quoi, combien;3;L'administrateur doit se poser une série de questions de base : Quoi ? Où ? Qui ? Comment ? Quand ?
Quels fichiers sont généralement exclus d'une sauvegarde ?;Les fichiers système;Les fichiers temporaires;Les fichiers utilisateur;Le fichier /etc/passwd;3;La réponse est souvent « tous » à l'exception des fichiers temporaires, avec quelques nuances comme les systèmes d'exploitation déjà disponibles sur support CD.
Comment établit-on une stratégie de sauvegarde cohérente ?;En établissant un plan idéal théorique puis en l'adaptant aux contraintes et en l'affinant par des tests;En achetant le maximum de bandes;En copiant tout chaque nuit sans réflexion;En déléguant à un prestataire;2;On établit d'abord un calendrier idéal hors contraintes, puis on tient compte des contraintes organisationnelles et techniques, enfin on affine le plan par des tests répétés sur des volumétries estimées.
Que faut-il sauvegarder pour restaurer tout un système après effacement total ?;Seulement le noyau;Les fichiers utilisateur, les fichiers système personnalisés et ajoutés, et les produits additionnels;Seulement les fichiers utilisateur;Seulement /etc/passwd;3;Il est recommandé de copier tous les fichiers utilisateur, les fichiers système personnalisés (par exemple /etc/passwd), les fichiers système ajoutés depuis l'installation et tous les produits additionnels intégrés depuis.
Dans la terminologie HP-UX, que sont les fichiers exclus ?;Des exceptions situées dans un répertoire inclus mais non sauvegardées;Des fichiers effacés du disque;La liste complète des fichiers à sauvegarder;Des fichiers compressés;2;Les fichiers exclus figurent dans les répertoires inclus mais ne font pas partie de la sauvegarde, ce sont des exceptions.
Qu'est-ce qu'un diagramme dans la terminologie de sauvegarde HP-UX ?;Un graphique de volumétrie;Un schéma réseau;Un fichier texte listant de façon exhaustive les répertoires et fichiers à sauvegarder;Une table de partition;4;Les diagrammes sont des fichiers texte contenant la liste exhaustive des répertoires et fichiers à sauvegarder, c'est-à-dire la zone cible des données.
À quoi sert une sauvegarde locale ?;À archiver légalement les données;À la reprise d'activité après sinistre;À restaurer quelques fichiers altérés ou d'anciennes versions sur le site de production;À remplacer les sauvegardes externalisées;4;La sauvegarde locale est une sauvegarde de travail qui ne quitte pas le site de production et sert à restaurer quelques fichiers altérés, supprimés ou d'anciennes versions.
Quelle est la caractéristique d'une sauvegarde externalisée ?;Elle n'est jamais chiffrée;Elle est conservée moins d'un jour;Elle reste sur le site de production;Elle est stockée sur un site éloigné et transportée dès sa réalisation;5;La sauvegarde externalisée est destinée à la reprise après sinistre majeur, elle est stockée sur un site éloigné du site de production et transportée aussitôt après sa réalisation.
Comment restaure-t-on à partir de sauvegardes différentielles ?;En restaurant la sauvegarde complète puis la dernière différentielle;En restaurant uniquement la dernière différentielle;En restaurant toutes les différentielles dans l'ordre;En restaurant la complète puis toutes les différentielles;2;La sauvegarde différentielle enregistre ce qui a changé depuis la dernière complète, il suffit donc de restaurer la complète puis la dernière différentielle.
Comment restaure-t-on à partir de sauvegardes incrémentales ?;En restaurant la complète puis la dernière incrémentale;En restaurant seulement la dernière incrémentale;En restaurant la dernière complète puis toutes les incrémentales suivantes dans l'ordre;En restaurant les incrémentales dans n'importe quel ordre;4;La sauvegarde incrémentale enregistre ce qui a changé depuis la dernière sauvegarde quelle qu'elle soit, il faut restaurer la dernière complète puis toutes les incrémentales, dans l'ordre.
À quoi correspond le niveau 0 dans les niveaux de sauvegarde ?;Aux fichiers modifiés depuis la veille;Aux seuls fichiers spéciaux;À une sauvegarde vide;À une sauvegarde intégrale;5;Quand dix niveaux sont définis (0 à 9), le niveau 0 correspond à une sauvegarde intégrale, le niveau 1 aux fichiers modifiés depuis le dernier niveau 0, et ainsi de suite.
Que signifie exactement « sauvegarde intégrale » ?;La sauvegarde de tous les fichiers de la liste des fichiers inclus, quelle que soit la dernière sauvegarde;La sauvegarde des seuls fichiers modifiés;La sauvegarde du seul répertoire racine;La sauvegarde de tous les fichiers du système;2;Sauvegarde intégrale signifie sauvegarder tous les fichiers de la liste des fichiers inclus indépendamment de la dernière sauvegarde, pas l'ensemble des fichiers du système.
En quoi consiste la vérification des données de sauvegarde ?;À changer de périphérique;Au rejeu de l'opération, à la comparaison avec l'original et à la relecture de la bande;À compresser les fichiers;À supprimer les anciennes bandes;3;Faire vivre la politique de sauvegarde passe par le rejeu de l'opération précédente (doublement), la comparaison des résultats avec l'original et la relecture de la bande.
Quelles sont les trois grandes familles de supports de stockage ?;Bande magnétique, stockage optique, stockage sur disque;RAID, SAN, NAS;tar, cpio, dd;Disquette, CD, clé USB;2;Trois grandes familles de produits de stockage se distinguent : les cartouches de bandes magnétiques, le stockage optique et le stockage sur disque.
Quelle nouveauté la génération LTO-4 a-t-elle apportée ?;Le format 8 mm;Le WORM;Le chiffrement matériel 256-bit AES-GCM;La capacité de 6,4 To;4;LTO-4 (2007, 800 Go natif, 120 Mo/s) a ajouté le chiffrement matériel 256-bit AES-GCM, tandis que le WORM avait été introduit avec LTO-3.
Quel ratio de compression retient-on pour les premières générations LTO ?;5:1;2:1;10:1;1:1;3;On considère un ratio d'environ 2:1 pour les cinq premières générations LTO et environ 2,5:1 à partir de la sixième, les capacités natives étant données pour des données non compressées.
Quelle est la durée de vie estimée d'un média LTO ?;Environ 3 ans;Environ 10 ans;Environ 100 ans;Environ 30 ans;5;La durée de vie du média LTO est estimée à 30 ans, avec en théorie 20 000 chargements/déchargements.
Quel est le principal inconvénient de la sauvegarde sur bande magnétique ?;La faible capacité;L'impossibilité de la réécrire;Un temps d'écriture qui peut être important;Le coût élevé du média;4;L'avantage de la bande est le faible coût du média, son inconvénient est un temps d'écriture qui peut être important.
Quelle est la différence entre compresser et archiver ?;Compresser réduit l'espace disque, archiver rassemble plusieurs fichiers en un seul;Les deux réduisent l'espace disque;Les deux ne servent qu'au transfert réseau;Compresser rassemble des fichiers, archiver les réduit;2;Compresser vise à occuper moins d'espace disque en évitant les redondances, archiver vise à rassembler plusieurs fichiers en un seul pour faciliter leur manipulation.
