Quelle est la différence entre un programme et un processus ?;Un processus est le fichier, un programme son exécution;Un programme est statique (instructions dans un fichier), un processus est dynamique (programme en exécution et son contexte);Un programme est en mémoire, un processus sur disque;Aucune;3;Un programme est un objet statique, une suite d'instructions, un processus est un objet dynamique, un programme en cours d'exécution avec son contexte.
Qui assure essentiellement le changement de contexte pour qu'il soit très rapide ?;Les couches matérielles de l'ordinateur;Le système de fichiers;Le shell;L'utilisateur;2;Le changement de contexte doit être très rapide, il est en grande partie assuré par les couches matérielles de la machine.
Combien de critères historiques une politique d'ordonnancement met-elle en jeu ?;Cinq;Trois;Quatre;Sept;2;Cinq critères : efficacité, rendement, temps d'exécution, interactivité et équité, souvent contradictoires entre eux.
Comment un système monoprocesseur simule-t-il le parallélisme des processus ?;Par le protocole ICMP;En désactivant le multitâche;En dupliquant le processeur;Par pseudo-parallélisme, l'ordonnanceur basculant très vite d'un processus à l'autre;5;Le pseudo-parallélisme repose sur un ordonnanceur (scheduler) qui bascule très rapidement d'un processus à l'autre, un seul processus a réellement le processeur à un instant donné.
Quel processus est l'ancêtre de tous les autres sous Unix/Linux ?;kflushd;init (PID 1);cron;bash;3;Au démarrage il n'existe qu'un seul processus, init (PID 1), ancêtre de tous les autres.
Que retourne fork() dans le processus fils ?;Le PID du fils;Le PID du père;0;-1;4;fork() retourne le PID du fils dans le père, 0 dans le fils, et -1 en cas d'échec (aucun fils n'est alors créé).
Que fait l'appel système exec() ?;Il crée un thread;Il recouvre le processus par un autre exécutable en conservant le PID;Il duplique le processus;Il termine le processus;3;exec() recouvre le processus par un autre exécutable : on libère tout sauf l'entrée dans la table des processus et la zone u, puis on alloue les zones du nouveau programme, le PID est conservé.
Dans quel état passe un processus qui a appelé exit() mais dont le père n'a pas encore fait wait() ?;Prêt;Endormi;Zombie;En exécution;4;exit() libère tout sauf l'entrée dans la table des processus : le processus est alors en état zombie jusqu'à ce que le père récupère son code de sortie avec wait().
Pourquoi les threads ont-ils été introduits par rapport à fork() ?;fork() duplique toutes les structures mémoire, ce qui est coûteux, alors qu'un thread ne duplique quasiment rien;Ils sont plus sûrs;Ils suppriment le besoin d'ordonnancement;Ils remplacent le noyau;2;fork() est coûteux car il duplique toutes les structures mémoire, un thread ne comporte qu'un compteur ordinal, une pile et des registres, le reste étant partagé (création environ 60 % plus rapide).
Quel est un risque majeur de la programmation multithread ?;L'absence de multitâche;La lenteur du disque;La perte de l'adresse IP;Les race conditions et les deadlocks (le code doit être thread safe);5;Les threads étant ordonnancés au hasard par l'OS, il faut se méfier des race conditions, de la non-réentrance et des deadlocks, le code doit être thread safe.
Un daemon (processus serveur) est-il associé à un terminal ?;Oui, mais seulement en arrière-plan;Uniquement au démarrage;Non, il n'est rattaché à aucun terminal;Oui, toujours;4;Les daemons (crond, syslogd...) tournent en permanence et ne sont rattachés à aucun terminal, ils sont démarrés par les scripts d'initialisation.
Que devient le PID lors d'un exec() ?;Il change;Il est conservé;Il passe à 0;Il devient -1;3;Lors d'un fork il y a attribution d'un nouveau PID, mais lors d'un exec le même PID est conservé.
Dans quel mode le shell exécute-t-il les commandes par défaut ?;En mode asynchrone;En mode synchrone (le père attend la fin du fils);En arrière-plan;En mode batch;3;Par défaut le shell exécute les commandes comme des processus en mode synchrone (avant-plan) : le père attend la fin du fils.
À quoi correspond le descripteur de fichiers numéro 2 ?;Un fichier temporaire;La sortie standard;L'entrée standard;La sortie d'erreur;3;Le descripteur 0 est l'entrée standard, le 1 la sortie standard, le 2 la sortie d'erreur (le terminal par défaut).
Quelle redirection ajoute la sortie à la fin d'un fichier sans l'écraser ?;<;>;2>;>>;5;commande >> fichier ajoute la sortie standard à la fin du fichier, un simple > écraserait le fichier existant.
Que fait l'expression > /dev/null 2>&1 en fin de ligne de script ?;Elle crée un fichier de log;Elle affiche tout à l'écran;Elle envoie un mail;Elle dirige toute la sortie (standard et erreur) vers /dev/null, en l'ignorant;5;> /dev/null 2>&1 dirige la sortie standard et la sortie d'erreur vers /dev/null, ce qui les ignore efficacement (fréquent dans la crontab).
Quelle option de ps utilise-t-on sur un système de type AT&T (System V) ?;ps -edf;ps -w;ps -aux;ps --tree;2;On retient ps -aux pour les systèmes de type BSD et ps -edf pour les systèmes de type AT&T (System V).
Quel rôle les signaux jouent-ils au niveau des processus ?;Ils allouent la mémoire;Ils créent des threads;Ils chiffrent les données;Le même rôle que les exceptions et interruptions au niveau du processeur : avertir d'un événement;5;Un signal agit comme une sonnerie qui avertit un processus d'un événement synchrone ou asynchrone, comme les exceptions et interruptions au niveau du processeur.
Quel signal est envoyé à un processus quand on tape Ctrl-C ?;SIGKILL;SIGINT;SIGTERM;SIGHUP;3;SIGINT (interruption) est le signal envoyé à un processus quand on tape Control-C au clavier.
À quoi sert aujourd'hui le signal SIGHUP ?;À demander aux démons de relire leur fichier de configuration;À tuer le processus;À signaler une division par zéro;À changer la taille de la fenêtre;2;Historiquement lié à la rupture d'une ligne téléphonique, SIGHUP est maintenant utilisé pour demander à des démons de relire leur fichier de configuration.
À quoi sert la commande kill ?;À supprimer un fichier;À lister les processus;À envoyer n'importe quel signal à un processus du même propriétaire;À planifier une tâche;4;La commande kill (et l'appel système associé) permet d'envoyer n'importe quel signal à n'importe quel processus du même propriétaire, kill -l liste les signaux.
Quelle commande lance un processus de façon différée à une date donnée ?;at;cron;wait;nice;2;La commande at permet de lancer un processus de façon différée, at -l liste les processus en attente d'exécution.
