"Qu'est-ce que l'ingénierie sociale (social engineering) ?","Une acquisition déloyale d'information exploitant les failles humaines (confiance, ignorance, crédulité) pour obtenir d'autrui un bien, un service ou des informations clefs"
"Quel pirate célèbre est associé à l'ingénierie sociale et au piratage des réseaux téléphoniques ?","Kevin Mitnick, qui a notamment attaqué les machines de Tsutomu Shimomura et a été condamné à 5 ans de prison"
"Que recense l'acronyme MICE (VICE en français) ?","Les leviers psychologiques de manipulation d'un agent : Money/Vénal, Ideology/Idéologie, Compromise/Compromission, Ego"
"Que désigne le « shoulder surfing » ?","L'observation directe par-dessus l'épaule (ou à distance avec des jumelles) pour capter un code, un mot de passe ou une saisie de formulaire"
"À quoi sert le sniffing ?","À capturer et décoder les paquets qui transitent sur un réseau local non commuté, ce qui permet le diagnostic réseau mais aussi l'interception de mots de passe et données non chiffrés"
"Qu'est-ce que le scanning (balayage de ports) ?","Une technique de recherche des ports ouverts sur un hôte ; effectué sur un système tiers, il est généralement considéré comme une tentative d'intrusion car il prépare une intrusion"
"Qu'est-ce que la stéganographie ?","Un procédé de dissimulation d'informations sensibles au sein d'autres informations anodines (texte, image, son) ; le watermarking en est un cas particulier"
"Quelle est la différence entre menaces actives et menaces passives ?","Les menaces actives altèrent le système (virus, vers, chevaux de Troie, spam, phishing, déni de service, bombes logiques) ; les menaces passives se contentent d'observer (écoute des lignes, analyse de trafic)"
"Qu'est-ce qu'un virus informatique ?","Une portion de code capable de se reproduire et de se propager ; on distingue les virus de boot, les virus dans les exécutables et les macro-virus"
"Quelle est la différence entre un ver et un virus ?","Le ver se propage de lui-même vers d'autres ordinateurs à travers le réseau (souvent via le carnet d'adresses de messagerie), alors que le virus a besoin d'un support ou d'un hôte"
"Citez deux vers célèbres et la faille qu'ils exploitaient.","Code Red (faille des serveurs IIS, défiguration de sites) et Blaster (faille du service Windows DCOM RPC)"
"Qu'est-ce qu'un cheval de Troie ?","Un logiciel d'apparence légitime qui exécute des actions à l'insu de l'utilisateur, souvent pour ouvrir une porte dérobée (backdoor) donnant un accès distant secret à l'attaquant"
"Qu'est-ce qu'un spyware (espiogiciel) ?","Un logiciel qui collecte des informations sur une machine et les envoie à l'insu de l'utilisateur ; concept nommé par Microsoft en 1995, décliné en adware (publicité) et malware"
"Qu'est-ce qu'un botnet et qui le contrôle ?","Un réseau de machines infectées (bots) piloté par un « bot herder » ou « botmaster », via IRC, HTTP, DNS, messagerie instantanée, P2P ou Skype"
"À quoi sert un botnet ?","Envoyer du spam, voler des informations (keylogger), diffuser des spywares, mener des dénis de service distribués, héberger du phishing, truquer des statistiques de clics"
"Quelle est la définition CNIL du spam ?","L'envoi massif et parfois répété de courriers électroniques non sollicités à des personnes avec lesquelles l'expéditeur n'a jamais eu de contact, dont il a capté l'adresse de façon irrégulière"
"Que doit éviter de devenir un serveur de messagerie mal configuré ?","Un « open relay » (relais ouvert) exploitable par les spammeurs pour relayer leurs envois"
"Qu'est-ce que le greylisting (liste grise) anti-spam ?","Le rejet temporaire d'un message par un code de refus provisoire envoyé au MTA émetteur ; les serveurs légitimes réémettent après quelques minutes, la plupart des spammeurs non"
"D'où vient le mot « phishing » et depuis quand est-il massivement utilisé ?","De la contraction de PHreaking et fISHING (hameçonnage) ; la technique est employée massivement depuis 2003"
"Quelle est la principale parade contre le phishing ?","Ne jamais cliquer sur un lien d'un courriel mais taper soi-même l'adresse dans le navigateur, et vérifier le chiffrement et la validité du certificat lors d'une saisie confidentielle"
"Qu'est-ce que le scam et pourquoi l'appelle-t-on « 419 » ?","Une arnaque à l'extorsion de fonds (héritage d'un riche défunt à transférer) ; « 419 » renvoie à l'article du code pénal nigérian qui la réprime"
"En quoi consiste l'attaque « ping of death » ?","Envoyer un paquet ICMP malformé dépassant la taille IP maximale de 65 535 octets, ce que certains systèmes ne savaient pas traiter, provoquant un crash de la cible"
"Pourquoi l'UDP Flood congestionne-t-il fortement le réseau ?","Parce que le trafic UDP n'a pas de mécanisme de contrôle de congestion et devient prioritaire sur le trafic TCP, qui réduit son débit"
"Qu'est-ce que l'IP spoofing ?","L'usurpation de l'adresse IP d'un autre ordinateur, pour brouiller les pistes ou contourner une authentification fondée sur l'adresse IP (rlogin, rsh)"
"Comment se caractérise une attaque SYN flood et comment la repérer ?","Une inondation de segments SYN avec adresse source usurpée et inaccessible, qui laisse la cible avec de nombreuses connexions en état SYN_RECV visibles par netstat -an"
"Citez deux parades au SYN flood.","Allonger la file d'attente des connexions et réduire la temporisation d'établissement ; les OS modernes intègrent SYN cookie et SYN cache"
"Qu'est-ce qu'un DDoS et quand a-t-il été popularisé ?","Un déni de service distribué (Distributed Denial of Service) lancé depuis de nombreuses machines corrompues ; popularisé le 14 février 2000 contre des sites .com (eBay, CNN, Amazon) par « Mafiaboy »"
"En quoi consiste l'ARP spoofing et que permet-il ?","Polluer les caches ARP avec de fausses associations adresse MAC / adresse IP, ce qui permet des attaques man in the middle, du déni de service et le contournement de règles de firewall"
"Quelles sont les parades classiques à l'ARP spoofing ?","Utiliser des associations statiques (peu souple) et surveiller les changements d'association avec des outils comme arpwatch ou WinARPWatch"
"Qu'est-ce que le TCP hijacking (vol de session) ?","L'interception d'une session TCP établie pour la détourner ; comme l'authentification n'a lieu qu'à l'ouverture, l'attaquant garde la main pendant toute la session"
"En quoi consiste l'attaque Smurf ?","Envoyer une trame ICMP echo request vers une adresse de diffusion (broadcast) ; les réponses des intermédiaires saturent la victime dont l'adresse est usurpée"
"Qu'est-ce que le DNS cache poisoning ?","Empoisonner le cache d'un serveur DNS pour rerouter un nom légitime vers un site pirate ; BIND en a été victime en juillet 2007 via un générateur d'identifiants de requêtes prévisible"
"Quelle part des vulnérabilités les buffer overflows représentent-ils et en quoi consistent-ils ?","Environ deux tiers des vulnérabilités ; ils consistent à écrire des données hors de la zone allouée (pile ou tas), pouvant conduire à exécuter du code pirate (stack smashing)"
"Qu'est-ce qu'un « canary » (StackGuard) ?","Un repère généré aléatoirement placé devant l'adresse de retour d'une fonction ; s'il est modifié au retour, le programme détecte l'intrusion liée à un débordement de pile"
"Qu'est-ce qu'une race condition ?","Une situation où une ressource (fichier, structure de données) est manipulée simultanément par plusieurs processus ou threads ; certaines opérations doivent être rendues atomiques"
"Qu'est-ce qu'une attaque XSS (Cross Site Scripting) ?","L'injection de scripts (JavaScript, VBScript) exécutés dans le navigateur de la victime, souvent pour voler un cookie de session ; à ne pas confondre avec CSS (Cascading Style Sheet)"
"Quel est le remède principal aux failles XSS et injection SQL ?","Ne jamais faire confiance à une saisie utilisateur : filtrer ou échapper les caractères indésirables (par exemple < et > avec htmlspecialchars) et valider les données avant toute requête"
"Quels risques la virtualisation introduit-elle ?","La panne d'une ressource commune bloque tous les services hébergés, un défaut de cloisonnement peut causer une fuite d'informations, et une machine virtuelle peut être copiée à l'insu du propriétaire"
"Quelles sont les grandes phases de l'anatomie d'une attaque ?","La récolte d'informations sur la cible (whois, moteurs de recherche), puis l'analyse détaillée : cartographie du réseau, recherche des services ouverts et des vulnérabilités"
"Quel est l'outil de référence pour le scan de ports et citez trois techniques de scan.","nmap ; TCP connect (-sT), TCP SYN half-open (-sS), TCP FIN stealth (-sF), Xmas scan (-sX), Null scan (-sN), UDP scan (-sU)"
"À quoi sert l'option -O de nmap et l'option -D ?","-O tente d'identifier le système d'exploitation par fingerprinting ; -D lance un decoy scanning en noyant la cible sous des sources leurres"
"Qu'est-ce que le fingerprinting passif ?","L'identification d'un système sans émettre aucune information, par simple analyse des trames qu'il envoie (par exemple avec p0f ou l'analyse de logs)"
"Qu'est-ce que SATAN et Nessus ?","Deux scanners de vulnérabilités : SATAN (Security Administrator's Tool for Analysing Networks), diffusé en 1995 par Dan Farmer et Wietse Venema ; Nessus, client/serveur à plug-ins doté du langage NASL"
"À quoi servent les référencements BID et CVE ?","Identifier de façon normalisée les vulnérabilités : BID sur SecurityFocus, CVE sur cve.mitre.org, pour corréler comptes rendus de scanners et exploits"
"Quelle est la différence entre un IDS et un IPS ?","Un IDS (ex. Snort en NIDS) détecte les intrusions par approche comportementale et par signatures sans les bloquer ; un IPS peut stopper le trafic jugé suspect"
"Qu'est-ce qu'un rootkit ?","Un ensemble de techniques et d'outils permettant d'obtenir et de pérenniser un accès non autorisé à une machine de la manière la plus furtive possible ; c'est un cas classique de cheval de Troie"
"Comment un rootkit se dissimule-t-il et comment le détecter ?","Il remplace des commandes système (ps, netstat, ls), pose des backdoors et nettoie les logs ; on le détecte avec chkrootkit, RootkitRevealer, ou on s'en prémunit avec un contrôle d'intégrité comme tripwire"
"Quels outils permettent de craquer des mots de passe ?","Crack et John the Ripper sous Unix/Linux, L0phtCrack sous Windows ; face à la multiplication des mots de passe, on recourt à des coffres-forts et à l'authentification unique (SSO)"
