"Quel est le but d'un réseau informatique ?","Faire communiquer ensemble des entités ; pour un réseau informatique, ces entités sont des ordinateurs."
"Qu'est-ce qu'un protocole réseau ?","Une description formelle des règles et conventions à suivre dans un échange d'informations, comparable à une langue commune."
"Quelle suite protocolaire est le standard « de fait » des réseaux ?","La suite TCP-IP."
"Que signifie ARPANET et qui l'a conçu ?","ARPA Network : réseau conçu par l'ARPA, l'agence de recherche du DoD (ministère américain de la Défense)."
"Pourquoi ARPANET a-t-il adopté la commutation par paquets ?","Pour interconnecter des réseaux hétérogènes et résister à une attaque ; le réseau téléphonique (commutation de circuits) était jugé trop vulnérable."
"Quand et entre qui le premier lien ARPANET a-t-il été établi ?","Le 21 novembre 1969, entre l'université de Californie à Los Angeles (UCLA) et le Stanford Research Institute."
"Qu'est-ce qu'une RFC (Request For Comments) ?","Un document de travail ouvert consignant les propositions et normes techniques du réseau ; la mémoire collective interne d'Internet."
"Qui a produit les premières RFC et les premiers protocoles (Telnet, FTP) d'ARPANET ?","Le NWG (Network Working Group), groupe de doctorants des quatre sites, dirigé par Steve Crocker."
"Qu'étaient les IMP (Interface Message Processor) ?","De petits ordinateurs spécialisés dans la commutation des messages (ancêtres des routeurs), construits par la firme BBN pour ARPANET."
"Quelles sont les deux « lectures » de l'origine des réseaux ?","La lecture militaire (réseau indestructible résistant à une attaque nucléaire) et la lecture communicationnelle (utopie du village mondial) ; toutes deux jugées trop mono-causales."
"Quels grands acteurs se sont tenus à l'écart de l'émergence d'ARPANET ?","IBM (refus de l'appel d'offres de 1968) et AT&T, l'acteur majeur de la téléphonie."
"Quel besoin l'incompatibilité des réseaux propriétaires des années 1970 a-t-elle fait naître ?","Un besoin croissant d'interopérabilité entre systèmes hétérogènes et cloisonnés."
"Qui normalise le modèle OSI et quand débutent ses travaux ?","L'ISO (International Standard Organization) ; premiers travaux en 1977, norme ISO 7498 proposée en 1978, adoption vers 1984."
"De quoi découle le modèle DoD ?","De l'implémentation des protocoles TCP et IP (créés vers 1974) dans un modèle en couches ; on l'appelle aussi modèle TCP/IP."
"Quel est l'intérêt d'un modèle en couches ?","Diviser un problème complexe de communication en sous-problèmes ; chaque couche rend un service aux couches supérieures en s'appuyant sur les couches inférieures, ce qui favorise l'interopérabilité."
"Comment nomme-t-on les unités de données selon les couches du modèle DoD ?","Données (utilisateur), message (application-transport), segment (transport-réseau), datagramme (réseau-accès réseau), trame ou paquet (accès réseau via le support physique)."
"Quelles sont les sept couches du modèle OSI, de bas en haut ?","Physique, Liaison de données, Réseau, Transport, Session, Présentation, Application."
"Rôle de la couche Physique (OSI 1) ?","Établir et maintenir la liaison physique : spécifications mécaniques (connecteurs) et électriques (niveaux de tension), codage/décodage des données (ex. code Manchester)."
"Rôle de la couche Liaison de données (OSI 2) ?","Maintenir la connexion logique, transférer les blocs de données (trames), détecter et corriger les erreurs, assurer l'accès au support (encapsulation en trames)."
"Rôle de la couche Réseau (OSI 3) ?","Assurer l'acheminement et le routage des blocs de données entre systèmes d'extrémité à travers des relais, et définir la taille des blocs."
"Rôle de la couche Transport (OSI 4) ?","Contrôler le transfert de bout en bout entre les deux systèmes d'extrémité ; découper les messages en paquets et les reconstituer, rendant le transport transparent aux couches supérieures."
"Rôle de la couche Session (OSI 5) ?","Assurer et synchroniser le dialogue entre deux applications distantes, avec détection et reprise en cas d'erreur (gestion par jeton pour Token Ring)."
"Rôle de la couche Présentation (OSI 6) ?","Mettre en forme les données, convertir les codes (ASCII, EBCDIC), éventuellement chiffrer et compresser ; première couche non impliquée dans le transfert."
"Rôle de la couche Application (OSI 7) ?","Assurer la communication entre les couches inférieures et les applications utilisateur (transfert de fichiers, courrier) ; elle ne contient pas les applications elles-mêmes."
"Quelles sont les quatre couches du modèle DoD ?","Application, Transport, Réseau, Accès réseau."
"À quelles couches OSI correspond la couche Application du modèle DoD ?","Aux couches Application, Présentation et Session d'OSI."
"Quels protocoles trouve-t-on dans la couche Application du modèle DoD ?","Telnet, FTP, TFTP, SMTP, HTTP."
"Différence entre TCP et UDP (couche Transport DoD) ?","TCP : fiable, orienté connexion, contrôle de flux, remise ordonnée. UDP : non fiable, sans connexion, sans contrôle de flux (ex. transmission de la voix)."
"Quels protocoles implémentent la couche Réseau du modèle DoD ?","IP (principal), ainsi que ARP, RARP et ICMP."
"Que regroupe la couche Accès réseau du modèle DoD ?","Les couches Physique et Liaison de données d'OSI ; elle gère les adresses physiques et les erreurs matérielles de transmission (souvent Ethernet en LAN)."
"Pourquoi dit-on que le modèle TCP/IP s'est imposé face à OSI ?","Par sa souplesse et son pragmatisme : le modèle pragmatique issu de DoD a progressivement pris le dessus sur le modèle OSI, plus normatif et théorique."
"Que sont SNA, DNA et DSA ?","Des architectures réseau propriétaires historiques (respectivement IBM en 1974, Digital en 1975, Bull), antérieures ou parallèles à la normalisation OSI."
