Selon la norme ISO 9004-5, quelle est la finalité d'un projet ?;Réduire les coûts d'exploitation d'un service;Fournir, à des dates définies, un produit unique répondant à des exigences spécifiées;Former les agents à un nouvel outil;Maintenir une activité courante et répétitive;3;Selon l'ISO 9004-5, un projet est un ensemble d'activités coordonnées entreprises pour fournir, à des dates de début et/ou de fin définies, un produit unique répondant à des exigences spécifiées, avec une organisation temporaire.
Que signifie réussir un projet informatique ?;Livrer le plus de fonctionnalités possible, quel que soit le délai;Respecter le budget sans se soucier de la qualité;Satisfaire d'abord la maîtrise d'œuvre;Obtenir un produit répondant à tous les besoins exprimés de l'utilisateur mais seulement ses besoins, dans les contraintes de coût, délai et qualité;5;Réussir un projet, c'est obtenir un produit qui répond à tous les besoins exprimés de l'utilisateur final mais seulement ses besoins, tout en respectant les contraintes prédéfinies de coût, de délai et de qualité.
Lequel de ces aléas est de nature organisationnelle pour un projet ?;Une baisse du budget global;Une mauvaise maîtrise des techniques par les équipes;L'indisponibilité des personnes nécessaires ou le retard dans la fourniture d'outils;Une évolution réglementaire imprévue;4;Les aléas organisationnels concernent l'indisponibilité des personnes et les retards de fourniture d'outils et de matériels, tandis que les aléas fonctionnels relèvent de la réglementation et les aléas techniques de la maîtrise des techniques.
Quels sont les quatre éléments constitutifs d'une démarche de construction logicielle ?;Le budget, le planning, les charges, la qualité;La MOA, la MOE, l'équipe projet, les utilisateurs;L'analyse, la conception, le codage, les tests;Les buts, le processus et cycle de vie, les méthodes, le formalisme et les outils;5;La démarche se structure autour des buts (que veut-on obtenir), du processus et cycle de vie (dans quel ordre), des méthodes (comment) et du formalisme et des outils (par quels moyens).
À quoi servent les modèles dans une méthode de projet ?;À figer le périmètre dès le lancement;À représenter le système réel sous une forme simplifiée mais juste, et servir de points de contrôle et de validation;À remplacer entièrement la documentation littéraire;À automatiser le codage sans intervention humaine;3;Les modèles visent à représenter le système réel sous une forme simplifiée mais juste, ce sont, avec la documentation, les principaux livrables et les points de contrôle et de validation des travaux, pour minimiser les risques de dérapage.
Pour quelle durée le schéma directeur informatique est-il généralement défini ?;Cinq ans, avec une actualisation régulière;Dix ans, figé;Un an, sans actualisation;Trois mois, révisé chaque semaine;2;Le schéma directeur informatique, sous-ensemble du schéma directeur, fixe les grandes orientations de la politique d'informatisation et est généralement défini pour une période de cinq ans, régulièrement actualisée.
Tous les projets sont-ils obligatoirement issus du schéma directeur ?;Non, une évolution de l'environnement ou une sollicitation inopinée peut faire naître un projet;Oui, sauf les projets de maintenance corrective;Non, seuls les projets de plus de cinq ans en sont issus;Oui, aucun projet ne peut démarrer hors schéma directeur;2;Le schéma directeur ne fige pas la planification : tous les projets n'en sont pas issus, car une évolution réglementaire ou organisationnelle, ou une sollicitation inopinée, peut nécessiter de nouveaux projets ou des maintenances.
Quel document formel nomme le chef de projet et lui donne l'ordre de commencer ?;Le manifeste agile;Le cahier des charges;La lettre de mission;Le diagramme de Gantt;4;Une lettre de mission nomme le chef de projet et lui donne ordre de mission de commencer le projet, en définissant les grandes lignes (objectifs et contraintes), elle est complétée par une réunion de lancement.
Selon quels axes un projet peut-il être découpé en sous-projets ?;Amont, milieu ou aval;Stratégique, tactique ou opérationnel;Fonctionnel, organisationnel ou technique;Court, moyen ou long terme;4;Le découpage d'un projet en sous-projets se fait en fonction de la nature des sujets à traiter : il peut être fonctionnel, organisationnel ou technique.
À qui appartient généralement le système d'information concerné par un projet ?;À la maîtrise d'ouvrage, qui prend toutes les décisions ayant un impact sur lui;À l'équipe projet;À la maîtrise d'œuvre, qui le réalise;Au prestataire sous-traitant;2;Le système d'information concerné par la demande appartient généralement à la maîtrise d'ouvrage : c'est elle qui est chargée de prendre toutes les décisions qui auront un impact sur lui.
Quelle structure de la maîtrise d'ouvrage est l'instance de décision et de pilotage du projet ?;Le comité de suivi;L'équipe projet;Le comité des utilisateurs;Le comité directeur (ou comité stratégique);5;Le comité directeur (ou comité stratégique) est l'instance de décision et de pilotage du projet et porte les attributions stratégiques de la maîtrise d'ouvrage, tandis que le comité de suivi assure le pilotage opérationnel.
Le comité de suivi (ou comité de pilotage) existe-t-il toujours ?;Non, il remplace le comité directeur;Oui, mais uniquement pour les projets sous-traités;Oui, il est obligatoire pour tout projet;Non, dans les projets de petite envergure un seul niveau de pilotage est retenu;5;Le comité de suivi n'existe pas systématiquement : dans les projets de petite envergure, un seul niveau de pilotage est retenu, il représente l'instance de pilotage opérationnel agissant pour le compte du comité directeur.
Qui joue généralement le rôle de maîtrise d'œuvre pour un projet mené en interne ?;Un prestataire extérieur obligatoirement;La direction générale;La direction informatique;Le comité des utilisateurs;4;Dans la plupart des organisations, lorsque les projets sont menés en interne, c'est la direction informatique qui joue le rôle de maîtrise d'œuvre, ce rôle peut aussi être assumé par un prestataire extérieur pour des projets sous-traités.
Quelle organisation d'équipe projet est la plus répandue ?;L'organisation par sprints;L'organisation matricielle;L'organisation en réseau;L'organisation verticale;5;L'organisation dite verticale est la plus répandue : le projet est confié au service qui assure habituellement le suivi des applications du domaine fonctionnel concerné, ce qui profite des compétences fonctionnelles mais risque de cloisonner les équipes.
Quel est un avantage de l'organisation matricielle d'une équipe projet ?;Une gestion toujours plus simple que l'organisation verticale;L'absence de chef de projet;La suppression du besoin de sous-traitance;Une meilleure mobilité des compétences et une dissociation claire entre le projet et l'application opérationnelle existante;5;L'organisation matricielle réunit dans une structure spécifique et temporaire des techniciens de divers services sous la responsabilité du chef de projet : elle offre une meilleure mobilité des compétences et une dissociation projet / application existante, au prix d'une gestion plus délicate.
Qu'est-ce que l'effet tunnel dans un projet ?;Un dépassement de budget non anticipé;Un blocage total de l'équipe de développement;L'absence de visibilité de la maîtrise d'ouvrage sur l'avancement des travaux tant que le logiciel n'est pas terminé;La perte des données lors de la mise en service;4;L'effet tunnel désigne l'absence de visibilité de la maîtrise d'ouvrage sur l'avancement des travaux tant que le logiciel n'est pas terminé, on l'évite en informant fréquemment la MOA et en organisant des résultats intermédiaires.
