"À quoi sert le fichier /etc/passwd et quand est-il consulté ?","C'est la liste des utilisateurs reconnus par le système ; consulté au moment du login pour déterminer l'UID de l'utilisateur, son répertoire et d'autres informations."
"Quels sont les 7 champs d'une ligne de /etc/passwd ?","Login, mot de passe crypté, UID, GID par défaut, informations GECOS (nom, bureau, téléphone), répertoire personnel, shell de connexion ; séparés par « : »."
"Que contient le champ mot de passe de /etc/passwd sur les systèmes modernes ?","Un x (Linux, Solaris, HP-UX) ou un « ! » ou « * » (AIX) : le mot de passe crypté est déplacé dans un fichier séparé non lisible."
"Où sont stockés les mots de passe cryptés selon le système ?","Dans /etc/shadow sur Linux, Solaris et HP-UX ; dans /etc/security/passwd sur AIX. Ces fichiers ne sont lisibles que par le superutilisateur."
"Quel fichier permet d'intégrer les données d'un service d'annuaire (NIS, LDAP) avec les fichiers locaux ?","/etc/nsswitch.conf (/etc/nscontrol.conf sur AIX) ; des entrées commençant par + ou - dans /etc/passwd indiquent aussi comment intégrer ces données."
"Quelles contraintes s'appliquent à un nom de login ?","Unique, sensible à la casse, ne peut jamais contenir de « : » ni de fin de ligne (séparateurs) ; historiquement limité à 8 caractères alphanumériques ; NIS/NIS+ limite à 8 caractères ; un utilisateur doit avoir le même login sur chaque machine."
"Cite des algorithmes de chiffrement de mot de passe et leur préfixe.","crypt/DES (13 caractères), MD5 (34 caractères, préfixe $1$), Blowfish (préfixe $2a$, défaut SUSE), SHA256 (préfixe $5$, défaut OpenSolaris), SHA512 ; MD5 permet des longueurs arbitraires mais a des faiblesses connues."
"Quel UID a l'utilisateur root et quelle est la nature des UID ?","root a toujours l'UID 0 ; les UID sont des entiers non signés 32 bits ; le logiciel et le système de fichiers utilisent l'UID en interne, le login servant à l'humain."
"Comment protège-t-on les comptes de pseudo-utilisateurs (bin, daemon) ?","On leur donne un UID faible et un shell fictif (par exemple /bin/false) pour empêcher toute connexion avec ces comptes ; on les place au début de /etc/passwd."
"Quand le pseudo-utilisateur « nobody » est-il utilisé ?","Quand l'utilisateur root tente d'accéder à des fichiers montés en NFS depuis une autre machine qui ne fait pas confiance à la première ; le système lui attribue une grande valeur d'UID."
"Pourquoi ne faut-il pas réutiliser un UID, même après suppression d'un utilisateur ?","Pour éviter la confusion si des fichiers sont restaurés depuis des sauvegardes où les utilisateurs sont identifiés par l'UID plutôt que par le login ; un UID = un login = une personne sur toutes les machines."
"Pourquoi ne faut-il pas avoir plusieurs comptes avec l'UID 0 ?","Cela crée des trous de sécurité ; pour d'autres accès root, on utilise un programme comme sudo."
"Quel GID est réservé et à quoi servent les groupes aujourd'hui ?","GID 0 est réservé au groupe root (ou system) ; les groupes servent aujourd'hui principalement à partager l'accès aux fichiers (autrefois à la comptabilité du temps CPU et du disque)."
"Comment un nouveau fichier peut-il hériter du groupe de son répertoire parent ?","En positionnant le bit setgid (02000) sur le répertoire, ou en montant le système de fichiers avec l'option grpid."
"Comment la commande finger interprète-t-elle le champ GECOS ?","Comme des valeurs séparées par des virgules : nom complet (souvent le seul rempli), numéro de bureau et bâtiment, poste téléphonique de bureau, numéro de téléphone personnel ; la commande chfn permet à l'utilisateur de les modifier."
"Que se passe-t-il si le répertoire personnel d'un utilisateur est manquant au login ?","Le système affiche un message « aucun répertoire » et place l'utilisateur dans / ; sous Linux, si DEFAULT_HOME est à « no » dans /etc/login.defs, le login est refusé."
"Quels sont les shells par défaut selon le système ?","bash (Bourne Again shell) pour Linux et Solaris, ksh (Korn shell) pour AIX, sh étant le shell traditionnel d'Unix ; sous Linux sh et csh sont des liens vers bash et tcsh."
"À quoi sert la commande chsh et quelle est sa contrainte ?","Elle permet de changer le shell d'un utilisateur ; Linux limite les changements aux shells listés dans /etc/shells (avec des chemins absolus) ; sur Solaris seul le superutilisateur peut le faire (passwd -e)."
"Combien de champs contient une ligne de /etc/shadow ?","Neuf champs séparés par « : » : login, mot de passe crypté, date du dernier changement, minimum de jours entre changements, maximum de jours, jours d'avertissement avant expiration, jours après expiration avant désactivation (Linux) ou inactivité (Solaris/HP-UX), date d'expiration du compte, champ réservé."
"En quelle unité les dates de /etc/shadow sont-elles exprimées ?","En jours (pas en secondes) depuis le 1er janvier 1970 ; conversion : expr `date +%s` / 86400."
"Quel utilitaire harmonise les contenus de /etc/passwd et /etc/shadow ?","pwconv (Solaris, HP-UX, Linux) ; sous Linux il complète les paramètres par défaut à partir de /etc/login.defs."
"Comment forcer un utilisateur à changer son mot de passe à la prochaine connexion ?","passwd -f username (Solaris) ; pwdadm (AIX) ; utile après un audit de mots de passe non sécurisés."
"Quels sont les 4 champs d'une ligne de /etc/group ?","Nom du groupe, mot de passe crypté ou espace réservé, numéro GID, liste des membres séparés par des virgules (sans espaces)."
"Que se passe-t-il en cas de conflit d'appartenance entre /etc/passwd et /etc/group ?","Le fichier /etc/passwd est prioritaire : si un utilisateur a un groupe par défaut dans /etc/passwd mais n'y figure pas dans /etc/group, c'est /etc/passwd qui l'emporte."
"À quoi servent newgrp, gpasswd et /etc/gshadow ?","Un mot de passe de groupe (rarement utilisé) permet à un utilisateur non membre d'entrer dans le groupe avec newgrp ; gpasswd le configure et la forme cryptée est stockée dans /etc/gshadow."
"Quelle est la limite du nombre de groupes auxquels un utilisateur peut appartenir ?","Historiquement 8 ; aujourd'hui 16 sur Solaris, 20 sur HP-UX, apparemment illimité sur AIX et Linux."
"Quelles commandes gèrent les groupes sous Linux, Solaris et HP-UX ?","groupadd (créer), groupmod (modifier), groupdel (supprimer) ; sous AIX on édite /etc/group et on vérifie la syntaxe avec grpck."
"Cite les grandes étapes de l'ajout d'un utilisateur.","Faire signer le contrat de politique d'utilisation, modifier passwd et shadow, ajouter l'utilisateur à /etc/group, définir un mot de passe initial, créer et chown/chmod le répertoire personnel, configurer rôles et permissions, copier les fichiers de démarrage (/etc/skel), configurer la messagerie, vérifier et enregistrer dans une base."
"Quelles commandes gèrent les comptes utilisateurs et quel privilège faut-il ?","useradd, userdel, usermod (mêmes noms sur tous les systèmes, programmes différents) ; il faut être root (ou avoir les privilèges UserAdmin sur AIX)."
"Que sont les fichiers de démarrage et où sont conservés leurs modèles ?","Des fichiers cachés commençant par un point et se terminant par « rc » (run command, hérité de CTSS) ; les modèles sont dans /etc/skel (Linux, Solaris, HP-UX), /etc pour tous, /etc/security sur AIX ; Linux utilise aussi /etc/profile.d."
