"Quelle est la dépense annuelle du SI de la fonction publique d'État (hors dépenses de personnel) ?","Environ 2 milliards d'euros hors T2, pour 2 millions d'agents dotés d'une boîte mail et d'un poste de travail et plus de 20 000 implantations géographiques"
"Combien d'agents publics exercent un métier SIC dans la fonction publique d'État ?","Environ 20 000 agents (hors personnels militaires), avec environ 10 % de contractuels contre 15 % en moyenne dans la fonction publique d'État"
"Quels éléments restent fondamentaux pour les centres informatiques principaux de l'État ?","La puissance électrique et la capacité de climatisation, la superficie n'étant plus l'élément déterminant ; on compte plus de 130 centres principaux, dont 7 de plus de 500 m²"
"Qu'est-ce que l'ATICA et qu'a-t-elle produit en 2002 ?","L'Agence des Technologies de l'Information et de la Communication dans l'Administration, qui a remplacé la MTIC en 2001 ; en 2002 elle a présenté par circulaire du Premier ministre le premier Cadre général d'interopérabilité"
"Quelles sont les quatre étapes de l'administration électronique citoyenne selon le rapport Carcenac (2011) ?","Le dialogue et l'information, l'interaction simple sur le web, la gestion complète en ligne d'une démarche, puis la distribution des services publics par un guichet unique physique ou numérique"
"Qu'est-ce que le PAGSI et quand a-t-il été lancé ?","Le Plan d'Action Gouvernemental pour l'entrée de la France dans la société de l'information, lancé en janvier 1998 sous Lionel Jospin autour de six chantiers : école, culture, service public, entreprise, innovation, régulation"
"Quel constat le rapport Hyper République (2003) porte-t-il sur l'administration ?","Que les administrations doivent s'organiser autour de l'usager et non l'inverse (« révolution copernicienne »), en passant d'une logique de silo à une logique en réseau ; il fut le premier à dénoncer le nombre de formulaires (1 373 agréés par le CERFA)"
"Qu'est-ce que l'ADAE et quels grands plans a-t-elle conduits ?","L'Agence de Développement de l'Administration Électronique, créée en février 2003 ; elle a conduit les plans ADELE 2004-2007 (140 mesures) et ADELE 2006-2010"
"Quand et où la DGME a-t-elle été créée, et quelle était sa mission après la RGPP de 2007 ?","La Direction Générale de la Modernisation de l'État a été créée à Bercy en décembre 2005 ; recréée le 3 janvier 2008 après la RGPP, sa devise était « faire mieux avec moins »"
"Quand la DISIC a-t-elle été créée et par quel texte ?","La Direction interministérielle des Systèmes d'Information et de Communication de l'État a été créée auprès du Premier ministre par le décret n° 2011-193 du 21 février 2011"
"Autour de quels trois services la DISIC est-elle organisée ?","Stratégie, urbanisation et innovation ; performance et maîtrise des risques ; programmes et opérations (RIE, transformation des centres informatiques, SIC territoriaux)"
"Quelles sont les deux instances de comitologie de la DISIC ?","Le CSIC (Conseil des SIC), réunissant les secrétaires généraux, la DGSIC Défense, la DGME, la DB, l'ANSSI et le SAE deux fois par an, et le CTSIC (Comité Technique des SIC), réunissant les DSI ministériels chaque mois"
"Qu'est-ce que le SGMAP et de quelles entités était-il structuré ?","Le Secrétariat Général pour la Modernisation de l'Action Publique, créé en octobre 2012, structuré autour de la mission Etalab (ouverture des données publiques), de la DIMAP (qui remplace la DGME) et de la DISIC"
"Qu'est-ce que le CIMAP ?","Le Comité Interministériel pour la Modernisation de l'Action Publique : l'instance de décision et d'arbitrage en la matière ; le premier CIMAP a eu lieu le 18 décembre 2012 avec une feuille de route de 50 décisions dans 5 domaines"
"Par quelle entité la DISIC, Etalab et le pôle Innovation ont-ils été fusionnés le 21 septembre 2015 ?","Par la DINSIC (Direction interministérielle du Numérique et du Système d'Information et de Communication de l'État)"
"Quelles directions ont remplacé le SGMAP en novembre 2017 ?","La DITP (Direction Interministérielle de la Transformation Publique) et la DINSIC, par les décrets du 20 novembre 2017"
"Quand et pourquoi le RIE a-t-il été décidé ?","Par le Conseil des ministres du 25 mai 2011, pour créer un réseau interministériel sécurisé regroupant les réseaux des ministères et permettant la continuité de l'action gouvernementale en cas de dysfonctionnement grave d'Internet"
"Sur quelle infrastructure le RIE s'appuie-t-il ?","Sur l'infrastructure optique à haut débit de RENATER (Réseau national de télécommunications pour la technologie, l'enseignement et la recherche) ; le passage à RENATER 6 fait passer la capacité du cœur de réseau de 10 à 100 Gbit/s"
"Quel réseau le RIE remplace-t-il ?","Le réseau de coordination interministérielle AdER/SIGMA, dont les dernières prestations ont été résiliées le 7 juin 2016"
"Comment le RIE est-il gouverné ?","Par le SCN RIE (service à compétence nationale), intégré au SGMAP, organisé en six pôles d'activités opérationnelles : relations clients, pilotage de l'exploitation, expertise, supervision (NOC), sécurité (SOC), support et gestion"
"Quel est le rôle du NOC et du SOC du RIE ?","Le NOC (Network Operations Center) assure la permanence opérationnelle 24h/24 et 7j/7 pour la gestion des incidents et des maintenances ; le SOC (Security Operations Center) pilote l'amélioration continue de la sécurité du RIE"
"Quels services l'offre du RIE recouvre-t-elle ?","L'accès à internet, le nommage (DNS) pour les clients du RIE, les échanges interministériels du réseau AdER (intranet interministériel), et un service de temps (NTP) ouvert fin 2016"
"Quel adressage et quel sous-domaine le RIE utilise-t-il ?","L'adressage interministériel 100.65.0.0/16 et le sous-domaine rie.gouv.fr, en remplacement de l'ancien adressage AdER 161.48.0.0/19 et du sous-domaine ader.gouv.fr"
"Qu'apporte la loi n° 2000-230 du 13 mars 2000 ?","Elle adapte le droit de la preuve aux technologies de l'information : l'écrit sous forme électronique est admis en preuve au même titre que l'écrit papier, sous réserve que la personne dont il émane soit identifiée et que l'intégrité soit garantie"
