"Quelle différence majeure d'architecture entre IIS 6.0 et IIS 7.0 ?","IIS 6.0 formait un seul bloc obligeant l'installation complète du serveur Web (extension uniquement par filtres ISAPI). IIS 7.0 est découpé en modules qui s'intègrent dans une procédure de traitement : on n'installe que les modules nécessaires (plus de 40 fonctionnalités)."
"Quels avantages apporte l'architecture modulaire d'IIS 7.0 ?","Amélioration des performances (serveur allégé), installation en fonction des besoins, sécurité améliorée (surface d'attaque réduite), maintenance facilitée (seuls les modules installés ont besoin d'être mis à jour)."
"Qu'est-ce qu'un serveur Web ?","Une machine qui reçoit des requêtes (URL) de type HTTP ou HTTPS et renvoie en réponse les documents au format HTML correspondants."
"Quels sont les composants principaux d'IIS ?","Les services d'écoute de protocole (protocol listeners) comme HTTP.sys, les services comme la publication WWW (service WWW), et le service d'activation de processus Windows (Windows Process Activation Service ou WAS)."
"Qu'est-ce que HTTP.sys ?","Le service d'écoute HTTP d'IIS, implémenté comme un pilote de périphérique en mode noyau (pile de protocole HTTP) ; il écoute les requêtes HTTP et HTTPS/SSL, les envoie à IIS pour traitement puis retourne les réponses aux navigateurs. Introduit dans IIS 6.0, il y a remplacé l'API Windows Sockets (Winsock)."
"Quels avantages HTTP.sys offre-t-il ?","La mise en cache en mode noyau (les réponses en cache sont servies sans passer en mode utilisateur), la mise en file d'attente en mode noyau (le noyau transmet les demandes au processus de travail adéquat, ou les garde en file si aucun n'est disponible), et le pré-traitement et filtrage de sécurité des demandes."
"Comment fonctionnent les services et applications qui n'utilisent ni HTTP ni HTTPS sous IIS ?","Via Windows Communication Foundation (WCF), qui possède des adaptateurs d'écoute fournissant les fonctionnalités d'écoute d'un protocole spécifique (par exemple NetTcpActivator pour le protocole net.tcp)."
"Comment la fonctionnalité du service de publication Web est-elle répartie dans IIS 7.0 ?","Entre deux services fonctionnant dans le processus Svchost.exe : le service WWW à proprement parler, et le nouveau service d'activation de processus Windows (WAS)."
"Quel est le rôle du service WWW dans IIS 7.0 ?","Il est l'adaptateur d'écouteur pour HTTP.sys : il configure et met à jour HTTP.sys lors des changements de configuration, notifie WAS quand une demande entre dans la file d'attente, et collecte les compteurs de performance spécifiques à HTTP pour les sites Web. Il ne gère plus les processus."
"Quel est le rôle de WAS (Windows Process Activation Service) ?","À partir d'IIS 7.0, WAS gère la configuration des pools d'applications et les processus de travail à la place du service WWW, pour les protocoles HTTP comme non-HTTP ; il lit ApplicationHost.config au démarrage et transmet les informations aux adaptateurs d'écoute. Il peut s'exécuter sans le service WWW si aucune fonctionnalité HTTP n'est requise."
"Que sont les modules IIS ?","Les caractéristiques individuelles que le serveur utilise pour traiter les demandes : par exemple des modules d'authentification pour authentifier les clients, des modules de mémoire cache pour gérer le cache."
"Quels modules HTTP IIS 7.0 propose-t-il ?","Contenu statique (pages HTML, images), document par défaut (fichier retourné si l'URL n'en précise pas), exploration de répertoire, erreurs HTTP (messages personnalisés), redirection HTTP, et publication WebDAV (Web Distributed Authoring and Versioning)."
"Quelle est la différence entre une extension ISAPI et un filtre ISAPI ?","Une extension ISAPI s'exécute sur demande comme un fichier HTML ou ASP, mais étant du code compilé elle est traitée beaucoup plus vite que les fichiers ASP ou COM+. Un filtre ISAPI examine chaque demande faite au serveur jusqu'à en trouver une qu'il doit traiter, et peut étendre ou modifier les fonctionnalités d'IIS."
"Qu'est-ce qu'ASP.NET dans le contexte du développement d'applications IIS ?","Un environnement de programmation orientée objet côté serveur permettant de créer des sites et applications Web en code managé, s'appuyant sur le framework .NET ; ASP (Active Server Pages), lui, est un environnement de script côté serveur avec prise en charge native de VBScript et JScript."
"À quoi sert l'interface CGI (Common Gateway Interface) ?","À définir la façon dont un serveur Web transmet des informations à un programme externe, par exemple un formulaire."
"Qu'est-ce que le SSI (Server-Side Includes) ?","Un langage de script utilisé pour générer dynamiquement des pages HTML : le script s'exécute sur le serveur avant l'envoi de la page au client, généralement pour insérer un fichier dans un autre."
"Quels modules de journalisation et de diagnostic IIS propose-t-il ?","Journalisation HTTP (enregistrement de l'activité des sites dans des journaux du système de fichiers), outils de journalisation, observateur de demandes, suivi (tracing), journalisation personnalisée, et journal ODBC (journalisation dans une base conforme ODBC)."
"Quels modules de sécurité IIS propose-t-il pour l'authentification ?","Authentification de base, authentification Windows (faible coût pour sites internes, s'appuie sur l'infrastructure du domaine), authentification Digest (envoi d'un hash du mot de passe au contrôleur de domaine), et authentification par mappage de certificat client (un-à-un via Active Directory, ou un-à-un / plusieurs-à-un via IIS)."
"Que permettent les modules Autorisation d'URL, Filtrage et Restrictions IP et Domaine ?","Autorisation d'URL : créer des règles limitant l'accès au contenu Web. Filtrage : filtrer toutes les demandes entrantes selon des règles de l'administrateur. Restrictions IP et Domaine : autoriser ou refuser le contenu selon l'adresse IP d'origine ou le nom de domaine de la demande."
