Quel organisme a normalisé MPLS ?;L'UIT-T;L'IETF;L'ISO;Le CNET;3;MPLS (MultiProtocol Label Switching) est un protocole normalisé par l'IETF, apparu au milieu des années 1990 pour simplifier le modèle IP over ATM dans les grands réseaux.
Sur combien de bits les labels MPLS sont-ils codés ?;32 bits;16 bits;8 bits;48 bits;2;Les labels MPLS sont des labels de 32 bits insérés entre les en-têtes de couche 2 et de couche 3.
Que combine la technologie MPLS ?;La résolution de noms et l'adressage;Le chiffrement et la compression;Le routage de niveau 2 et la commutation de niveau 4;La commutation de niveau 2 (rapidité) et le routage de niveau 3 (souplesse du choix de chemin);5;MPLS combine les mécanismes de la commutation de niveau 2 (ATM), rapide au passage des nœuds, et les fonctionnalités du routage de niveau 3 (IP), souples dans le choix du chemin.
Quel protocole de niveau supérieur MPLS prend-il en charge en pratique ?;Uniquement AppleTalk;Tous les protocoles réseau;Uniquement IPX;Seul le protocole IP;5;En théorie, l'indépendance de MPLS vis-à-vis du niveau supérieur permet de gérer tout protocole, mais actuellement seul le protocole IP est pris en charge.
Comment les données traversent-elles un réseau MPLS une fois le chemin établi ?;Uniquement par commutation de références, sans remonter à la couche 3;Par le protocole ARP;En diffusion vers tous les nœuds;Par un nouveau routage IP à chaque nœud;2;Une fois le routeur de sortie et le chemin déterminés par routage de niveau 3, les données sont transmises uniquement par commutation de références, les nœuds MPLS ne remontant pas jusqu'à la couche 3 pour commuter.
Quel équipement constitue le point d'entrée d'un réseau MPLS ?;Le LER (Label Edge Router);Le commutateur ATM;Le serveur DNS;Le LSR (Label Switched Router);2;Le LER (Label Edge Router) est le routeur de bordure au point d'entrée : il associe une référence et une interface de sortie au datagramme selon la destination et la QoS.
Quelle table de commutation un LSR consulte-t-il ?;La table de routage OSPF;La LIB (Label Information Base);La MFT;La table ARP;3;Le LSR (Label Switched Router) consulte sa table de commutation appelée LIB (Label Information Base) pour déterminer la nouvelle référence et l'interface de sortie, puis remplace l'ancienne référence par la nouvelle.
Comment s'appelle un chemin dans un réseau MPLS ?;Une FEC;Un backbone;Un VPI;Un LSP (Label Switching Path);5;Un chemin dans le réseau MPLS, déterminé par un enchaînement de LSR et une succession de références, est appelé LSP (Label Switching Path).
Une référence MPLS a-t-elle une signification globale sur tout le réseau ?;Non, elle n'a de signification que pour un LSR et ses voisins directs;Oui, mais seulement pour les LER;Non, elle change à chaque datagramme;Oui, elle est unique dans tout le réseau;2;Une référence MPLS n'a de signification que pour un LSR et les équipements auxquels il est directement connecté : le même numéro peut se retrouver sur deux LSR distincts ou sur deux interfaces d'un même LSR.
Un chemin MPLS est-il bidirectionnel ?;Oui, toujours le même dans les deux sens;Oui, mais seulement avec RSVP;Non, il est unidirectionnel et le retour peut emprunter un autre chemin;Non, il n'est pas orienté;4;Le chemin MPLS s'établit vers une destination sans tenir compte de l'expéditeur, il est donc unidirectionnel : le trafic de retour peut emprunter un chemin différent.
Qu'est-ce qu'une FEC (Forwarding Equivalency Class) ?;Un label de 32 bits;Une classe regroupant les flux ayant les mêmes propriétés (destinataire, classe de service), associée à un chemin;Une table de routage;Un type de commutateur ATM;3;Une FEC regroupe les différents flux qui ont les mêmes propriétés (même destinataire, même classe de service), c'est la FEC qui est associée à un chemin, et la granularité de la demande détermine le nombre de FEC.
Le chemin MPLS est-il recalculé pendant la traversée du réseau ?;Non, il est fixé à l'entrée et n'est pas recalculé ensuite;Oui, à chaque LSR;Oui, mais seulement en cas de panne;Non, il est recalculé toutes les secondes;2;Le chemin est fixé au moment d'entrer sur le réseau MPLS et n'est pas recalculé pendant la traversée, ce qui procure un gain de temps important au passage de chaque nœud.
Quels protocoles la seconde méthode d'établissement des chemins MPLS utilise-t-elle pour réserver des ressources ?;RSVP modifié ou CR-LDP;ARP ou ICMP;DHCP ou DNS;TFTP ou FTP;2;La seconde méthode, qui tient compte de la QoS et attribue les références par l'aval, utilise les protocoles RSVP modifié ou CR-LDP pour réserver des ressources sur un chemin.
Qu'est-ce que GMPLS (Generalized MPLS) ?;Une extension où la notion de référence couvre longueurs d'onde, tranches de temps, numéros de fibre;Le nom du cœur de réseau des opérateurs;Un protocole de messagerie;Une version simplifiée de MPLS sans labels;2;GMPLS étend la notion de référence à tout ce qui peut servir de référence (numéro de longueur d'onde sur fibre optique, tranche de temps en multiplexage temporel, numéro de fibre), mais reste peu utilisé hors fibres optiques.
Par qui et pour quel usage ATM a-t-il été créé ?;Par Xerox, dans les années 1970, pour Ethernet;Par le CNET en France, au début des années 1980, pour les réseaux étendus;Par l'IEEE, pour le Wi-Fi;Par l'IETF, dans les années 1990, pour les réseaux locaux;3;ATM (Asynchronous Transfer Mode) a été créé au début des années 1980 en France par le CNET, à destination des réseaux étendus, c'est une norme adoptée en 1989 par l'UIT-T pour les réseaux longue distance.
Quel mode de fonctionnement ATM utilise-t-il ?;Le mode diffusion permanente;Le mode non connecté, comme Ethernet;Le mode connecté, avec commutation de cellules sur circuit virtuel point à point;Le mode half-duplex uniquement;4;ATM utilise la commutation de cellules en mode connecté (contrairement à Ethernet) : la station émettrice gère la connexion sur un circuit virtuel point à point et les commutateurs utilisent une commutation rapide matérielle.
Quelle est la taille d'une cellule ATM ?;64 octets;53 octets (5 octets d'en-tête, 48 octets d'information);128 octets;48 octets exactement;3;Une cellule ATM a une taille fixe de 53 octets : 5 octets d'en-tête et 48 octets d'information.
Sur quoi le routage s'appuie-t-il dans la couche ATM ?;Sur l'adresse MAC de destination;Sur le numéro de port TCP;Sur le conduit VP seul, ou sur le couple (VP, VC) codé dans l'en-tête;Sur l'adresse IP source;4;Le routage de la couche ATM s'appuie soit sur le conduit VP (Virtual Path) seul, soit sur le couple (VP, VC / Virtual Channel), dont les identifiants sont codés dans l'en-tête de la cellule.
Que fait la sous-couche SAR de la couche AAL d'ATM ?;Elle attribue les adresses IP;Elle chiffre les cellules;Elle découpe les messages en cellules (avec bourrage éventuel) et les reconstitue en sens inverse;Elle recalcule le champ HEC;4;La sous-couche de segmentation et réassemblage (SAR) découpe les messages en éléments adéquats, avec bourrage éventuel, pour constituer un train de cellules de 53 octets, et reconstitue les messages à partir des cellules en sens inverse.
Quels types d'AAL ATM conviennent aux applications temps réel ?;AAL 1 (débit fixe) et AAL 2 (débit variable);AAL 3/4 et AAL 5;Uniquement AAL 5;Aucun type d'AAL;2;Les AAL de type 1 et 2 sont destinées aux applications temps réel (son, vidéo), le débit étant fixe pour AAL 1 et variable pour AAL 2, tandis que AAL 3/4 et AAL 5 n'ont aucune exigence de temps réel.
À quoi servent les cellules OAM en ATM ?;À transporter les données utilisateur;À attribuer les circuits virtuels;À corriger les erreurs du champ d'information;À renseigner sur la qualité de service de la couche ATM;5;Les cellules de gestion administrative OAM (Operation And Maintenance) renseignent sur la qualité de service de la couche ATM, avec différents types de bouclage (de bout en bout, de type segment).
Que représente le paramètre CLR en ATM ?;Le taux de perte de cellules résultant d'erreurs non corrigées dans l'en-tête ou de débordement de files;Le taux de cellules erronées;Le débit-crête;Le taux d'insertion de cellules étrangères;2;Le CLR est le taux de perte de cellules résultant d'erreurs non corrigées dans l'en-tête ou de débordement de files d'attente, alors que le CMR mesure l'insertion de cellules étrangères et le CER le taux de cellules erronées.
Quelle classe de service ATM offre un débit garanti égal au PCR avec émulation du mode circuit ?;VBR (Variable Bit Rate);CBR (Constant Bit Rate);UBR (Unspecified Bit Rate);ABR (Available Bit Rate);3;La classe CBR (Constant Bit Rate) garantit un débit égal au PCR avec une variance du temps de transit nulle et réalise une émulation du mode circuit, tandis qu'UBR n'offre aucune garantie (best effort).
Quel algorithme ATM écarte les cellules non conformes à l'entrée ?;L'algorithme de Dijkstra;Le GCRA, normalisé par l'ITU-T sous la référence I.371;L'algorithme GCRA de l'IETF;L'algorithme de Bellman-Ford;3;L'algorithme GCRA, normalisé par l'ITU-T sous la référence I.371, permet d'écarter les cellules non conformes à l'entrée, à partir du couple (T, tolérance de gigue) déclaré par l'usager.
Que relie l'interface UNI en ATM ?;L'utilisateur au réseau opérateur;Un commutateur et un routeur IP;Deux commutateurs d'un même réseau;Deux réseaux opérateur entre eux;2;L'interface UNI (User Network Interface) relie l'utilisateur au réseau opérateur, tandis que l'interface ICI se trouve entre deux réseaux opérateur.
Par quelle formule l'intervalle inter-arrivées T se déduit-il du débit-crête PCR en ATM ?;T = PCR / 8;T = 424 / PCR;T = 48 x PCR;T = PCR / 53;3;L'intervalle inter-arrivées T se déduit du débit-crête négocié PCR (Peak Cell Rate) par la formule T = 424 / PCR.
À quoi sert le bit CLP de l'en-tête ATM ?;À corriger les erreurs de l'en-tête;À numéroter les cellules d'un message;À délimiter la fin d'un message;À indiquer la priorité de la cellule en cas de congestion;5;Le bit CLP (Cell Loss Priority) indique la priorité de la cellule : positionné à 0 par l'usager, il force l'entrée dans une file saturée en détruisant sélectivement une cellule ayant son bit CLP à 1.
Quelle est la valeur par défaut du CLR garanti dans le contrat de trafic ATM ?;10 puissance moins 10;10 puissance moins 3;1 pour cent;10 puissance moins 6;2;Le contrat de trafic ATM prévoit un taux de perte de cellules conformes maximal, le CLR, dont la valeur par défaut est de 10 puissance moins 10, garanti par le réseau même en cas de congestion.
Pour quelle classe de service ATM le contrôle de flux préventif par cellules RM est-il mis en place ?;VBR (Variable Bit Rate);ABR (Available Bit Rate);CBR (Constant Bit Rate);UBR (Unspecified Bit Rate);3;Le contrôle de flux préventif de la classe ABR utilise une cellule RM (Resource Management) émise par le DTE, qui reboucle de bout en bout et à laquelle le réseau répond par une valeur ER (Explicit Rate) telle que MCR inférieur à ER inférieur à PCR.
