"Quelles sont les trois grandes architectures de stockage en réseau ?","Le DAS (Direct Attached Storage), le NAS (Network Attached Storage) et le SAN (Storage Area Network)"
"Qu'est-ce que le DAS et quand reste-t-il privilégié ?","Un stockage en attachement direct (disque ou baie SCSI/SAS) auquel un seul serveur accède ; il est de moins en moins utilisé mais reste privilégié pour les sites déconcentrés et les serveurs de développement, en petite volumétrie"
"Qu'est-ce qu'un NAS ?","Un serveur dédié (parfois appelé Filer) spécialisé et optimisé pour le stockage, connecté au réseau local, qui met les données à disposition sous forme de répertoires partagés"
"Quel est l'inconvénient et l'avantage principal d'un NAS ?","Inconvénient : il partage la bande passante du réseau local, d'où de possibles dégradations des temps de réponse ; avantage : coût réduit, car seul le serveur NAS est à budgéter, le réseau Ethernet étant déjà présent"
"Qu'est-ce qu'un SAN ?","Un réseau dédié au stockage, s'appuyant sur le protocole Fibre Channel, FCoE (Fibre Channel over Ethernet) ou iSCSI"
"Quelles sont les trois topologies d'un SAN ?","Le mode point à point, le mode fabric (à base de commutateurs) et la boucle arbitrée (Arbitrated Loop)"
"Comment obtenir une architecture SAN redondante sans SPOF ?","En créant deux fabrics séparées et en installant deux cartes FC (HBA) sur les serveurs et les baies, ce qui permet le multi-pathing (plusieurs chemins d'accès aux données)"
"Qu'est-ce qu'une carte HBA ?","Un Host Bus Adapter : la carte spécifique dont chaque serveur doit être équipé pour se connecter au réseau de stockage SAN ; on en installe deux pour pouvoir basculer en cas de panne"
"À quoi servent les ISL dans un SAN ?","Les Inter Switch Link relient entre eux les commutateurs (switches) pour constituer le cœur de réseau des fabrics"
"Qu'apporte le protocole iSCSI dans un SAN ?","Il encapsule des commandes SCSI dans des paquets IP, ce qui permet un stockage de moyenne volumétrie à prix réduit en s'appuyant sur le réseau existant, mais peu performant"
"Que permet le protocole FCoE ?","Faire transiter des trames Fibre Channel sur un support Ethernet par encapsulation ; il fait cohabiter LAN et SAN sur les mêmes cartes, mais impose des cartes et switches spécifiques"
"Que fournit le RAID 0 et quel est son défaut ?","Le stripping de bandes sans copie : il accélère les lectures/écritures simultanées mais n'offre aucune sécurité"
"Que fournit le RAID 1 ?","Le mirroring : une protection par duplication des données sur des disques distincts, au prix d'une réduction de la capacité de stockage"
"Comment fonctionne le RAID 5 et combien de disques exige-t-il ?","Du stripping de bandes avec une parité répartie sur chaque disque ; il nécessite au moins trois disques et offre un très bon niveau de sécurité"
"Quelle est la différence entre RAID 5 logiciel et matériel ?","Le RAID logiciel est moins onéreux avec des performances acceptables ; le RAID matériel offre les meilleurs débits car une carte physique dédiée décharge totalement le processeur de la gestion des entrées/sorties et de la parité"
"Qu'est-ce qu'un disque de spare et la fonction hot-plug ?","Un disque de spare reprend automatiquement la place d'un disque tombé en panne ; le hot-plug permet l'ajout et le changement de disque à chaud"
"Quelle est la différence entre disques SATA et SAS pour le stockage ?","Les SATA ont une haute capacité (jusqu'à 2 To) mais une vitesse basse (7500 tr/min), adaptés au test et au développement ; les SAS ont une capacité moindre (500-600 Go) mais tournent à 15 000 tr/min, adaptés à la production et aux bases de données"
"Qu'est-ce que la dé-duplication de stockage ?","Une technique où, au lieu de conserver plusieurs copies d'un même bloc, on n'écrit qu'un seul bloc partagé par un système de pointeurs ; les blocs redondants sont éliminés"
"Qu'est-ce que le thin provisioning (surbooking) ?","Une méthode qui met à disposition seulement l'espace réellement occupé tout en promettant la volumétrie initialement prévue"
"Que sont les snapshots et les clones sur une baie de stockage ?","Les snapshots sont des copies instantanées, totales ou incrémentales, servant aux sauvegardes ; les clones sont des copies identiques d'un volume, d'un LUN ou d'une machine virtuelle"
"Qu'est-ce que le HSM (Hierarchical Storage Management) ?","Une fonction de stockage hiérarchisé qui migre les données peu sollicitées vers des supports de longue durée, de type VTL (Virtual Tape Library)"
"À quoi sert le protocole NDMP ?","Network Data Management Protocol : un protocole réseau qui réduit le trafic et améliore l'utilisation des fenêtres de sauvegarde ; c'est une bonne solution pour sauvegarder les NAS en répartissant les délais dans le temps"
"Quels protocoles de partage de fichiers sont associés à chaque monde ?","SMB/CIFS pour Windows (Server Message Block / Common Internet File System), NFS pour Unix/Linux (Network File System), NCP pour Novell (Network Core Protocol)"
"Quelle norme définit le protocole Fibre Channel ?","La norme ANSI X3T11, avec la fibre optique comme média habituel"
"Comment sont regroupées les couches FC_0, FC_1 et FC_2 de Fibre Channel ?","Dans une couche physique commune appelée FC_PH : FC_0 assure l'adaptation au médium, FC_1 l'encodage/décodage 8b/10b, FC_2 (cœur du protocole) le découpage, le réassemblage et le contrôle de l'ordre des trames"
"Quel est le rôle des couches FC_3 et FC_4 de Fibre Channel ?","FC_3 offre des services comme le multicast et le stripping (plusieurs liens en parallèle pour multiplier la bande passante) ; FC_4 sert d'interface pour les applications encapsulées (SCSI, IP, AAL5, IPI via les ULP)"
"Pourquoi la puissance d'un groupe électrogène de secours peut-elle chuter de 40 % ?","À cause de la pollution harmonique générée par les alimentations des matériels ; d'où l'obligation que tous les matériels respectent la norme PFC (Power Factor Correction)"
"Que fixe la norme ANSI/TIA 942 pour les centres de données ?","Des règles réparties en quatre niveaux (tiers) de disponibilité"
"Pourquoi vérifier régulièrement l'état des sauvegardes de secours ?","Parce qu'un virus peut affecter le site principal en même temps que le site de secours ; le Plan de Continuité d'Activités (PCA) n'élimine pas toutes les menaces mais fournit des solutions de secours en cas de sinistre"
