"Quelles options de ps retenir selon le type de système ?","ps -aux sur les systèmes de type BSD, ps -edf sur les systèmes de type AT&T (System V) ; la difficulté d'usage de ps tient à ces options différentes."
"Que fait l'option ps -e et ps -l ?","ps -e affiche tous les processus de la machine ; ps -l donne un affichage sous forme longue (colonnes F, S, UID, PID, PPID, PRI, NI, SZ, WCHAN...)."
"Comment voir l'arborescence des processus avec ps sous Linux ?","Avec les options ps axf (ou -axf), qui affichent les processus sous forme d'arbre avec des branches \\_ , un peu comme pstree."
"Quel est l'inconvénient fondamental de ps ?","ps ne donne que la liste des processus à un instant t ; on ne peut jamais avoir la liste exacte des processus en cours, car certains peuvent disparaître entre la collecte et l'affichage. La commande top améliore cela (mais n'est pas standard partout)."
"À quoi sert la commande sar ?","Présente nativement sous Linux/Unix, elle collecte des données sur les activités système : sar -u pourcentage d'utilisation des CPU (option par défaut), sar -q nombre de processus en attente, sar -r utilisation de la mémoire centrale et du swap."
"Que permet la commande kill ?","Envoyer n'importe quel signal à n'importe quel processus appartenant au même propriétaire (via l'appel système kill) ; kill -l affiche la liste des signaux du système."
"Que font kill -9 et kill -1 ?","kill -9 (SIGKILL) provoque la destruction brutale du processus, à utiliser en connaissance de cause. kill -1 (SIGHUP, reload) force la relecture des éléments de configuration d'un processus."
"Que permet htop par rapport à top ?","htop permet de changer la priorité d'un processus (F7/F8), de tuer un processus en choisissant le signal (F9), de trier les processus (F6), d'afficher un arbre des processus (F5), de rechercher un processus (F3), et affiche l'utilisation mémoire et CPU par cœur, l'uptime et la charge."
"À quoi sert la commande at ?","À lancer un processus de façon différée : at parametre_temporel commande, Ctrl-D pour sortir de la zone de commande ; at -l liste les processus en attente d'exécution."
"Quels sont les six champs d'une ligne de crontab ?","Minute (0-59), heure (0-23), jour du mois (1-31), mois (1-12 ou nom), jour de la semaine (0-6, 0 = dimanche, ou nom), puis la commande telle qu'elle serait saisie sous shell. crontab -e pour éditer, crontab -l pour lister."
"Comment ignorer toute la sortie d'une tâche cron ?","En ajoutant > /dev/null 2>&1 à la fin de la ligne : toute la sortie (standard et erreur) est routée vers /dev/null et ignorée efficacement. Il est conseillé de placer les tâches de maintenance sur une plage nocturne."
"Comment crée-t-on une archive tar compressée avec gzip ?","Avec l'option z : tar czf /mnt/backup/home-backup.tar.gz /home/ ; sans z, tar cf crée une archive non compressée dont la taille est presque celle des données. Options : c (créer), v (verbeux), f (fichier), x (extraire), t (lister la table de contenu)."
"Quels sont les problèmes classiques de tar pour la sauvegarde système ?","tar ne sait pas sauvegarder correctement les numéros majeur et mineur des fichiers de /dev (préférer recréer les devices avec /dev/MAKEDEV), et par défaut il ne gère pas les fichiers à trous (les blocs non alloués sont sauvés comme des caractères ASCII zéro). Contrairement à dump, il permet de sauvegarder une partie seulement d'une partition."
"Comment réaliser une sauvegarde incrémentale avec tar ?","En créant un fichier repère avec touch (date antidatée : touch -t 11111111 .comparateur), puis find ~ -newer .comparateur | tar -c -T - -f incrementale.tar : find compare les dates et n'envoie à tar que ce qui a été modifié après le repère."
"Comment dupliquer une arborescence avec tar via un tube ?","( cd /usr/local ; tar cf - . ) | ( cd /mnt ; tar xf - ) : la première partie archive vers la sortie standard, la seconde extrait depuis l'entrée standard dans le répertoire cible."
"Comment utilise-t-on cpio pour sauvegarder un répertoire ?","En lui fournissant la liste des fichiers sur son entrée standard, généralement via find : find /home/ | cpio -o > /mnt/backup/home-backup.cpio ; cpio travaille en mode caractères, gère le multi-volumes et s'utilise avec les opérateurs de redirection (stdin, stdout, stderr)."
"À quoi sert la commande dd et un exemple courant ?","dd transfère des données brutes, utile entre systèmes différents et pour évaluer des problèmes de performances disque (I/O) ; exemple : dd if=/dev/rfd0 of=/u/bob conv=ascii pour convertir de l'EBCDIC en ASCII."
"Que fait la commande mt ?","Ce n'est pas une commande de sauvegarde : elle manipule les bandes magnétiques (avancer, reculer, rembobiner, écrire des marques de fin de fichier) ; mt -f /dev/rmt/0 affiche le statut, mt -f /dev/rmt/0n fsf 1 avance d'un fichier."
"Que signifient les options -rltgoDv de rsync ?","-r récursif, -l copie les liens symboliques comme tels, -t préserve les dates, -g préserve le groupe, -o préserve le propriétaire, -D préserve les périphériques, -v mode loquace ; --del supprime sur la destination les fichiers absents de la source."
