"Quelles sont les principales nouvelles fonctionnalités d'IPv6 ?","Un espace d'adressage beaucoup plus important, un plan d'adressage hiérarchique basé sur les préfixes plutôt que sur les classes (routage plus efficace, tables de routage de taille limitée), des classes de service différenciées pour la QoS, l'authentification et le chiffrement, une auto-configuration des interfaces réseau, et la compatibilité avec les réseaux IPv4."
"Quels termes les RFC d'IPv6 emploient-elles à la place de « datagram » et de « système » ?","Le terme « packet » plutôt que « datagram », et le terme « node » (nœud) pour désigner les systèmes qui implémentent IPv6, qu'il s'agisse de stations ou de routeurs."
"Comment se représente une adresse IPv6 et comment l'abréger ?","On décompose les 128 bits en 8 groupes de 16 bits écrits en hexadécimal et séparés par le caractère deux-points « : ». Une suite de groupes nuls « :0000: » peut être remplacée par « :: », mais une seule fois par adresse."
"Quelle est la différence entre une adresse IPv6 unicast, multicast et anycast ?","Une adresse unicast identifie une unique interface (le paquet est transmis à cette seule interface). Une adresse multicast désigne un groupe d'interfaces (le paquet est transmis à toutes). Une adresse anycast est allouée à des interfaces sur plusieurs nœuds, et le paquet n'est transmis qu'à l'interface la plus proche (distance déterminée par les routeurs)."
"Que sont les adresses IPv6 :: et ::1 ?","::1 est l'adresse de loopback, équivalente à 127.0.0.1 en IPv4. :: est l'adresse non spécifiée, utilisée comme adresse source quand un nœud s'auto-configure."
"Que représentent les préfixes FC00::/7 et FE80::/64 en IPv6 ?","FC00::/7 est le préfixe des adresses de site local (adresses locales uniques, ULA), équivalentes aux adresses non-routables sur Internet d'IPv4. FE80::/64 est le préfixe des adresses de lien local, utilisables sur le même réseau sans routeur intermédiaire."
"À quoi servent les adresses IPv6 compatibles IPv4 et mappées IPv4 ?","L'adresse compatible IPv4 (::<adresse IPv4>) est utilisée quand un trafic IPv6 doit être transporté dans un tunnel à travers un réseau IPv4 existant. L'adresse mappée IPv4 (::FFFF:<adresse IPv4>) est utilisée quand un nœud IPv6 doit communiquer avec un hôte implémentant seulement IPv4."
"Quelles sont les trois parties d'une adresse IPv6 unicast globale et leur taille ?","Le Global Prefix sur 48 bits (« 001 » suivi de 45 bits), structuré hiérarchiquement par les RIR et les ISP ; le Subnet ID (SID) sur 16 bits, qui permet à l'administrateur du site de structurer l'espace alloué ; l'Interface ID sur 64 bits, identifiant unique d'une interface sur un sous-réseau, dérivé de l'adresse MAC."
"Comment la diffusion est-elle réalisée en IPv6 ?","Il n'y a pas d'adresse de diffusion (broadcast) en IPv6 : la diffusion se fait grâce aux adresses multicast. Groupes prédéfinis : FF02::1 (tous les nœuds du lien), FF02::2 (tous les routeurs du lien), FF02::1:FFXX:XXXX (adresse « multicast sollicité », où XX:XXXX représente les 24 derniers bits de l'adresse unicast de l'interface, utilisée par le protocole de découverte des voisins)."
"Quelle est la taille de l'en-tête IPv6 et comment se répartit-elle ?","L'en-tête IPv6 fait 40 octets (contre 20 pour IPv4), mais il est simplifié : 32 octets servent aux adresses source et destination (2 x 128 bits) et seulement 8 octets aux autres informations de contrôle."
"Que contiennent les champs Version et Nombre de sauts de l'en-tête IPv6 ?","Le champ Version (4 bits) vaut 6 (0110 en binaire). Le champ Nombre de sauts (8 bits) correspond au TTL (Time To Live) d'IPv4."
"Qu'est-ce que l'identificateur de flux de l'en-tête IPv6 et est-il beaucoup utilisé ?","Un « flow » est une série de paquets d'une source vers une destination nécessitant un traitement particulier des routeurs traversés (par exemple un service temps réel) ; tous les paquets du même flux ont les mêmes adresses source et destination et la même étiquette de flux, ce qui permet au routeur de choisir la route sans examiner le reste de l'en-tête. En pratique, ce champ est très peu utilisé : les opérateurs utilisent MPLS."
"Que contient le champ « Longueur des données » de l'en-tête IPv6, par rapport à IPv4 ?","Il ne contient que la taille des données utiles, contrairement à IPv4 qui prenait aussi en compte la longueur de l'en-tête."
"Quels champs d'IPv4 ont été supprimés dans l'en-tête IPv6 et pourquoi ?","Les champs « identification », « fragmentation flags » et « fragment offset » sont supprimés (la fragmentation utilise désormais une extension), ainsi que le « header checksum » (IPv6 n'intègre plus de contrôle d'erreur, mais propose un en-tête d'authentification optionnel pour l'intégrité)."
"Comment IPv6 gère-t-il la fragmentation ?","IPv6 ne fragmente pas les paquets en cours de route, mais seulement à la source (Path MTU) : si un routeur reçoit un datagramme trop long, il renvoie un message ICMP à la source en lui indiquant la MTU admise, et la source refragmente."
"Comment les extensions IPv6 sont-elles organisées ?","Elles sont placées juste après l'en-tête et sont « chaînées » : le premier champ de chaque extension contient un champ « en-tête suivant » de 8 bits qui identifie le type de la prochaine extension ; elles suivent un ordre précis. Si le champ « en-tête suivant » ne correspond pas à une extension, c'est la dernière et il contient alors la valeur du protocole des données transportées (TCP ou UDP)."
"Quelles extensions IPv6 les routeurs intermédiaires traitent-ils ?","Excepté l'extension « hop by hop », les extensions ne sont pas traitées par les routeurs intermédiaires. Dans la plupart des cas, un datagramme IPv6 a un en-tête qui n'est pas suivi d'extensions."
"Quelles tâches ICMPv6 assure-t-il en plus de celles d'ICMPv4 ?","ICMPv6 remplace IGMP (Internet Group Management Protocol) pour le transport des informations de gestion des groupes multicast, et il reprend les fonctions d'ARP pour la résolution d'adresse. Son numéro de protocole est 58."
"Comment s'interprètent les champs type et code d'un message ICMPv6 ?","Le champ type décrit la nature du message : les valeurs inférieures à 127 sont réservées aux messages d'erreur, les autres aux messages d'information. Le champ code indique la cause du message. Un message d'erreur contient une partie seulement des données du datagramme fautif (pour éviter les problèmes de fragmentation)."
"Que signifient les types ICMPv6 1, 2 et 3 ?","Type 1 « destination inaccessible » (code 0 : pas de route, code 1 : pare-feu interdit le transit, code 2 : destination inatteignable avec l'adresse source fournie). Type 2 « datagramme trop grand » (découverte de la MTU, contient la MTU acceptée par le routeur). Type 3 « temps dépassé » (code 0 : nombre de sauts atteint, code 1 : perte d'un fragment et temps de réassemblage dépassé)."
"Pourquoi les messages ICMPv6 « datagramme trop grand » ne doivent-ils jamais être filtrés ?","Sans recevoir ce type de message, un émetteur ne peut pas adapter (fragmenter) la taille des datagrammes et risque d'envoyer sur le réseau des datagrammes trop grands sans s'en apercevoir : ils seront détruits, et le problème sera très difficile à diagnostiquer car certains flux passeront et d'autres non."
"Qu'apporte le protocole de découverte de voisins (Neighbour Discovery) ?","La résolution d'adresse et la redirection (déjà présentes en IPv4), ainsi que des fonctionnalités nouvelles : la découverte de préfixe et la détection de voisin inatteignable. Les nœuds ont un cache de voisinage (NDP Cache), équivalent du cache ARP, contenant des correspondances adresse physique / adresse IP avec une durée de vie."
"Comment se fait la résolution d'adresse en IPv6 ?","Par deux messages ICMPv6 : la « sollicitation de voisins » (Neighbor Solicitation, NS), requête contenant l'adresse IPv6 de la cible et envoyée à l'adresse de multicast sollicité associée (et non en broadcast comme ARP en IPv4) ; et l'« annonce de voisin » (Neighbor Advertisement, NA), réponse contenant l'adresse physique recherchée."
"Comment un nœud IPv6 découvre-t-il le préfixe de son lien et le routeur de sortie ?","Les routeurs envoient périodiquement des messages ICMPv6 « annonce de routeur » (router advertisement). Un nœud qui ne veut pas attendre la prochaine annonce envoie une « sollicitation de routeur » (router solicitation) à l'adresse multicast FF02::2 (tous les routeurs du lien), et les routeurs lui répondent par une annonce de routeur."
"Qu'est-ce que la redirection ICMPv6 ?","Quand plusieurs routeurs existent, le routeur par défaut sélectionné n'est pas toujours le plus adapté : le routeur utilisé transmet quand même le paquet, mais envoie aussi à l'expéditeur un message ICMPv6 « redirect » indiquant l'adresse IP d'un routeur plus approprié (et en option son adresse MAC, pour éviter une résolution d'adresse)."
"Quelles sont les trois étapes de l'auto-configuration d'adresse IPv6 ?","La création d'une adresse de lien local (préfixe FE80::/64 + identifiant d'interface), la vérification de son unicité sur le lien, et la détermination de l'adresse unicast globale."
"En quoi consiste la détection d'adresse dupliquée en IPv6 ?","Tant que son unicité n'est pas confirmée, une adresse est dite « provisoire ». Le nœud envoie un message « sollicitation d'un voisin » indiquant l'adresse provisoire : si une « annonce d'un voisin » est reçue, l'adresse est déjà utilisée ; si une « sollicitation d'un voisin » est reçue, une autre machine l'utilise aussi comme adresse provisoire (aucune ne peut la garder) ; si rien n'est reçu au bout d'une seconde, l'adresse est unique et passe de « provisoire » à « valide »."
