"Quelle est la différence entre un programme et un processus ?","Un programme est un objet statique (une suite d'instructions dans un fichier) ; un processus est un objet dynamique (un programme en cours d'exécution et son contexte)."
"Qu'est-ce que le changement de contexte (context switching) ?","L'opération consistant à sauvegarder le contexte du processus courant puis à rétablir celui du processus suivant, pour qu'il reprenne son exécution là où il a été interrompu ; il est essentiellement assuré par les couches matérielles pour être très rapide."
"Quand un changement de contexte survient-il ?","Après chaque quantum de temps, chaque fois que le noyau prend la main, et chaque fois qu'un processus est dessaisi du processeur avant la fin de son quantum (attente d'une entrée-sortie par exemple)."
"Qu'est-ce que l'ordonnancement des processus ?","L'ordre dans lequel le système d'exploitation attribue le processeur aux processus pour un quantum de temps ; la politique reflète l'usage de la machine (calcul intensif = grands quantums, tâches interactives = petits quantums)."
"Cite les cinq critères historiques d'une politique d'ordonnancement.","Efficacité (ne jamais laisser le processeur inoccupé), rendement (maximum de programmes en un temps donné), temps d'exécution (chaque programme le plus vite possible), interactivité (faible temps de réponse), équité (autant de quantums pour chacun)."
"Comment un système monoprocesseur simule-t-il le parallélisme des processus ?","Par pseudo-parallélisme : l'ordonnanceur (scheduler) bascule très rapidement d'un processus à un autre ; à un instant donné, un seul processus a réellement accès au processeur."
"Qu'est-ce que la réentrance d'un programme ?","Le fait que plusieurs processus exécutent simultanément la même copie d'un même programme."
"Quelles sont les trois notions structurelles de la gestion des processus sous Unix/Linux ?","L'espace mémoire d'un processus, la table des processus et la liste des états d'un processus."
"Comment s'établit la hiérarchie des processus sous Unix/Linux ?","Tout processus est créé par un autre : le processus père crée le processus fils ; chaque fils n'a qu'un seul père, mais un père peut avoir plusieurs fils, d'où une arborescence dont init (PID 1) est l'ancêtre."
"Quels deux types de processus init crée-t-il ?","Des processus interactifs associés à un terminal particulier, et des processus non interactifs (daemons) rattachés à aucun terminal."
"Que fait l'appel système fork() ?","Il duplique (clone) le processus appelant : allocation d'une entrée dans la table des processus, duplication de la zone u, copy-on-write ; l'exécution continue dans les deux processus après l'appel."
"Que retourne fork() dans le père, dans le fils, et en cas d'échec ?","Dans le père : le PID du fils créé. Dans le fils : 0. En cas d'échec (manque de mémoire ou trop de processus) : -1, et aucun fils n'est créé."
"Que fait l'appel système exec() ?","Il recouvre le processus par un autre exécutable : on libère tout sauf l'entrée dans la table des processus et la zone u, puis on alloue les zones texte, données, pile et tas pour le programme chargé ; le PID est conservé."
"À quoi servent les appels wait() et exit() ?","wait() : attente de la terminaison d'un fils, récupération de son code de sortie et disparition définitive du fils. exit(n) : termine le processus appelant (qui passe en état zombie, seule l'entrée dans la table subsiste) et retourne un code de sortie n récupérable par le père."
"Pourquoi les threads sont-ils apparus par rapport à fork() ?","fork() duplique toutes les structures mémoire, ce qui est coûteux ; un thread (lightweight process) n'est constitué que d'un compteur ordinal, d'une pile et d'un jeu de registres, tout le reste étant partagé avec le processus (création ~60 % plus rapide)."
"Cite des avantages et des risques des threads.","Avantages : création rapide, applications concurrentes transparentes sur machines mono ou multiprocesseurs, applications non bloquantes (E/S), meilleur temps de réponse (ex. Apache 2.x). Risques : race conditions, non-réentrance (variables statiques ou globales à bannir), deadlocks ; le code doit être thread safe."
"Cite les trois catégories courantes de processus Unix/Linux.","Interactifs (associés à un terminal, avant-plan ou arrière-plan), en lots / batch (non associés à un terminal, file d'attente exécutée en séquence), daemons ou processus serveurs (tournent en permanence, démarrés par les scripts d'initialisation, ex. crond, syslogd)."
"Que sont les attributs PID et PPID d'un processus ?","PID : nombre identifiant le processus, attribué par fork et conservé par exec. PPID : identité du processus père (créateur)."
"Que représentent UID, EUID et SUID d'un processus ?","UID : identifiant réel du propriétaire (celui du processus père). EUID : identifiant effectif. SUID : identifiant sauvegardé."
"Différence entre exécution en mode synchrone et asynchrone d'un processus fils ?","Synchrone (avant-plan / foreground) : le père attend la fin du fils, exécution en séquence. Asynchrone (arrière-plan / background, avec &) : le père n'attend pas, exécution en parallèle. Par défaut le shell exécute en mode synchrone."
"À quoi correspondent les descripteurs de fichiers 0, 1 et 2 ?","0 : l'entrée standard (clavier par défaut). 1 : la sortie standard (écran par défaut). 2 : la sortie d'erreur (écran par défaut)."
"Que font les redirections >, >> et < ?","commande > fichier : redirige la sortie standard vers un fichier (écrase). commande >> fichier : ajoute à la fin du fichier. commande < fichier : spécifie un fichier comme entrée standard."
"Que fait la redirection 2>&1 et l'expression > /dev/null 2>&1 ?","2>&1 : redirige la sortie d'erreur vers la même destination que la sortie standard. > /dev/null 2>&1 : dirige toute la sortie (standard et erreur) vers /dev/null, en l'ignorant efficacement (fréquent dans la crontab)."
"Quelles options de ps utilise-t-on selon le système ?","ps -aux sur les systèmes de type BSD, ps -edf sur les systèmes de type AT&T (System V)."
"Quel rôle jouent les signaux au niveau des processus ?","Le même rôle que les exceptions et les interruptions au niveau du processeur : un signal avertit un processus d'un événement synchrone (propre au programme) ou asynchrone (extérieur) ; correspondances numéro/nom dans /usr/include/signal.h."
"Que font les signaux SIGHUP, SIGINT, SIGKILL, SIGTERM et SIGSEGV ?","SIGHUP : rupture de ligne, aujourd'hui demande aux démons de relire leur configuration. SIGINT : interruption (Ctrl-C). SIGKILL : tue le processus. SIGTERM : demande de terminaison propre. SIGSEGV : violation de segment (souvent un pointeur nul)."
"À quoi sert la commande kill ?","À envoyer n'importe quel signal à n'importe quel processus du même propriétaire (via l'appel système kill) ; kill -l affiche la liste des signaux du système."
"À quoi servent les commandes at et crontab ?","at lance une commande de façon différée à une date donnée (at -l liste les travaux en attente). crontab lance des commandes à intervalles réguliers ou à certaines dates (crontab -e pour éditer, -l pour lister) ; cron reconnaît $USER, $HOME et $SHELL et peut envoyer un courrier à l'administrateur."
