Qu'est-ce qu'un terminal sous Unix ?;Une fenêtre exécutant un shell qui affiche un prompt;Une carte réseau;Un serveur de fichiers;Un pilote de périphérique;2;Un terminal ou émulateur de terminal est une fenêtre dans laquelle s'exécute un shell affichant un prompt : c'est la base de ce type de système.
Quelle variable d'environnement indique le type de terminal utilisé ?;PATH;SHELL;HOME;TERM;5;On connaît le terminal utilisé en affichant la valeur de la variable d'environnement TERM.
Pourquoi Telnet est-il considéré comme dangereux ?;Il consomme trop de mémoire;Le login et le mot de passe circulent en clair sur le réseau;Il est trop lent;Il n'existe que sous Windows;3;Via Telnet, toutes les informations, dont le couple login et mot de passe, circulent en clair sur le réseau, d'où une faille de sécurité importante.
Que faut-il préférer à Telnet pour l'administration distante ?;SSH;SMTP;RARP;ICMP;2;On préfère SSH, qui chiffre les données dans un tunnel pour la connexion et la prise en main à distance.
Comment s'appelle le super-utilisateur d'un système Unix ?;root;admin;superuser;sudo;2;Le super-utilisateur, qui a tous les droits sur le système, est appelé root, et on limite volontairement leur nombre.
Comment un processus accède-t-il à un périphérique matériel sous Unix ?;Par l'intermédiaire d'un fichier spécial;Directement via le BIOS;Par une requête réseau;En modifiant le noyau;2;Aucun processus n'accède directement au matériel : on passe par un fichier spécial du périphérique, vu comme un fichier classique.
Que désigne le mot « mémoire » dans le vocabulaire Unix/Linux ?;Le disque dur;La mémoire volatile (RAM);La partition de swap;La mémoire cache du processeur;3;Par convention dans le cours, le mot mémoire sous-entend la mémoire volatile, c'est-à-dire la RAM.
Dans un multitâche préemptif, qui décide qu'un processus a eu assez de temps CPU ?;Le système d'exploitation;Le BIOS;Le processus lui-même;L'utilisateur;2;En multitâche préemptif c'est l'OS qui détermine quand un processus a eu assez de temps CPU, en non préemptif, c'est le processus.
Quelles sont les deux composantes principales du noyau ?;Le BIOS et le bootloader;Le gestionnaire de processus et le système de gestion de fichiers;Le shell et l'éditeur;Telnet et SSH;3;Le noyau comprend le gestionnaire de processus (scheduler) et le système de gestion de fichiers, qui gère notamment les droits d'accès.
Quel est le rôle premier du shell ?;Compiler les programmes;Router les paquets;Interpréter les commandes avant de les transmettre au noyau;Gérer la mémoire virtuelle;4;Le shell est l'interpréteur de commandes : il interprète les commandes de l'utilisateur avant leur transmission au noyau.
Quel shell est le shell standard GNU, sur-ensemble du Bourne Shell ?;csh;tcsh;bash;ksh;4;bash (Bourne Again Shell) est le shell standard GNU, sur-ensemble du Bourne Shell et compatible avec sh.
Que contient le fichier /etc/shells ?;Les variables d'environnement;Les groupes d'utilisateurs;La liste des shells connus du système;Les mots de passe des utilisateurs;4;Le fichier /etc/shells donne un aperçu des shells connus du système, par exemple /bin/bash, /bin/sh ou /bin/tcsh.
Quel est le seul éditeur de texte standard sous Unix/Linux ?;vi;nedit;nano;emacs;2;vi (Visual interface) est le seul éditeur de texte standard sous Unix/Linux : il fonctionne sur tout terminal texte et tout Unix.
Quels sont les deux modes de fonctionnement de vi ?;Lecture et écriture;Mode local et mode distant;Mode commande et mode insertion;Mode texte et mode binaire;4;vi possède un mode commande (édition) et un mode insertion (saisie du texte), on bascule avec la touche ESC.
Où sont le plus souvent situés les fichiers de configuration sous Unix ?;/home;/bin;/var;/etc;5;Les fichiers de configuration sont le plus souvent localisés dans le répertoire /etc, par exemple /etc/hosts ou /etc/group.
Sur quels utilitaires puissants s'appuie souvent le scripting shell ?;telnet, ftp et ssh;ping, traceroute et netstat;grep, sed et awk;man, info et locate;4;Le scripting s'appuie notamment sur grep, sed et awk, ainsi que sur find et les commandes de tri, souvent enchaînés dans des tubes.
Comment est organisée la documentation affichée par la commande man ?;En une page unique;En 5 chapitres;En 2 volumes et 3 sections;En 3 volumes et 4 sections par page;5;La documentation man est répartie en 3 volumes (utilisation, administration, programmeur) avec 4 sections par page : nom, synopsis, description, voir aussi.
Quel démon assure l'exécution périodique de programmes et de scripts sous Unix ?;init;syslogd;cron;inetd;4;cron est le démon qui permet l'exécution périodique de programmes et de scripts, la table des tâches planifiées est la crontab.
