"Quand est sorti Windows Server 2008 et quelle est sa version R2 ?","Windows Server 2008 : février 2008. Windows Server 2008 R2 : octobre 2009 ; c'est le premier Windows disponible uniquement en 64 bits."
"Quelle est la première version de Windows pour serveur ?","Windows NT (la première version de Windows, en 1985, était pour poste de travail) ; puis Windows NT 3.1 en juin 1993."
"Cite les cinq éditions principales de Windows Server 2008.","Standard, Enterprise, Datacenter, Web et Itanium (Itanium uniquement en 64 bits ; les quatre autres en 32 et 64 bits)."
"Quelles sont les limites de l'édition Standard ?","4 processeurs physiques, 32 Go de RAM, 1 machine virtuelle plus l'hôte."
"Qu'apporte l'édition Enterprise par rapport à Standard ?","8 processeurs, 2 To de RAM, 4 machines virtuelles, ajout de mémoire à chaud, DFS-R, ADFS, AD Certificate Services, Failover Clustering."
"Quelles sont les capacités de l'édition Datacenter ?","64 processeurs physiques, 2 To de RAM, droits de virtualisation illimités, ajout/remplacement à chaud de mémoire et de processeurs, Failover Clustering."
"À quoi se limite l'édition Web de Windows Server 2008 ?","Aux rôles Web (IIS) et DNS uniquement ; 4 processeurs, 32 Go de RAM."
"Quelles sont les limites de l'édition Foundation ?","1 processeur physique 64 bits, 15 utilisateurs maximum, 8 Go de RAM ; vendue uniquement préinstallée."
"Qu'est-ce que l'installation Server Core ?","Une installation minimale : même noyau que l'installation complète, mais utilisable uniquement en ligne de commande (pas d'interface graphique, ni navigateur, ni panneau de configuration) ; environ 2 Go de disque, 512 Mo de RAM."
"Sur quels trois fondamentaux s'appuie l'architecture de Windows Server 2008 ?","La sécurité, la virtualisation et le Web ; son noyau résulte d'une fusion du noyau de Windows Vista avec le nouveau code."
"Quelles sont les deux couches principales de l'architecture de Windows Server 2008 ?","Le mode utilisateur (sous-systèmes, applications, priorité basse, pas d'accès direct aux ressources) et le mode noyau (accès direct aux données système et au matériel, zone mémoire protégée)."
"Que regroupe le mode exécutif (Executive) ?","Les composants qui s'exécutent en mode noyau, prioritaires sur le processeur : gestion de la mémoire, ordonnancement des processus, communication avec les périphériques."
