"Comment la norme ISO 9004-5 définit-elle un projet informatique ?","Un ensemble d'activités coordonnées et dirigées, entreprises dans le but de fournir, à des dates de début et/ou de fin d'achèvement définies, un produit unique répondant à des exigences spécifiées ; il a recours à des moyens humains et non humains mis en commun dans le cadre d'une organisation temporaire pour atteindre les objectifs fixés."
"Quelles sont les caractéristiques invariables d'un projet ?","Il comprend des tâches liées entre elles dont l'interaction peut être complexe, il est unique et non répétitif, il a des objectifs spécifiques, et sa planification et ses coûts sont définis. On y ajoute : une limitation dans le temps, un avenir incertain (part de risque) et une organisation humaine spécifique et temporaire."
"Que signifie « réussir un projet informatique » ?","Obtenir un produit qui répond aux besoins de l'utilisateur final, à tous ses besoins exprimés mais seulement ses besoins, tout en respectant les contraintes prédéfinies de coût, de délai et de qualité."
"Quels types d'aléas pèsent sur un projet pendant toute sa durée ?","Des aléas fonctionnels (évolution réglementaire ou changement imprévu des règles de gestion), des aléas techniques (mauvaise maîtrise des techniques, non-disponibilité des matériels et outils) et des aléas organisationnels (indisponibilité des personnes nécessaires, retard dans la fourniture d'outils)."
"Quelles sont les principales causes de dysfonctionnement d'un projet ?","Une mauvaise prévision des tâches, une mauvaise estimation des conséquences du changement induit par le nouveau système, une mauvaise organisation (partage des rôles, profils et compétences, participation des acteurs), une mauvaise communication (contexte et objectifs mal connus, validations implicites), et des engagements contractuels mal définis entre maîtrise d'ouvrage et maîtrise d'œuvre."
"Quels sont les quatre éléments constitutifs d'une démarche de construction logicielle ?","Les buts (« que veut-on obtenir ? »), le processus et cycle de vie (« dans quel ordre procède-t-on ? »), les méthodes (« comment procède-t-on ? ») et le formalisme et les outils (« par quels moyens procède-t-on ? »)."
"Quelles sont les trois idées centrales qui régissent le choix de la démarche (processus) ?","Être en mesure de prévoir et de planifier les tâches sur toute la durée de vie du projet (maîtrise de la charge, des coûts et des délais) ; optimiser les interactions entre toutes les tâches interdépendantes (besoins, conception, fabrication, validation) ; pouvoir réagir efficacement quand les buts évoluent sous l'impact d'événements extérieurs."
"À quoi servent les modèles dans une méthode de projet ?","À représenter sous une forme simplifiée mais juste le système réel afin de mieux le comprendre et le concevoir. En dehors de la documentation littéraire, ils sont les principaux livrables aux différents stades du projet : ce sont les points de contrôle et de validation des travaux, dans le but de minimiser les risques de dérapage."
"Qu'est-ce que le schéma directeur et le schéma directeur informatique ?","Le schéma directeur est la planification stratégique de l'organisme dans ses domaines d'action. Le schéma directeur informatique en est un sous-ensemble spécifique : il fixe les grandes orientations de la politique d'informatisation (acquisition de matériels, stratégie de sous-traitance, développement des réseaux, achat de logiciels ou de middleware, développements d'applications par domaines). Il est généralement défini pour cinq ans et régulièrement actualisé."
"Tous les projets sont-ils issus du schéma directeur ?","Non : le schéma directeur ne fige pas la planification et tous les projets n'en sont pas nécessairement issus. Une évolution de l'environnement (réglementation, organisation) peut nécessiter de nouveaux projets, et un projet peut naître en réponse à une sollicitation inopinée. La maintenance évolutive est assimilée à un projet et conduite de façon similaire."
