Quel support de communication le CPL utilise-t-il ?;La fibre optique;Une nouvelle paire torsadée;Les ondes radio 2,4 GHz;Le réseau électrique existant;5;Le CPL (Courant Porteur en Ligne) transporte les informations sur le câblage électrique standard existant, sans travaux d'infrastructure.
Que définit la norme IEEE 1901 de 2010 pour le CPL ?;Les canaux Wi-Fi;Les équipements BPL avec des débits supérieurs à 500 Mb/s en réseau local;Le format des trames Ethernet;Le chiffrement WEP;3;La norme IEEE 1901 définit les équipements BPL (Broadband over Power Line), avec des débits supérieurs à 500 Mb/s en LAN et un accès Internet jusqu'à 1,5 km.
Quelle technique de modulation la couche physique du CPL haut débit utilise-t-elle ?;La modulation de phase simple;L'OFDM (porteuses orthogonales ne se chevauchant pas);Le multiplexage temporel pur;La modulation Manchester;3;Le CPL haut débit utilise l'OFDM (Orthogonal Frequency Division Multiplexing) : division en de nombreuses porteuses orthogonales avec répétition du signal pour limiter les interférences.
Quelle méthode d'accès la couche liaison du CPL partage-t-elle avec le Wi-Fi ?;Le jeton;CSMA/CA;Le polling;CSMA/CD;3;Comme le Wi-Fi, le CPL utilise CSMA/CA (Collision Avoidance) : les données ne sont transmises que si le support est libre, avec échange DIFS/RTS/CTS/ACK.
Quel couplage CPL est le plus efficace pour réduire l'atténuation ?;Le couplage résistif;Le couplage capacitif;Le couplage inductif;Le couplage optique;4;Le couplage inductif réduit l'atténuation de 10 à 15 dB pour certaines fréquences par rapport au couplage capacitif, le plus utilisé.
Quel chiffrement les versions récentes du CPL (HomePlug AV, UPA DS2) utilisent-elles ?;AES 128 bits;DES 56 bits;RC4;Aucun;2;Les premiers standards utilisaient DES 56 bits, les versions récentes (UPA DS2, HomePlug AV) sont passées à AES 128 bits, beaucoup plus résistant.
Jusqu'à quelle distance environ le rayonnement d'un module CPL peut-il porter ?;10 km;1 km;100 m;10 m;4;Le circuit électrique non blindé se comporte comme une antenne : le rayonnement des ondes haute fréquence du CPL porte jusqu'à une centaine de mètres.
Quelle bande de fréquences est totalement libérée en usage privé en France ?;La bande des 5,4 GHz;La bande des 60 GHz;La bande des 900 MHz;La bande des 2,4 GHz;5;En France, toute bande est soumise à autorisation sauf la bande des 2,4 GHz en usage privé, totalement libérée par l'ARCEP.
Quels réseaux Wi-Fi doivent faire une déclaration à l'ARCEP ?;Aucun;Tous;Uniquement les réseaux d'entreprise;Uniquement les réseaux ouverts au public;5;Seuls les réseaux ouverts au public doivent être déclarés, les réseaux internes (hôtels, cybercafés) et non ouverts au public (entreprises) sont dispensés.
À quelle norme le WiMax répond-il ?;IEEE 802.16;IEEE 802.3;IEEE 802.11;IEEE 802.15;2;Le WiMax (Worldwide Interoperability for Microwave Access) répond à la norme IEEE 802.16 pour la boucle locale radio.
Quel débit théorique et quelle portée le WiMax (802.16a) prévoit-il ?;70 Mbit/s sur environ 50 km sans ligne de vue;1300 Mbit/s sur 35 m;11 Mbit/s sur 300 m;6,75 Gbit/s sur 10 m;2;Le WiMax prévoit 70 Mbit/s théoriques par cellule sur environ 50 km sans ligne de vue (10 Mbit/s et 20 km en pratique).
Qui a lancé la technologie Bluetooth et en quelle année ?;IBM en 1985;Nokia en 1999;Apple en 2007;Ericsson en 1994;5;Bluetooth a été lancé par Ericsson en 1994 pour permettre des échanges entre appareils numériques, il correspond à la norme IEEE 802.15.1.
Combien d'appareils un piconet Bluetooth peut-il contenir ?;8;4;16;2;2;Un piconet est un petit réseau Bluetooth de 8 appareils au maximum autorisant des communications simultanées.
Quelle technique de codage radio du Wi-Fi permet les plus hauts débits ?;L'infrarouge;Le codage Manchester;DSSS (Direct Sequence Spread Spectrum);FHSS (Frequency Hopping Spread Spectrum);4;Parmi les codages du Wi-Fi (DSSS, FHSS, infrarouge), c'est le DSSS (Direct Sequence Spread Spectrum) qui permet les plus hauts débits.
Sur quelle bande de fréquences opère la norme 802.11a (WiFi 5) ?;5 GHz;60 GHz;900 MHz;2,4 GHz;2;La norme 802.11a opère dans la bande des 5 GHz (8 canaux, 54 Mbps théoriques, portée d'une trentaine de mètres, codage OFDM) et est incompatible avec le 802.11b.
Quelle est la première norme Wi-Fi publiée et son débit théorique ?;802.11g à 54 Mbps;802.11b à 11 Mbps (1999);802.11a à 54 Mbps;802.11n à 300 Mbps;3;La norme 802.11b, publiée en 1999, propose 11 Mbps théoriques dans la bande des 2,4 GHz, avec une portée jusqu'à 300 m en environnement dégagé.
Quelles technologies la norme 802.11n combine-t-elle pour atteindre 300 Mb/s ?;DES et AES;WEP et TKIP;CSMA/CD et le jeton;MIMO et OFDM;5;La norme 802.11n atteint 300 Mb/s théoriques (100 réels) grâce aux technologies MIMO (Multiple Input Multiple Output) et OFDM.
Quels canaux non chevauchants utilise-t-on en 2,4 GHz en entreprise ?;Les canaux 1, 6 et 11;Tous les canaux;Les canaux 3, 8 et 13;Les canaux 2, 7 et 12;2;Il faut laisser 4 bandes libres entre cellules limitrophes : sur la douzaine de canaux, seuls 3 ou 4 sont exploitables, en général le 1, le 6 et le 11.
Qu'apporte la technologie MIMO au Wi-Fi ?;La compression des trames;Le roaming automatique;Le chiffrement;L'émission/réception sur plusieurs antennes, ce qui double la portée maximale;5;La technologie MIMO (Multiple Input Multiple Output) s'appuie sur plusieurs antennes en émission/réception et double la portée maximale par rapport à une seule antenne.
Quelle norme Wi-Fi traite de l'authentification ?;802.11e;802.1x;802.11s;802.11p;3;La norme 802.1x (IETF), initialement pour les réseaux câblés, est devenue le point clé de l'authentification dans les réseaux sans fil : un client non authentifié est bloqué.
