Où se situe le MBR (secteur de démarrage) sur un disque ?;Au cylindre 0, tête 0, secteur 1;Dans chaque partition;Au centre du disque;À la fin du disque;2;Le MBR est situé au cylindre 0, tête 0, secteur 1, il contient la table des partitions, le code d'amorçage et les informations du disque.
Qu'est-ce que la FAT (File Allocation Table) ?;Le secteur de boot;Une table de sécurité;La liste des utilisateurs;Un tableau où chaque case correspond à un cluster et pointe vers le cluster suivant du fichier;5;La FAT est le cœur du système de fichiers FAT : chaque case correspond à un cluster et indique s'il est utilisé ainsi que l'emplacement du cluster suivant (liste chaînée).
Quelle est la taille maximale d'une partition FAT16 ?;500 Mo;2 Go;2 To;32 Go;3;La FAT16 adresse les clusters sur 16 bits (65 535 clusters max), avec des clusters de 32 ko, la taille maximale d'une partition est de 2 Go.
Qu'apporte la FAT32 par rapport à la FAT16 ?;Les autorisations;La journalisation;Des entrées sur 32 bits, des partitions jusqu'à 2 To et des clusters plus petits;Le chiffrement des fichiers;4;La FAT32 utilise des entrées 32 bits, autorise beaucoup plus de clusters (donc des partitions jusqu'à 2 To) et des clusters plus petits qui réduisent le gaspillage.
Quels systèmes d'exploitation peuvent lire une partition NTFS ?;MS-DOS et Windows 95;Tous les systèmes Windows;Uniquement ceux basés sur Windows NT (NT, 2000, 2003, XP, 2008);Linux uniquement;4;Aucun système autre que ceux basés sur Windows NT n'est en mesure de lire une partition NTFS.
Quelle taille maximale les fichiers NTFS peuvent-ils théoriquement atteindre ?;4 Go;2 To;128 Go;16 exaoctets;5;Les offsets de fichier NTFS étant sur 64 bits, les fichiers et partitions peuvent atteindre jusqu'à 16 exaoctets.
Qu'est-ce que la MFT (Master File Table) ?;La table de fichiers principale d'une partition NTFS, un enregistrement par fichier;Un fichier journal;Une table de partitions;Une clé de chiffrement;2;La MFT est la table de fichiers principale d'une partition NTFS : chaque fichier ou répertoire y est un enregistrement regroupant des attributs détaillés.
Combien d'enregistrements NTFS réserve-t-il pour les metafiles ?;8;4;32;16;5;NTFS réserve les 16 premiers enregistrements de la MFT (index 0 à 15) pour les metafiles : $MFT, $MFTMirr, $LogFile, $Bitmap, $Boot, $BadClus...
Que sont les attributs résidents dans la MFT ?;Des attributs stockés directement dans l'enregistrement MFT;Des attributs de partage;Des attributs stockés sur un autre disque;Des attributs chiffrés;2;Les attributs résidents sont stockés directement dans l'enregistrement MFT, un petit fichier peut y tenir entièrement, sinon les données vont dans des extensions (attributs non résidents).
Qu'est-ce qu'un jeton d'accès (access token) ?;Une clé EFS;Une structure recréée à chaque connexion contenant l'identité du sujet;Une entrée de la MFT;Un mot de passe;3;Le jeton d'accès contient l'identité du sujet, il est recréé à chaque connexion et comparé aux entrées de contrôle d'accès de l'objet.
Quelle est la différence entre une ACL et une ACE ?;Une ACL concerne un fichier, une ACE un dossier;Une ACE autorise ou refuse un accès, l'ACL regroupe toutes les ACE d'un objet;Aucune;Une ACE est chiffrée;3;Une ACE (entrée de contrôle d'accès) autorise ou refuse un comportement, l'ACL (liste de contrôle d'accès) regroupe l'ensemble des ACE d'un objet.
Que fait le sous-système de sécurité s'il atteint la fin d'une ACL sans réponse explicite ?;Il demande à l'administrateur;Il refuse l'accès;Il applique l'héritage;Il autorise l'accès;3;Si l'accès n'est ni autorisé ni refusé explicitement à la fin de l'ACL, le sous-système de sécurité refuse l'accès à l'objet.
Quelle est la différence entre autorisations et droits d'utilisateur ?;Les droits concernent les fichiers, les autorisations les comptes;Les autorisations sont liées aux objets, les droits sont liés au compte;Aucune;Les autorisations ne s'héritent pas;3;Les autorisations sont liées aux objets (accès sur un objet), les droits d'utilisateur sont liés au compte (ouverture de session, sauvegarde...) et se gèrent via la Stratégie de sécurité locale.
Qui peut toujours modifier les autorisations d'un objet ?;Tout utilisateur du groupe Tout le monde;Seul l'administrateur du domaine;Personne;Le propriétaire de l'objet;5;Quelles que soient les autorisations définies, le propriétaire de l'objet (par défaut son créateur) peut toujours les modifier.
Quelle est la priorité entre autorisation explicite et autorisation Refuser héritée ?;L'accès est bloqué;Elles s'annulent;L'autorisation explicite l'emporte;La Refuser héritée l'emporte;4;Les autorisations explicites sont prioritaires sur les autorisations héritées, y compris sur une autorisation Refuser héritée.
Comment se combinent autorisations de partage et autorisations NTFS pour un accès réseau ?;On applique les plus restrictives des deux ensembles;On additionne les deux;Seules les autorisations de partage comptent;Seules les autorisations NTFS comptent;2;Les deux ensembles étant indépendants, l'accès effectif à un dossier partagé retient les autorisations les plus restrictives des autorisations de partage et NTFS.
Quelle est la portée des autorisations de partage ?;Uniquement Terminal Server;Locale et distante;Uniquement les accès réseau (partages);Uniquement les accès locaux;4;Les autorisations de partage ne s'appliquent qu'aux accès réseau, les autorisations NTFS s'appliquent en local comme à distance, quel que soit le protocole.
Combien d'autorisations NTFS standard existe-t-il sur un dossier ?;Quatre;Six;Dix;Trois;2;Il existe six autorisations NTFS standard sur un dossier : Contrôle total, Modification, Lecture & exécution, Affichage du contenu du dossier, Lecture, Écriture.
Que contient la SACL d'un descripteur de sécurité ?;Les groupes autorisés;Le propriétaire;La clé de chiffrement;Les informations d'audit (qui auditer, quelles opérations, réussite ou échec);5;La SACL (System Access Control List) contient les informations d'audit, la DACL contient les groupes autorisés et les types d'accès accordés.
Sur quoi repose le Gestionnaire d'autorisations (Authorization Manager) ?;Le partitionnement GPT;L'administration basée sur les rôles (rôles, tâches, opérations);La compression NTFS;Les quotas de disque;3;Le Gestionnaire d'autorisations est un composant MMC d'administration basée sur les rôles : on y définit des rôles, des tâches et des opérations.
Dans un groupe d'application de base, qu'est-ce qui prime ?;L'appartenance;Le nom du groupe;La non-appartenance;L'ordre d'ajout;4;La non-appartenance prime sur l'appartenance : l'appartenance est calculée en retirant tous les non-membres du groupe.
Sur quel type de volume EFS peut-il chiffrer des fichiers ?;FAT32;FAT16;exFAT;NTFS;5;Le système de fichiers EFS (Encrypting File System) permet de chiffrer des fichiers et dossiers uniquement sur des volumes NTFS.
