"Qu'est-ce que le protocole SNMP et sur quel protocole de transport s'appuie-t-il ?","SNMP (Simple Network Management Protocol) est un protocole simple d'administration et de gestion d'équipements (distants ou non, à condition qu'ils soient adressables), de type question/réponse asynchrone, encapsulé dans des trames UDP."
"Comment SNMP fait-il communiquer les agents et les stations de gestion ?","Les stations de gestion (managers) interrogent les agents pour observer leur fonctionnement et leur envoient des commandes ; les agents renvoient les informations requises. L'envoi spontané de l'agent vers le manager est limité, aussi les stations interrogent périodiquement les agents pour vérifier leur état."
"Quels sont les trois types de requêtes SNMP ?","GET : la station de gestion interroge un agent (GET request) et celui-ci répond (GET response). SET : la station modifie une variable d'un agent. TRAP : un agent notifie un événement (par exemple une erreur de transmission)."
"Qu'est-ce que la SMI et la MIB dans le modèle SNMP ?","Les informations d'administration sont structurées suivant la SMI (Structure of Management Information) et stockées dans la MIB (Management Information Base). La MIB regroupe l'ensemble des variables relatives aux matériels et logiciels du réseau et définit les objets de gestion en environnement TCP/IP ; la SMI définit comment ces informations sont représentées dans la MIB et comment elles sont obtenues."
"Quelles sont les limites de SNMP en matière de sécurité ?","Les versions 1 et 2 de SNMP ont des capacités de sécurité très limitées, principalement pour l'authentification. SNMPv3 apporte des fonctions d'authentification et de cryptage, mais il est plus difficile à implémenter."
"À quoi sert un relais DHCP et pourquoi est-il parfois nécessaire ?","Le serveur DHCP doit être sur le même lien que ses clients, car les requêtes de broadcast (qu'utilise une machine au démarrage pour trouver le serveur) ne sont diffusées que sur un même lien et ne passent pas les routeurs ; un relais DHCP est alors nécessaire pour acheminer ces échanges vers un serveur situé sur un autre lien."
"De quel protocole DHCP a-t-il été conçu comme complément ?","Du protocole BOOTP (Bootstrap Protocol), utilisé par exemple lorsque l'on installe une machine à travers un réseau ; DHCP permet d'attribuer dynamiquement une adresse IP parmi un pool d'adresses disponibles, en optimisant l'utilisation de ce pool."
"Qu'est-ce qu'un bail DHCP ?","Les adresses IP allouées aux clients DHCP le sont avec une date de début et une date de fin de validité : c'est le bail. Quand le bail arrive à terme, le client peut demander sa prolongation ; sinon, l'adresse IP est rendue disponible pour un nouveau client."
"Sur quel protocole de transport et quel port HTTP s'appuie-t-il ?","HTTP (HyperText Transfer Protocol) s'appuie sur le protocole de transport TCP et utilise le port 80 (port 443 pour HTTPS, qui est la variante sécurisée basée sur SSL ou TLS)."
"Comment se déroule une communication HTTP entre le navigateur et le serveur ?","En deux temps : le navigateur (client) effectue une requête HTTP que le serveur traite avant d'envoyer sa réponse HTTP. Le but est de permettre le transfert de fichiers (essentiellement au format HTML) localisés grâce à une URL."
"De quoi se compose une requête HTTP ?","D'une ligne de requête (document demandé / URL, méthode appliquée - le plus souvent GET ou POST -, version du protocole), de champs d'en-tête facultatifs (informations sur la requête et le client : navigateur, système d'exploitation), et d'un corps de requête optionnel séparé par une ligne vide (par exemple pour l'envoi de données par la méthode POST après un formulaire)."
"De quoi se compose une réponse HTTP ?","D'une ligne de statut (version du protocole, code retour indiquant l'état du traitement, texte explicatif), de champs d'en-tête facultatifs (informations sur la réponse et le serveur), et du corps de la réponse contenant le document demandé par le client."
"Que font les méthodes HTTP GET, POST, PUT et DELETE ?","GET récupère la ressource située à l'URL. POST envoie des données au programme situé à l'URL pour demander un traitement d'informations (par exemple un formulaire). PUT envoie des données à l'URL spécifiée sans passer par un serveur FTP. DELETE supprime la ressource située à l'URL sans passer par un serveur FTP."
"Pourquoi certaines méthodes HTTP sont-elles rarement implémentées ?","Pour des raisons de sécurité : les méthodes PUT, DELETE, OPTIONS, TRACE et CONNECT sont rarement implémentées, ou configurées de façon spécifique, afin d'éviter les failles de sécurité. La méthode CONNECT permet notamment de demander au serveur de servir de proxy."
"Comment s'interprètent les classes de codes retour HTTP ?","Le code retour contient 3 chiffres. 20x : connexion réussie. 30x : redirection. 40x : erreur due au client (par exemple 403 requête rejetée, 404 serveur non trouvé). 50x : erreur due au serveur."
"Sur quel protocole de transport FTP s'appuie-t-il et dans quel mode fonctionne-t-il ?","FTP (File Transfer Protocol) s'appuie sur le protocole TCP au niveau transport et fonctionne en mode full-duplex : il permet le transfert de fichiers dans les deux sens (download du serveur vers le client, upload du client vers le serveur, et transfert entre deux serveurs distants via le client)."
"Quels ports FTP utilise-t-il et à quoi servent-ils ?","FTP utilise deux connexions TCP en parallèle : le port 21 pour le contrôle (contrôle de flux, commandes, informations de connexion login et mot de passe) et le port 20 pour les transferts de données. La connexion de contrôle étant indépendante de celle des données, on dit que FTP utilise une signalisation hors bande."
