"Que désigne le terme « bootstrapping » ?","L'ensemble des processus de démarrage d'un système Unix/Linux : le noyau est monté en mémoire et commence à s'exécuter, suivi de nombreuses phases d'initialisation."
"Pourquoi la période de bootstrapping est-elle qualifiée de cruciale et vulnérable ?","Une erreur de configuration, un équipement manquant ou un système de fichiers endommagé peuvent empêcher le démarrage du système."
"Cite les grandes phases d'un bootstrapping classique (étape BIOS mise à part).","Lecture du boot loader depuis le MBR, chargement et initialisation du noyau, détection et configuration des périphériques, création des processus du noyau, intervention de l'administrateur si mode single-user, exécution des scripts de démarrage."
"Qu'est-ce que le moniteur (boot code) ?","Un programme stocké en mémoire non volatile (ROM, PROM, EEPROM, FLASH) qui sait quand et comment démarrer le noyau, vérifie le matériel et initie le processus de démarrage."
"Qu'est-ce que le MBR (Master Boot Record) ?","Les 512 premiers octets du périphérique de démarrage ; il contient un programme indiquant à partir de quelle partition lire le boot loader."
"Qu'est-ce qu'un boot loader et quel est l'exemple type sur PC ?","Le programme qui charge le noyau (souvent en deux étages) ; sur PC pour Unix/Linux, l'exemple type est GRUB (Grand Unified Boot Loader), développé par le projet GNU."
"Quelle différence entre GRUB Legacy (GRUB 1) et GRUB 2 ?","GRUB 2 est une réécriture totale, plus modulaire et portable, reconnaissant plus de systèmes de fichiers dès le démarrage ; sa syntaxe et sa configuration diffèrent (fichier à générer)."
"Où GRUB Legacy lit-il sa configuration ?","Dans /boot/grub/menu.lst ou /boot/grub/grub.conf (grub.conf pour Red Hat ; menu.lst pour Solaris, SUSE, Debian/Ubuntu)."
"Que signifient default et timeout dans une configuration GRUB ?","default : entrée démarrée par défaut ; timeout : délai en secondes laissé à l'utilisateur pour choisir avant le démarrage automatique."
"Que désigne (hd0,0) dans GRUB ?","La première partition (0) du premier disque (hd0) reconnu par le BIOS."
"Cite des options de noyau passées par GRUB.","acpi=off (désactive l'ACPI), init=/bin/bash (démarre seulement bash), root=/dev/... (partition racine), single (mode single-user)."
"Comment configure-t-on un multiboot avec GRUB et Windows ?","GRUB doit être placé avant le boot loader Windows (qui ne reconnaît pas Unix/Linux) ; on utilise chainloader +1 pour charger le boot loader Windows et rootnoverify pour ne pas monter la partition."
"Quels PID portent init et sched ?","init a toujours le PID 1 ; sur les Unix, sched a en principe le PID 0 (non visible sous Linux, qui affiche plutôt kthreadd)."
"Que sont les processus « spontanés » créés par le noyau ?","Des processus créés directement par le noyau sans passer par les techniques standard de fork ; ils ont des PID bas et apparaissent entre crochets dans la sortie de ps."
"Que font kjournald, kswapd, ksoftirqd et khubd ?","kjournald : mises à jour des journaux du système de fichiers ; kswapd : opérations de swap quand la mémoire manque ; ksoftirqd : interruptions système ; khubd : configuration des périphériques USB."
"Quelle commande affiche les messages du noyau (inventaire matériel) ?","dmesg."
"Qu'est-ce que le mode single-user (recovery / maintenance) ?","Un mode qui charge la console sans monter tous les périphériques ni activer le réseau ; il faut être présent en salle machine ; utile pour consulter les logs et modifier des fichiers de configuration."
"Comment repasser un système déjà démarré en mode single-user ?","Avec les commandes shutdown ou telinit (par exemple telinit S ou telinit 1)."
"Que faire si /etc est monté en lecture seule en mode single-user ?","Remonter le système de fichiers racine en lecture-écriture : mount -o rw,remount /"
"Que fait la commande fsck ?","Elle vérifie et répare un système de fichiers endommagé ; lancée automatiquement au boot normal, elle doit souvent être exécutée à la main en mode single-user."
"Quelles sont les quatre grandes étapes des scripts rc au démarrage ?","Réveiller le système (fsck, montage via /etc/fstab, activation du swap, nettoyage de /tmp), configurer le système (réseau, cron, syslog), lancer les services (FTP, mail, web), donner la main aux multi-utilisateurs (getty ou startX)."
"Combien de niveaux d'exécution init définit-il et que représentent-ils ?","Au moins 7 : niveau 0 = arrêt complet ; 1 ou S = single-user/maintenance ; 2 à 5 = niveaux avec services réseau ; 6 = redémarrage (reboot)."
"Quel niveau d'exécution correspond à l'affichage graphique sous Linux ?","Le niveau 5 (serveur X) ; le niveau par défaut d'un serveur est souvent 2 ou 3."
"Quel fichier décrit ce qu'effectue chaque niveau d'exécution ?","/etc/inittab ; la commande telinit permet de changer de niveau (telinit 3), l'option -q fait relire inittab."
"Comment sont organisés les scripts d'init classiques (System V) ?","Les scripts sont dans /etc/init.d et des liens symboliques dans /etc/rc0.d, /etc/rc1.d... nommés Snn<service> (Start) ou Knn<service> (Kill), exécutés dans l'ordre croissant des numéros au démarrage, décroissant à l'arrêt."
"Que fait la commande chkconfig (Red Hat, SUSE) ?","Elle ajoute ou retire un script de démarrage d'un ou de tous les niveaux d'exécution, et liste les services par niveau."
"Qu'est-ce que systemd et qu'apporte-t-il ?","Un gestionnaire de système et de services pour Linux (remplaçant de sysvinit) : gestion des dépendances, démarrage parallèle et à la demande des services, suivi des processus par cgroups, moins d'appels aux scripts shell ; commande systemctl."
"Qu'est-ce qu'Upstart ?","Le démon de démarrage introduit par Ubuntu en 2007, fonctionnant par événements (ajout de périphérique, câble réseau...) plutôt que par une séquence de scripts ; configuration dans /etc/init ; abandonné au profit de systemd."
"Comment AIX démarre-t-il ?","Le script /sbin/rc.boot (écrit en ksh) s'exécute en 3 phases : initialisation du matériel, montage des systèmes de fichiers, démarrage de /etc/init décrit par /etc/inittab ; commandes mkitab, chitab, lsitab, rmitab."
"Qu'est-ce que SMF (Service Management Facility) de Solaris ?","Le mécanisme moderne de démarrage de Solaris : chaque service est identifié par un FMRI et configuré par des manifests XML ; commandes svcs (statut) et svcadm (changer le statut) ; les milestones remplacent les niveaux d'exécution."
