"Pourquoi la sauvegarde est-elle indispensable sous Unix/Linux ?","Parce qu'aucun mécanisme ne permet de récupérer un fichier une fois qu'il a été supprimé : la sauvegarde joue le rôle d'une assurance contre la perte de données."
"Vers quels supports peut-on effectuer une sauvegarde sous Unix/Linux ?","Vers n'importe quel périphérique accessible en mode caractère, vers un simple fichier, vers un autre disque ou vers une autre machine."
"Quelle est la différence entre sauvegarde et archivage ?","La sauvegarde est une recopie des données de production ou système sur un média compatible avec les moyens de restauration, destinée à faire face à un incident. L'archivage est la conservation de données (et des équipements pour les exploiter) pour des raisons juridiques, fiscales, administratives ou sociales : on parle d'archivage « légal »."
"Quelles sont les cinq questions de base d'une politique de sauvegarde ?","Quoi ? (quels fichiers), Où ?, Qui ?, Comment ? et Quand ?"
"Quels fichiers faut-il sauvegarder ?","En principe tous, à l'exception des fichiers temporaires, avec des nuances (par exemple les systèmes d'exploitation déjà disponibles sur CD)."
"Quels éléments permettent d'évaluer le support nécessaire à une sauvegarde ?","La quantité de données à sauvegarder, le délai de restauration acceptable, les périphériques de stockage disponibles, le degré d'automatisation souhaité et le temps disponible pour réaliser la sauvegarde."
"En quoi consiste la planification d'une stratégie de sauvegarde ?","On établit d'abord un plan idéal théorique (données cibles, fréquence, découpage global/différentiel) hors contraintes, puis on l'adapte aux contraintes organisationnelles et techniques du site, enfin on l'affine par des tests répétés sur des jeux de volumétries estimées."
"Que faut-il copier pour pouvoir restaurer tout un système après effacement total ?","Tous les fichiers utilisateur, les fichiers système personnalisés (par exemple /etc/passwd), les fichiers système ajoutés depuis l'installation initiale et tous les produits additionnels intégrés depuis l'installation."
"Que désignent les fichiers inclus, exclus et les diagrammes (terminologie HP-UX) ?","Fichiers inclus : répertoires et fichiers faisant partie de la sauvegarde (un répertoire entraîne tous ses sous-répertoires). Fichiers exclus : exceptions situées dans un répertoire inclus mais non sauvegardées. Diagrammes : fichiers texte contenant la liste exhaustive des répertoires et fichiers à sauvegarder."
"Qu'est-ce qu'une sauvegarde locale ?","Une sauvegarde de travail qui ne quitte pas le site de production, disponible rapidement, utilisée pour restaurer quelques fichiers altérés ou supprimés ou remettre à disposition d'anciennes versions ; sa durée de conservation correspond à la durée de vie des données."
"Qu'est-ce qu'une sauvegarde externalisée ?","Une sauvegarde destinée à la reprise d'activité après un sinistre majeur, stockée sur un site éloigné du site de production (société spécialisée ou site de secours) et transportée dès sa réalisation, afin qu'un même sinistre ne puisse pas atteindre les deux."
"Qu'est-ce qu'une sauvegarde complète ?","Une sauvegarde où tous les fichiers sont enregistrés sans tenir compte d'une sauvegarde antérieure."
"Qu'est-ce qu'une sauvegarde différentielle et comment la restaure-t-on ?","Elle n'enregistre que ce qui a changé depuis la dernière sauvegarde complète ; pour tout restaurer il suffit de restaurer la sauvegarde complète puis la dernière différentielle."
"Qu'est-ce qu'une sauvegarde incrémentale et comment la restaure-t-on ?","Elle n'enregistre que ce qui a changé depuis la dernière sauvegarde quelle qu'elle soit (complète, différentielle ou incrémentale) ; pour tout restaurer il faut restaurer la dernière complète puis toutes les incrémentales suivantes, dans l'ordre."
"Comment fonctionnent les niveaux de sauvegarde de 0 à 9 ?","Le niveau 0 correspond à une sauvegarde intégrale ; le niveau 1 sauvegarde les fichiers modifiés depuis la dernière sauvegarde de niveau 0 ; le niveau 2 ceux modifiés depuis le dernier niveau 1, et ainsi de suite."
