En quelle année est sorti Windows Server 2008 ?;2008;2009;2006;2003;2;Windows Server 2008 est sorti en février 2008, Windows Server 2008 R2 en octobre 2009.
Quelle particularité distingue Windows Server 2008 R2 ?;Il ne supporte pas la virtualisation;Il n'a pas d'interface graphique;Il est gratuit;Il est disponible uniquement pour les processeurs 64 bits;5;Windows Server 2008 R2 est le premier système d'exploitation Windows Server disponible uniquement pour les processeurs 64 bits.
Combien de processeurs physiques l'édition Standard de Windows Server 2008 prend-elle en charge ?;4;64;8;2;2;L'édition Standard prend en charge 4 processeurs physiques, 32 Go de RAM et 1 machine virtuelle plus l'hôte.
Quelle édition de Windows Server 2008 offre des droits de virtualisation illimités ?;Standard;Web;Datacenter;Foundation;4;L'édition Datacenter (64 processeurs, 2 To de RAM) offre des droits de virtualisation illimités et l'ajout à chaud de mémoire et de processeurs.
À quels rôles l'édition Web de Windows Server 2008 se limite-t-elle ?;Active Directory;Fichiers et impression;Hyper-V;Web (IIS) et DNS uniquement;5;L'édition Web est limitée aux rôles Web (IIS) et DNS, avec 4 processeurs et 32 Go de RAM.
Qu'est-ce que l'installation Server Core ?;Une installation sans noyau;Une version d'évaluation;Une édition pour poste de travail;Une installation minimale utilisable uniquement en ligne de commande;5;Server Core est une installation minimale avec le même noyau mais sans interface graphique, l'administration locale se fait via l'invite de commande, pour environ 2 Go de disque.
Sur quels trois fondamentaux s'appuie l'architecture de Windows Server 2008 ?;Fichiers, impression, messagerie;Routage, DNS et DHCP;Sauvegarde, cluster et RAID;Sécurité, virtualisation et Web;5;L'architecture de Windows Server 2008 s'appuie sur la sécurité, la virtualisation et le Web, son noyau fusionne celui de Windows Vista avec le nouveau code.
Quelles sont les deux couches principales de l'architecture de Windows Server 2008 ?;Client et serveur;Mode utilisateur et mode noyau;BIOS et UEFI;Physique et logique;3;L'architecture se compose du mode utilisateur (sous-systèmes, priorité basse) et du mode noyau (accès direct au matériel, mémoire protégée).
Quel sous-système de mode utilisateur est qualifié d'intégral ?;L'émulation d'autres OS;La sécurité, le service poste de travail et le service serveur;Le gestionnaire de mémoire virtuelle;Le pilote WDM;3;Les sous-systèmes intégraux prennent en charge les fonctions essentielles : sécurité, service poste de travail, service serveur.
Que permettent les sous-systèmes environnementaux ?;Gérer la mémoire virtuelle;Contrôler les interruptions;Exécuter des applications écrites pour d'autres systèmes d'exploitation via leurs API;Chiffrer les fichiers;4;Les sous-systèmes environnementaux émulent d'autres systèmes d'exploitation en convertissant les requêtes d'API et en les transférant au mode noyau.
Qu'est-ce que la couche d'abstraction du matériel (HAL) ?;Une bibliothèque de liens dynamiques contenant le code matériel spécifique;Un pilote de carte réseau;Un sous-système environnemental;Le gestionnaire d'objets;2;La HAL est une DLL qui gère les éléments matériels des plateformes : interfaces d'E/S, contrôleurs d'interruption, communication multiprocesseur.
Qu'est-ce qu'un rôle serveur sous Windows Server 2008 ?;Une partition système;Un compte utilisateur privilégié;La fonction qu'aura le serveur après son installation;Un profil réseau;4;Un rôle serveur définit la fonction du serveur après installation, plusieurs rôles peuvent coexister et un rôle peut être prédéfini ou applicatif.
Combien d'informations l'administrateur fournit-il lors d'une installation manuelle de Windows Server 2008 ?;Dix;Quatre;Six;Deux;3;L'installation manuelle ne demande que quatre informations : langue et paramètres régionaux, numéro de licence, acceptation du contrat, disque ou partition d'installation.
Quel format d'image accélère l'installation de Windows Server 2008 ?;WIM (Windows Imaging Format);ISO;GHO;VHD;2;Windows Server 2008 utilise le format d'image fichier WIM, plus rapide que l'installation traditionnelle fichier par fichier.
