Combien d'axes l'ISO a-t-elle définis pour l'administration de réseau ?;Deux;Trois;Sept;Cinq;5;L'ISO a cerné cinq axes : gestion des anomalies, de la configuration, des performances, de la sécurité et de la comptabilité.
Quel axe de l'administration réseau vise un réseau opérationnel sans rupture de service ?;La gestion de la configuration;La gestion des anomalies (Fault Management);La gestion de la comptabilité;La gestion des performances;3;La gestion des anomalies vise à avoir un réseau opérationnel sans rupture de service (99,999 % de disponibilité) et à localiser rapidement toute panne en surveillant les alarmes.
Que faut-il attribuer de façon unique à chaque équipement dans la gestion de la configuration ?;Une adresse MAC aléatoire;Un identificateur d'objet OID (Object Identifier);Un mot de passe;Un numéro de série constructeur;3;Dans la gestion de la configuration, chaque équipement et chaque compteur doit être identifié de façon unique à l'aide d'un nom ou d'un identificateur d'objet OID (Object Identifier).
Quel axe de l'administration réseau suit la consommation par abonné pour établir une facture ?;La gestion des performances;La gestion des anomalies;La gestion de la sécurité;La gestion de la comptabilité (Accounting Management);5;La gestion de la comptabilité (Accounting Management) a pour objectif de suivre la consommation réseau par abonné en vue d'établir une facture.
Quelle formule résume l'écueil du trop-plein d'informations en supervision ?;Trop d'informations tue l'information;Qui peut le plus peut le moins;L'information, c'est le pouvoir;Mieux vaut prévenir que guérir;2;L'écueil du trop-plein d'informations se résume par la formule « trop d'informations tue l'information », qui survient quand les aspects organisationnels ont été insuffisamment pris en compte.
Quelle catégorie de supervision surveille la mémoire utilisée et la charge processeur d'un serveur ?;La supervision système;La supervision applicative;La supervision de la comptabilité;La supervision réseau;2;La supervision système se cantonne à la machine elle-même et à ses ressources : mémoire utilisée, charge processeur, analyse des fichiers de logs système.
Pourquoi la supervision applicative est-elle plus subtile ?;Parce qu'elle est interdite sur les serveurs;Parce qu'elle ne fonctionne qu'en local;Parce qu'elle nécessite toujours SNMP;Parce qu'un port ouvert ne garantit pas que l'application derrière n'est pas plantée;5;La supervision applicative vérifie le fonctionnement de l'application elle-même car rien ne garantit qu'un port ouvert signifie que l'application située derrière n'est pas plantée.
À quelle couche du modèle OSI le protocole ICMP opère-t-il ?;Couche 2 (liaison);Couche 3 (réseau);Couche 7 (application);Couche 4 (transport);3;ICMP (Internet Control Message Protocol) est un protocole de couche 3 (réseau) qui palie l'absence de message d'erreur du protocole IP.
Combien de codes différents le type 3 « destinataire inaccessible » d'ICMP comporte-t-il ?;8;1;3;16;5;Les erreurs ICMP sont classées en types parfois re-divisés en codes : le type 3 représente un destinataire inaccessible et comporte 16 codes différents selon la raison.
Quelle norme d'administration l'ISO avait-elle proposée avant que SNMP ne s'impose ?;CMIS/CMIP;TCP/IP;LDAP;X.25;2;L'ISO avait proposé dans les années 80 la norme CMIS/CMIP (Common Management Information Service ISO 9595, Common Management Information Protocol ISO 9596), mais SNMP, plus simple, est devenu le standard de fait.
Quels sont les trois éléments importants de SNMP ?;RFC 1155, 1156, 1157 uniquement;La base de données MIB, la structure SMI, le protocole d'échange SNMP;GET, SET, TRAP;Le manager, l'agent, le proxy;3;SNMP repose sur trois éléments : une base de données MIB gérée par chaque agent, une structure commune de représentation SMI (RFC 1155), et le protocole d'échange SNMP entre manager et agent (RFC 1157).
Pourquoi SNMP est-il bâti au-dessus d'UDP plutôt que de TCP ?;Parce que TCP ne supporte pas les alarmes;Parce qu'UDP chiffre les données;Pour sa simplicité, sa rapidité et sa concision (8 octets d'en-tête contre 20 pour TCP);Parce qu'UDP est fiable et connecté;4;UDP est retenu pour SNMP pour sa simplicité, sa rapidité et sa concision (8 octets d'en-tête contre 20 pour TCP), ce qui permet de remonter très vite des alarmes, au prix d'un transport non fiable où des messages peuvent être perdus.
Quel message SNMP un agent émet-il de lui-même vers un manager pour remonter une alarme ?;Le set-request (SET);Le trap (TRAP);Le get-request (GET);Le get-response;3;Le message trap (TRAP) est le signal émis par un agent en direction d'un manager, par exemple pour remonter une alarme, les autres messages SNMPv1 sont GET, GETNEXT, SET et get-response.
Quels ports UDP SNMP utilise-t-il ?;67 et 68;161 pour tout;53 côté agent et 80 côté manager;161 côté agent pour GET/GETNEXT/SET et 162 côté manager pour les TRAPs;5;SNMP utilise le port UDP 161 côté agent pour les requêtes GET, GETNEXT et SET, et le port UDP 162 côté manager pour les TRAPs.
Quelle faille de sécurité importante présente le champ communauté de SNMPv1 ?;Il est chiffré mais faible;Il passe en clair sur le réseau;Il change à chaque requête;Il est stocké dans la MIB;3;Le champ communauté de SNMPv1 joue le rôle de mot de passe de validation d'une requête, mais il passe en clair sur le réseau, ce qui constitue une faille importante de sécurité comblée par les versions ultérieures.
Selon quel codage les paramètres d'une requête SNMP sont-ils encodés ?;Le codage binaire brut;Le codage UTF-8;Le codage Base64;Le codage TLV (Type, Longueur, Valeur) ou BER;5;Les paramètres d'une requête SNMP sont encodés selon le codage TLV (Type, Longueur, Valeur), aussi appelé BER (Basic Encoding Rules), défini dans la SMI.
Dans quel langage un objet de la MIB est-il déclaré et défini ?;SQL;ASN.1 (Abstract Syntax Notation 1);Python;XML;3;Un objet de la MIB est déclaré et défini en langage ASN.1 (Abstract Syntax Notation 1), dont SNMP n'utilise qu'une petite partie des types (INTEGER, OCTET STRING, IpAddress, Counter, TimeTicks...).
À quelle structure la MIB est-elle comparable ?;À un arbre similaire à celui du DNS;À une table de routage;À une pile;À une base relationnelle plate;2;La MIB possède une structure d'arbre similaire à celle du DNS, avec une racine non nommée à partir de laquelle chaque objet est identifié de façon absolue par son OID.
Que faut-il obtenir de l'IANA pour étendre la MIB d'un agent avec des objets privés ?;Un certificat SSL;Un nom de domaine;Un numéro identificateur d'entreprise;Une clé de chiffrement;4;Pour placer des objets propres dans la MIB privée (branche private.enterprises.nom_entreprise), il faut souscrire un numéro identificateur d'entreprise ou d'institution à l'IANA.
Quelle version de SNMP est le standard actuel ?;SNMPsec;SNMPv2c;SNMPv1;SNMPv3;5;SNMPv3 (RFC 3411) est le standard actuel : il combine la sécurité basée sur les usagers avec les types et opérations de SNMPv2p, et ajoute la capacité pour les proxies.
Que fait la commande NET-SNMP snmpwalk ?;Elle met à jour la valeur d'un objet;Elle génère un TRAP;Elle convertit un OID en nom symbolique;Elle balaye complètement une branche de la MIB d'un agent distant;5;snmpwalk fonctionne comme snmpgetnext mais permet de balayer complètement une branche de la MIB d'un agent SNMP distant, tandis que snmptranslate convertit entre OID décimal et forme symbolique.
Quel protocole le programme ping utilise-t-il ?;SNMP;TCP;ICMP (requête Echo et réponse Echo Reply);UDP;4;Ping utilise le protocole ICMP : il envoie une requête ICMP Echo et attend en retour une réponse ICMP Echo Reply, ce qui permet de savoir si une machine est accessible et de mesurer la latence.
Que génère l'outil MRTG pour représenter l'état d'une ressource surveillée ?;Des alertes SMS;Des fichiers CSV;Des pages HTML contenant des images PNG;Des rapports PDF;4;MRTG, réalisé en Perl et en C, surveille la charge des liens réseaux et génère des pages HTML contenant des images au format PNG qui représentent graphiquement l'état en temps réel de la ressource.
Que signifie l'acronyme RRDTOOL ?;Resource Report Design TOOL;Real-time Reporting Data TOOL;Rapid Router Debug TOOL;Round Robin Database TOOL;5;RRDTOOL signifie Round Robin Database TOOL, d'après la technique Round Robin utilisée pour la gestion du stockage des données, c'est un outil incontournable de génération de graphiques dans la supervision open-source.
Quelle est l'originalité de Zabbix pour acquérir des données sans SNMP ?;L'interface Web en PHP;Le proxy optionnel;L'agent Zabbix local installé sur l'équipement;Le test de service par ping;4;L'originalité de Zabbix est l'agent Zabbix local : installé sur un système, il permet d'obtenir toute information sur l'équipement sans utiliser le protocole SNMP.
De quel logiciel Nagios est-il le successeur ?;Cacti;NetSaint;NetMRG;Zabbix;3;Nagios est le successeur de NetSaint, créé en 1999 par Ethan Galstad, qui a été renommé Nagios en 2002.
Quel code retour d'un plugin Nagios signifie « CRITICAL » ?;0;1;2;3;4;Un plugin Nagios renvoie un code retour : 0 = OK, 1 = WARNING, 2 = CRITICAL (le service ne fonctionne plus) et 3 = UNKNOWN.
Quelle est la différence entre les agents NRPE et NSCA de Nagios ?;NRPE envoie de lui-même les données, NSCA attend les ordres;Ce sont deux noms du même agent;NRPE ne fonctionne que sous Windows;NRPE reçoit la demande de Nagios puis renvoie le résultat, NSCA planifie et exécute en local puis envoie le résultat;5;Avec NRPE, c'est Nagios qui initie la vérification (polling), tandis qu'avec NSCA la vérification est planifiée et exécutée en local puis le résultat est envoyé à Nagios (trapping), ce qui inverse le sens des connexions.
Dans quel langage Shinken est-il une refonte du cœur de Nagios ?;Java;C;Python;Perl;4;Le projet Shinken consiste en une refonte complète du cœur de Nagios en Python, avec une architecture plus souple conçue pour les architectures distribuées et environ cinq fois plus de performances que Nagios classique.
À quoi servent les Management Packs de SCOM ?;Ce sont des agents installés sur les équipements;Ce sont les ensembles de règles et d'informations nécessaires à la supervision d'une application spécifique;Ce sont des rapports de disponibilité;Ce sont des scripts de correction automatique;3;SCOM s'appuie sur des Management Packs, qui sont les ensembles de règles et d'informations nécessaires à la supervision d'une application spécifique, fournis par Microsoft et de nombreux éditeurs ou créés par l'administrateur.
