Sur quelle notion repose le concept de mémoire virtuelle ?;Le cluster;La page;Le cylindre;Le secteur;3;La mémoire virtuelle repose sur la page : les programmes et les données sont segmentés en blocs de longueur fixe dont la situation physique est gérée par le système.
Comment la taille d'une mémoire virtuelle est-elle limitée ?;Par la taille du disque dur;Par les capacités d'adressage du système;Par la capacité de la mémoire physique;Par le nombre de processeurs;3;La taille d'une mémoire virtuelle n'est limitée que par les capacités d'adressage du système, pas par la mémoire physique réelle.
Comment définit-on l'architecture 32 ou 64 bits d'un processeur ?;Par sa fréquence;Par le nombre de cœurs;Par la taille de ses registres généraux;Par la taille du cache;4;Par convention, l'architecture d'un processeur est définie par la taille de ses registres généraux (GPR).
Qui a sorti le premier processeur 64 bits pour PC sous Windows ?;Intel avec l'Itanium;DEC avec l'Alpha;IBM avec le PowerPC;AMD avec l'Athlon 64;5;AMD a sorti dès 2003 l'Athlon 64, premier processeur 64 bits pour PC sous Windows, en conservant la compatibilité avec le noyau x86 32 bits.
Quelle est la particularité de l'architecture Itanium (IA-64) ?;Elle est entièrement 64 bits et incompatible avec les architectures précédentes;Elle est réservée aux postes de travail;Elle n'existe qu'en 32 bits;Elle est compatible avec les applications 32 bits natives;2;L'Itanium est entièrement 64 bits et totalement incompatible avec les architectures précédentes : il nécessite son propre OS et ses propres applications 64 bits.
Un processeur 64 bits adresse-t-il réellement la mémoire physique sur 64 bits ?;Oui, sur 64 bits;Oui, mais seulement sur Itanium;Non, sur 36 à 40 bits selon les processeurs;Non, sur 32 bits;4;En pratique l'adressage physique se fait sur 36 à 40 bits (AMD K8/K10 : 40 bits soit 1 To, Intel Core 2 : 36 bits).
Qu'est-ce que l'environnement WoW64 ?;La couche de compatibilité qui exécute les applications 32 bits sur Windows x64;Un émulateur de jeux;Un protocole réseau;Un gestionnaire de disques;2;WoW64 est la couche de compatibilité de Windows x64 qui exécute les applications 32 bits nativement avec les registres 32 bits, avec un impact négligeable.
Sur une plate-forme x64, à combien passe l'espace d'adressage d'une application 32 bits ?;Il reste à 2 Go;Il passe à 128 Go;Il passe à 8 To;Il passe de 2 Go à 4 Go;5;Comme l'OS x64 ne partage plus l'espace 32 bits avec le mode noyau, l'espace d'adressage d'une application 32 bits passe de 2 Go à 4 Go.
Quels sont les deux rôles principaux du gestionnaire de mémoire ?;Allouer la mémoire virtuelle et la traduire, puis paginer vers le disque si surengagée;Formater et partitionner le disque;Chiffrer et compresser les fichiers;Gérer les processus et les threads;2;Le gestionnaire de mémoire alloue l'espace virtuel d'un processus et le traduit en mémoire physique, et pagine le contenu vers le disque quand la mémoire est surengagée.
Quelle est la taille standard d'une page mémoire ?;512 octets;2048 octets;8192 octets;4096 octets;5;La mémoire est allouée par pages indivisibles, généralement des blocs de 4096 octets.
