Quel service le protocole IP offre-t-il ?;Le chiffrement des données;Une simple remise de datagrammes en mode non connecté;Le contrôle de flux;Un service fiable orienté connexion;3;IP n'offre qu'un service de remise de datagrammes en mode non connecté, chaque paquet est indépendant et le contrôle de flux est assuré par TCP.
Sur combien de bits une adresse IPv4 est-elle codée ?;48 bits;32 bits;16 bits;64 bits;3;Une adresse IPv4 est codée sur 32 bits (4 octets), écrite en notation décimale pointée.
De quelles deux parties se compose une adresse IPv4 ?;L'identifiant du réseau (Net-ID) et l'identifiant de l'hôte (Host-ID);En-tête et données;Source et destination;Classe et masque;2;Une adresse IPv4 se compose de l'identifiant du réseau (Net-ID) et de l'identifiant de l'hôte sur ce réseau (Host-ID).
Quel est le premier octet d'une adresse de classe A ?;Entre 192 et 223;Entre 1 et 127;Entre 128 et 191;Entre 224 et 239;3;Une adresse de classe A a son premier bit à 0 et son premier octet compris entre 1 et 127.
Quelle classe d'adresses IPv4 est utilisée par le multicast ?;Classe D;Classe B;Classe A;Classe C;2;Les adresses de classe D sont utilisées par les mécanismes de multicast (envoi de messages à un groupe de machines).
Quel organisme attribue les adresses de réseau IP publiques ?;Le NIC (Network Information Center);L'ARCEP;L'ISO;L'IEEE;2;Seul le NIC (Network Information Center) attribue les adresses de réseau afin qu'elles soient uniques au monde.
Qu'est-ce que la MTU (Maximum Transfer Unit) ?;La taille maximale d'une adresse IP;Le nombre maximal de routeurs traversés;La taille maximale du bloc de données d'une trame de couche Liaison;La durée de vie d'un datagramme;4;La MTU est la taille maximale du bloc de données contenu dans une trame de couche Liaison, elle vaut 1500 octets pour Ethernet et varie selon les réseaux.
Où un datagramme IP fragmenté est-il réassemblé ?;À chaque routeur;Par le premier routeur rencontré;Uniquement par le destinataire final;Par la couche Liaison;4;Le réassemblage n'est réalisé que par le destinataire final, un paquet fragmenté reste fragmenté (ou est re-fragmenté) jusqu'à la fin de son parcours.
En blocs de combien d'octets les données sont-elles découpées lors de la fragmentation IP ?;8 octets (64 bits);4 octets;64 octets;16 octets;2;Les données sont divisées en portions multiples de 8 octets (64 bits), sauf la dernière, le Fragment Offset se mesure en blocs de 8 octets.
Que se passe-t-il si un fragment manque à l'arrivée d'un datagramme IP ?;La couche Transport est prévenue;Tous les autres fragments sont supprimés, sans retransmission;Le datagramme est acheminé incomplet;Le fragment manquant est retransmis;3;Le manque est détecté au réassemblage, tous les autres fragments sont supprimés, il n'y a pas de retransmission et rien n'est remonté à la couche Transport.
