"Quel est le principal problème de sécurité du protocole Telnet ?","Les mots de passe circulent en clair sur le réseau ; il faut se méfier des connexions root via le réseau et préférer la version sécurisée, SSH. Le service telnet doit être activé dans inetd.conf."
"Comment rlogin gère-t-il la demande de mot de passe ?","Pas de demande si la machine d'origine est dans /etc/hosts.equiv et que l'identité est la même au départ et à l'arrivée (sauf pour root) ; sinon pas de demande si l'identité et la machine figurent dans le fichier .rhosts de l'utilisateur d'arrivée ; sinon un mot de passe est demandé."
"Qu'est-ce que le protocole NFS ?","Le protocole standard pour mettre en œuvre un service de serveur de fichiers sous Unix, en deux volets : l'exportation côté serveur (offrir un espace disque) et le montage côté client (accéder à cet espace). Mis en œuvre via le démon nfs, les fichiers /etc/fstab et /etc/exports, les commandes mount et umount."
"Comment les périphériques sont-ils représentés sous Unix ?","Comme des fichiers : les fichiers spéciaux, qui sont des interfaces vers le pilote réel intégré au noyau ; les types les plus courants sont les périphériques de type bloc et de type caractère."
"Quelle est la différence entre le mode caractère et le mode bloc d'un fichier spécial ?","En mode caractère, les entrées-sorties se font caractère par caractère et les données sont transférées directement à chaque appel système (claviers, écrans, imprimantes, mémoire). En mode bloc, les E/S se font bloc par bloc (4 ko ou 8 ko) via des zones de tampon, avec assemblage préalable des données (disques, bandes magnétiques)."
"À quoi servent les numéros majeur et mineur d'un fichier de périphérique ?","Ils figurent à la place de la taille du fichier : le numéro majeur identifie le pilote et donc le contrôleur de périphérique ; le numéro mineur identifie généralement le périphérique lui-même, ou une particularité (partition d'un disque, numéro de carte contrôleur...)."
"À quoi sert /dev/null ?","C'est le trou noir (périphérique poubelle) : tout ce qui y est écrit disparaît. Il sert notamment à se débarrasser d'une partie de l'affichage par redirection (application > /dev/null) ; c'est un fichier spécial indispensable à l'administrateur."
"Que sont /dev/zero, /dev/tty et /dev/mem ?","/dev/zero est un générateur de caractères de code ASCII 0. /dev/tty est le device virtuel du terminal texte de l'utilisateur. /dev/mem est la mémoire de la machine (/dev/kmem étant la mémoire du noyau)."
"Comment sont nommés les disques IDE et SCSI sous Linux ?","IDE : hda (premier port, maître), hdb (esclave), hdc/hdd (second port) ; les partitions sont suffixées d'un numéro (hda1). SCSI : sda pour l'identificateur SCSI le plus bas, puis sdb, sdc... ; partitions sda1, sdd10... ; sr0, sr1 pour les cédéroms SCSI."
"Que désignent ttyS0 et ttyS1 sous Linux ?","Les ports série 0 et 1, correspondant à COM1 et COM2 sous DOS."
"Quels sont les deux mécanismes de description des capacités des terminaux sous Unix ?","Le fichier texte termcap (généralement dans /etc) décrivant les capacités de chaque terminal ; et la hiérarchie de répertoires terminfo (sous /usr/lib), où chaque définition est compilée et rangée dans le répertoire dont le nom est l'initiale du terminal (ex. vt100 dans /usr/lib/terminfo/v). terminfo est généralement le plus utilisé."
"Comment positionne-t-on le type de terminal sous Unix ?","Via la variable d'environnement TERM (ex. TERM=vt100 ; export TERM). Le terminal choisi doit être reconnu du système, c'est-à-dire présent dans l'un des répertoires de terminfo."
"Quels logiciels utilisent les définitions termcap/terminfo ?","Des logiciels standards comme l'éditeur vi y trouvent les informations nécessaires à la gestion de l'écran ; d'autres outils comme emacs ont leur propre définition de terminaux, indépendante de terminfo."
"Quels sont les principaux systèmes d'impression sous Linux/Unix ?","Le système Berkeley (démon lpd), LPRng (version améliorée du système Berkeley) et CUPS (démon cupsd), aujourd'hui le plus utilisé."
"Pourquoi faut-il des filtres d'impression sous Unix ?","Historiquement les imprimantes Unix supportaient un langage commun, le PostScript ; avec la prolifération des imprimantes bon marché, beaucoup de constructeurs l'ont abandonné pour leur propre langage. Les filtres (APS Filter, Magic Filter) transforment le PostScript en un langage compréhensible par l'imprimante."
"Que signifie SPOOL et qu'est-ce que le système lp ?","SPOOL signifie Simultaneous Peripheral Operation On-Line. Le système lp est un ensemble de programmes, scripts shell et répertoires, basé sur une technique de spoulage (file d'attente), destiné à contrôler les imprimantes et les flux de données qui leur sont adressés ; c'est le mécanisme historiquement le plus répandu sous Unix."
"Quel est le rôle du démon lpsched ?","C'est l'ordonnanceur d'imprimantes : il achemine les demandes d'impression vers les imprimantes physiques selon le modèle FIFO ou un système de priorités, évite le mélange des listages (intercalage de pages de demandes différentes), détermine les priorités, modifie l'état de l'imprimante et enregistre l'activité de l'utilitaire de spoulage LP."
"Quelle différence entre acceptation/rejet et activation/désactivation dans le système lp ?","Acceptation et rejet contrôlent le flux des demandes d'impression vers les répertoires des demandes (files d'attente) ; activation et désactivation contrôlent le flux des demandes vers les imprimantes elles-mêmes."
"À quoi servent les commandes lpmove et cancel ?","lpmove permet de rerouter une demande d'impression d'une imprimante bloquée vers une autre ; cancel permet d'éliminer les données superflues du système de spoulage."
"Qu'est-ce qu'une classe d'imprimantes dans le système lp ?","Une file d'attente associée à un groupe d'imprimantes : les requêtes sont alors envoyées indifféremment sur n'importe laquelle des imprimantes de la classe. Une file peut aussi être associée à une imprimante isolée (cas le plus fréquent)."
"Comment spécifie-t-on une destination d'impression, par ordre de priorité ?","1. avec l'option -d ; 2. avec la variable d'environnement LPDEST ; 3. en ne nommant aucune destination, auquel cas la destination par défaut est choisie."
"Avec quelles commandes l'administrateur ouvre-t-il ou ferme-t-il l'accès à une file d'impression ?","Avec les commandes accept et reject, qui agissent sur le robinet contrôlant l'accès à la file d'attente : la mémorisation d'une demande n'est autorisée que si ce robinet est ouvert."
"Quel est le schéma simplifié du système d'impression LP ?","lp -> spool -> lpsched -> script d'interface -> impression : les requêtes sont dirigées via le démon lp vers des destinations (files d'attente / réservoirs), l'ordonnanceur lpsched les achemine, et les scripts d'interface (scripts shell) jouent le rôle de pompes vers les imprimantes."
"Pourquoi un système d'impression Unix est-il une application client/serveur complexe ?","Parce qu'il doit gérer les demandes d'impression provenant des utilisateurs locaux comme des utilisateurs distants, éviter le mélange des impressions simultanées, gérer les caractéristiques de l'imprimante, les formats compris et les délais d'attente entre impressions."
"Où trouver de l'information sur les imprimantes supportées sous Linux ?","Sur le site web LinuxPrinting.org, qui recense les imprimantes prises en charge et les filtres disponibles."
